Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
1200.0	4.0	1568.96727	1621.12371	1258.46217	1407.05448	1485.86312
1200.0	4.5	1661.80305	1682.62005	1281.32703	1423.21626	1503.51685
1200.0	5.0	1578.34707	1624.71214	1226.95829	1368.89672	1443.25418
1200.0	5.5	1589.13114	1648.55350	1200.27363	1335.72082	1412.80109
1300.0	4.0	1613.37851	1658.45928	1340.36161	1498.28262	1559.37176
1300.0	4.5	1667.30463	1694.31063	1363.70407	1524.84665	1584.48867
1300.0	5.0	1659.37534	1706.16404	1325.91282	1485.30965	1573.54660
1300.0	5.5	1639.98958	1708.65488	1273.35965	1419.92118	1510.06387
1400.0	4.0	1667.50548	1706.05962	1470.93448	1624.25580	1637.25361
1400.0	4.5	1687.23899	1724.21035	1430.57907	1595.71918	1637.00941
1400.0	5.0	1707.21092	1741.82929	1432.12039	1601.39734	1650.54681
1400.0	5.5	1685.38170	1759.58517	1348.27263	1504.74926	1601.06407
1500.0	4.0	1683.44786	1721.51533	1626.64741	1686.83878	1658.33286
1500.0	4.5	1709.68541	1747.91287	1604.05317	1702.75118	1687.50690
1500.0	5.0	1738.32109	1777.86257	1513.64957	1671.45977	1692.99664
1500.0	5.5	1753.49060	1805.28474	1477.02185	1647.09033	1699.41926
1550.0	5.0	1738.32109	1777.86257	1513.64957	1671.45977	1692.99664
1550.0	5.5	1753.49060	1805.28474	1477.02185	1647.09033	1699.41926
1600.0	4.0	1703.75227	1741.65602	1654.58182	1705.12362	1681.00778
1600.0	4.5	1723.15637	1766.22184	1646.87980	1725.81868	1706.94914
1600.0	5.0	1742.04582	1780.74475	1620.85169	1728.64607	1717.73808
1600.0	5.5	1767.06803	1819.28287	1575.07481	1720.88087	1737.51861
1650.0	5.0	1742.04582	1780.74475	1620.85169	1728.64607	1717.73808
1650.0	5.5	1767.06803	1819.28287	1575.07481	1720.88087	1737.51861
1700.0	4.0	1682.62251	1724.92962	1664.75415	1697.06611	1673.34766
1700.0	4.5	1733.73106	1784.36203	1665.84191	1742.55981	1732.58435
1700.0	5.0	1762.24619	1810.89955	1665.08066	1764.40789	1759.44418
1700.0	5.5	1807.08376	1894.45511	1640.14705	1796.08167	1831.70556
1750.0	5.0	1762.24619	1810.89955	1665.08066	1764.40789	1759.44418
1750.0	5.5	1807.08376	1894.45511	1640.14705	1796.08167	1831.70556
1800.0	4.0	1730.72580	1793.23008	1710.21525	1754.92150	1759.10496
1800.0	4.5	1733.64674	1799.05915	1706.36338	1759.32381	1759.51357
1800.0	5.0	1778.69267	1839.51230	1703.82813	1798.70757	1807.01013
1800.0	5.5	1818.15368	1925.69499	1672.91221	1832.86098	1892.32527
1850.0	5.0	1778.69267	1839.51230	1703.82813	1798.70757	1807.01013
1850.0	5.5	1818.15368	1925.69499	1672.91221	1832.86098	1892.32527
1900.0	4.0	1734.39902	1786.45073	1708.00431	1753.19024	1780.96083
1900.0	4.5	1750.77773	1812.54566	1731.27040	1790.11061	1813.83308
1900.0	5.0	1774.64814	1845.16670	1712.23241	1807.47451	1837.11509
1900.0	5.5	1831.10156	1953.15478	1698.52962	1861.47083	1934.84732
1950.0	5.0	1774.64814	1845.16670	1712.23241	1807.47451	1837.11509
1950.0	5.5	1831.10156	1953.15478	1698.52962	1861.47083	1934.84732
2000.0	4.0	1760.00350	1800.34620	1722.86105	1809.07489	1878.81898
2000.0	4.5	1762.72218	1823.34864	1744.32124	1830.71832	1898.96131
2000.0	5.0	1781.91354	1839.97089	1730.62120	1828.58694	1865.53341
2000.0	5.5	1833.46849	1928.64565	1722.08334	1897.76878	1994.17466
2050.0	4.0	1760.00350	1800.34620	1722.86105	1809.07489	1878.81898
2050.0	4.5	1762.72218	1823.34864	1744.32124	1830.71832	1898.96131
2050.0	5.0	1781.91354	1839.97089	1730.62120	1828.58694	1865.53341
2100.0	4.0	1888.45966	1933.56103	1809.36583	1895.37175	2001.25338
2100.0	4.5	1787.68270	1844.49249	1762.51746	1876.05285	1983.57578
2100.0	5.0	1814.34022	1895.12979	1782.47663	1905.27151	2004.27211
2100.0	5.5	1840.58296	1975.12471	1741.12768	1914.55858	2044.30276
2150.0	4.0	1888.45966	1933.56103	1809.36583	1895.37175	2001.25338
2150.0	4.5	1787.68270	1844.49249	1762.51746	1876.05285	1983.57578
2150.0	5.0	1814.34022	1895.12979	1782.47663	1905.27151	2004.27211
2200.0	4.0	2019.79319	2005.52604	1853.20580	1955.13159	2093.91973
2200.0	4.5	1805.52533	1862.06875	1782.31450	1926.54373	2065.10863
2200.0	5.0	1798.58397	1878.80096	1803.39507	1933.87076	2069.46816
2200.0	5.5	1844.50770	1952.90257	1765.03377	1941.80383	2070.74303
2250.0	4.0	2019.79319	2005.52604	1853.20580	1955.13159	2093.91973
2250.0	4.5	1805.52533	1862.06875	1782.31450	1926.54373	2065.10863
2250.0	5.0	1798.58397	1878.80096	1803.39507	1933.87076	2069.46816
2300.0	4.0	2160.41610	2109.06204	1921.07418	2034.27544	2206.58497
2300.0	4.5	2042.12264	2071.30057	1918.53188	2075.29498	2263.76596
2300.0	5.0	2293.51832	2025.87793	1900.90731	2037.68088	2214.67515
2300.0	5.5	1888.47417	2023.09722	1858.25994	2060.04200	2259.09787
2350.0	4.0	2158.16982	2108.62463	1923.05600	2035.07137	2205.94845
2350.0	4.5	2040.47517	2071.97438	1921.34681	2076.97146	2264.64290
2350.0	5.0	2292.75729	2026.19309	1903.25544	2038.90447	2215.00275
2400.0	4.0	2322.98909	2245.59161	2023.43398	2133.24744	2336.34755
2400.0	4.5	2161.29562	2158.62388	1988.05143	2150.54739	2359.33844
2400.0	5.0	2024.13625	2107.27918	1970.60830	2123.26580	2333.49041
2400.0	5.5	1957.99220	2098.34984	1945.54622	2124.47402	2345.56861
2500.0	4.0	2474.02963	2378.06337	2125.78277	2228.44789	2459.67700
2500.0	4.5	2327.79006	2320.75829	2117.69141	2228.89125	2462.61644
2500.0	5.0	2170.01624	2226.16525	2065.72753	2221.22922	2465.67130
