Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
1500.0	4.0	1572.43029	1664.80704	1459.84450	1595.52559	1609.16072
1500.0	4.5	1581.90523	1688.66292	1421.74668	1582.32805	1633.43771
1500.0	5.0	1604.60563	1718.74386	1384.01625	1561.80285	1637.83403
1500.0	5.5	1630.48747	1751.28624	1373.27099	1559.88940	1658.39366
1600.0	4.0	1598.53117	1683.34786	1548.66271	1656.16529	1656.80207
1600.0	4.5	1645.11441	1754.86055	1521.32298	1682.91463	1720.54166
1600.0	5.0	1642.00970	1753.33065	1454.75103	1630.58968	1696.25866
1600.0	5.5	1655.63765	1777.88755	1444.32359	1633.09599	1717.54237
1700.0	4.0	1697.85774	1769.83405	1684.74731	1722.30086	1708.80856
1700.0	4.5	1720.22215	1792.07977	1711.16225	1744.75401	1722.77158
1700.0	5.0	1735.89396	1798.55290	1731.88114	1745.31586	1716.49918
1700.0	5.5	1713.86220	1780.93139	1741.77546	1755.03818	1721.44910
1800.0	4.0	1749.78578	1865.74269	1747.44991	1824.17514	1856.22050
1800.0	4.5	1723.04518	1866.87875	1701.30167	1818.72763	1856.26732
1800.0	5.0	1711.82275	1872.36792	1684.08096	1812.51413	1851.21001
1800.0	5.5	1691.18302	1838.51878	1616.81955	1758.54799	1791.12183
1900.0	4.0	1805.87537	1911.03515	1801.07087	1871.05563	1923.34847
1900.0	4.5	1770.56001	1926.15590	1767.82159	1884.32326	1953.70000
1900.0	5.0	1732.60618	1905.02505	1724.12183	1851.77308	1905.47191
1900.0	5.5	1720.14177	1887.99399	1674.39578	1818.45425	1873.10315
2000.0	4.0	1744.92125	1803.96139	1750.55261	1821.38559	1877.90059
2000.0	4.5	1693.77335	1756.43207	1725.33221	1789.63121	1825.21705
2000.0	5.0	1736.33417	1808.41750	1775.47107	1845.18751	1890.77503
2000.0	5.5	1696.77565	1751.03340	1716.74298	1779.35596	1806.34926
2100.0	4.0	1784.08564	1837.40426	1772.95275	1844.54557	1913.63869
2100.0	4.5	1754.06838	1832.93671	1778.72428	1859.25749	1935.44541
2100.0	5.0	1761.72851	1852.60144	1805.38038	1890.90683	1973.17402
2100.0	5.5	1773.05912	1862.44172	1816.75102	1909.83338	1998.70835
2200.0	4.0	1908.15511	1946.26876	1830.55054	1913.26061	2021.13959
2200.0	4.5	1867.45183	1936.84537	1852.39864	1935.02906	2041.49297
2200.0	5.0	1853.07954	1932.83753	1869.58208	1954.37628	2062.69388
2200.0	5.5	2323.91752	2082.64395	1893.45693	1977.38400	2093.83149
2300.0	4.0	2091.34728	2102.30824	1942.39143	2016.04864	2154.98330
2300.0	4.5	2005.07146	2071.06245	1937.95506	2026.75657	2176.57278
