Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
2300.0	4.0	2187.47547	2267.19496	2145.57669	2282.86360	2495.83840
2300.0	4.5	2260.63371	2271.33714	2103.25421	2189.76730	2340.17234
2300.0	5.0	2075.29671	2343.14743	2310.30152	2418.46329	2612.59974
2300.0	5.5	2046.01091	2373.28420	2384.94869	2494.08104	2675.21464
2300.0	6.0	2051.87267	2267.27600	2213.20903	2319.50900	2464.59719
2400.0	4.0	2447.70122	2339.11400	2123.30009	2201.04753	2367.25661
2400.0	4.5	2221.69816	2371.81055	2297.69064	2399.75162	2624.49344
2400.0	5.0	2277.14779	2336.00110	2186.12129	2283.21487	2461.88748
2400.0	5.5	2106.93665	2426.13635	2454.96889	2544.03024	2743.30641
2400.0	6.0	2085.46245	2467.52996	2531.05880	2626.41740	2802.03334
2500.0	4.0	2388.86914	2480.31833	2384.13629	2453.76273	2671.37292
2500.0	4.5	2471.83999	2410.52571	2214.69824	2295.17780	2485.18646
2500.0	5.0	2232.10014	2434.34525	2395.77858	2486.35447	2724.36886
2500.0	5.5	2176.92162	2467.48015	2487.30660	2565.41068	2790.77121
2500.0	6.0	2140.75116	2533.41319	2607.99223	2690.66562	2865.95223
2600.0	4.0	2469.04451	2552.83500	2462.64822	2518.13189	2728.38561
2600.0	4.5	2395.95178	2538.42003	2478.97715	2539.18428	2760.81046
2600.0	5.0	2324.03544	2530.89407	2507.76021	2571.80344	2802.82850
2600.0	5.5	2258.43307	2543.41937	2564.34629	2627.75886	2858.88532
2600.0	6.0	2288.37823	2414.84221	2317.25533	2427.30551	2658.34775
2700.0	4.0	2737.89172	2644.24332	2455.33032	2503.39538	2696.79498
2700.0	4.5	2498.81891	2650.95723	2612.08296	2648.32303	2850.94364
2700.0	5.0	2422.15137	2638.50713	2634.04165	2674.12333	2885.28984
2700.0	5.5	2502.78810	2552.53206	2411.87867	2492.51675	2733.43225
2700.0	6.0	2395.85743	2511.72076	2406.60595	2503.03760	2752.26230
2800.0	4.0	2831.96484	2751.17106	2576.74847	2614.57603	2808.72462
2800.0	4.5	2779.27296	2736.00911	2573.29330	2615.00920	2821.89889
2800.0	5.0	2526.16982	2748.13807	2760.86927	2787.79947	2969.55734
2800.0	5.5	2450.22030	2739.00796	2786.20838	2818.89824	3004.58358
2800.0	6.0	2505.93183	2621.85173	2519.94545	2599.47090	2856.63975
2900.0	4.0	2923.22739	2855.95545	2693.41677	2722.69116	2917.29188
2900.0	4.5	2876.78346	2845.97046	2698.80020	2729.62821	2931.87766
2900.0	5.0	2635.31080	2857.25872	2881.93709	2902.20507	3054.22353
2900.0	5.5	2727.01411	2789.02853	2678.56215	2723.75890	2956.42114
2900.0	6.0	2620.25009	2743.77139	2657.26860	2716.61304	2966.10355
3000.0	4.0	2887.73180	3001.47976	2992.97780	2996.16009	3109.72918
3000.0	4.5	2973.54218	2956.23069	2823.36825	2845.26159	3041.40122
3000.0	5.0	2748.17092	2964.53940	2998.17934	3016.06129	3140.10738
3000.0	5.5	2837.22634	2908.06037	2814.62902	2847.73860	3065.44088
3000.0	6.0	2737.78190	2867.00153	2797.87786	2842.41694	3075.29613
3100.0	4.0	2989.68812	3108.38830	3113.45903	3114.35211	3203.72838
3100.0	4.5	2931.93186	3087.52651	3108.32073	3116.58534	3208.41290
3100.0	5.0	3014.92301	3049.24880	2950.72214	2968.84529	3159.50053
3100.0	5.5	2945.51931	3024.71828	2947.23944	2971.80940	3171.66010
3100.0	6.0	2698.68328	3035.53959	3123.31281	3165.63966	3269.13732
3200.0	4.0	3179.88832	3166.92394	3032.86377	3042.56838	3240.72923
3200.0	4.5	3155.19059	3169.46743	3062.49765	3072.26459	3254.69396
3200.0	5.0	2975.83648	3170.75846	3214.29705	3231.87205	3307.94015
3200.0	5.5	3050.90405	3138.38213	3075.86067	3094.86279	3275.38346
3200.0	6.0	2816.66960	3133.38185	3217.27334	3261.16973	3347.18899
3300.0	4.0	3253.81099	3266.01871	3145.28880	3150.51243	3343.91035
3300.0	4.5	3145.98502	3297.00390	3332.16413	3340.94179	3390.18136
3300.0	5.0	3089.78024	3274.12454	3320.66853	3338.39819	3395.91745
3300.0	5.5	3020.56267	3252.77058	3313.87564	3343.22418	3409.75969
3300.0	6.0	2939.36595	3232.56627	3311.87126	3355.63390	3428.57204
3400.0	4.0	3322.31810	3364.10110	3261.26383	3263.88477	3445.28054
3400.0	4.5	3250.44234	3401.74987	3440.59371	3451.58491	3482.97479
3400.0	5.0	3201.43450	3377.58045	3426.11237	3444.47852	3485.64721
3400.0	5.5	3249.54358	3355.65745	3319.42201	3333.75543	3476.93510
3400.0	6.0	3187.17244	3331.90539	3316.12534	3339.34348	3485.99031
3500.0	4.0	3385.41270	3531.06941	3564.19794	3573.92537	3583.33866
3500.0	4.5	3389.79851	3473.11106	3414.19644	3419.80724	3560.10057
3500.0	5.0	3310.46563	3481.33839	3530.10279	3550.04346	3577.00702
3500.0	5.5	3256.87761	3458.59198	3517.44019	3545.51691	3585.97223
3500.0	6.0	3189.46653	3435.94953	3506.80203	3546.68681	3600.61161
3600.0	4.0	3482.03877	3635.38268	3668.58238	3682.71759	3677.74438
3600.0	4.5	3455.30044	3611.15965	3650.11301	3668.41042	3670.74143
3600.0	5.0	3454.44690	3571.96165	3546.65982	3558.58291	3667.66883
3600.0	5.5	3370.69167	3562.77450	3619.85509	3648.19814	3677.22731
3600.0	6.0	3310.96952	3539.61353	3607.36165	3645.22651	3689.98039
3700.0	4.0	3512.25822	3667.60152	3634.07233	3641.55862	3745.11313
3700.0	4.5	3528.63843	3671.86776	3652.48988	3665.04291	3757.08897
3700.0	5.0	3531.47825	3671.75018	3662.11593	3677.87956	3765.98275
3700.0	5.5	3516.39980	3662.56927	3662.96996	3682.29259	3770.89291
3700.0	6.0	3486.36108	3648.89371	3661.17697	3685.94508	3779.03529
3800.0	4.0	3582.90110	3779.80391	3763.80744	3773.89838	3849.88674
3800.0	4.5	3662.63340	3825.97075	3859.08673	3881.75048	3862.69044
3800.0	5.0	3633.90568	3800.81489	3840.01445	3866.77693	3859.64734
3800.0	5.5	3594.31805	3775.85715	3824.47731	3855.39659	3863.05503
3800.0	6.0	3550.17432	3754.49306	3814.16562	3850.84183	3874.85952
3900.0	4.0	3785.51878	3967.89532	3990.35933	4004.78629	3971.35889
3900.0	4.5	3770.07806	3940.81170	3968.35667	3989.38984	3965.47712
3900.0	5.0	3747.21881	3914.85990	3948.29269	3974.36809	3959.95797
3900.0	5.5	3708.43347	3886.52644	3928.85162	3960.14455	3958.70443
3900.0	6.0	3670.66333	3854.50758	3883.73873	3914.97202	3976.72011
