Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
1200.0	4.0	1522.05878	1363.81274	1442.28668
1200.0	4.5	1578.84651	1382.84462	1461.16559
1200.0	5.0	1521.95654	1325.01131	1396.89849
1200.0	5.5	1542.58217	1281.64690	1361.30699
1300.0	4.0	1562.12170	1473.85386	1523.87257
1300.0	4.5	1595.80012	1505.67324	1549.46391
1300.0	5.0	1602.76582	1450.51557	1528.01871
1300.0	5.5	1601.26760	1372.82757	1456.05020
1400.0	4.0	1625.64099	1614.68235	1617.26748
1400.0	4.5	1630.24750	1583.15966	1607.54912
1400.0	5.0	1645.52029	1588.47512	1618.72245
1400.0	5.5	1652.30790	1464.72499	1550.31661
1500.0	4.0	1698.91100	1663.33757	1656.54503
1500.0	4.5	1709.15669	1683.96352	1680.49327
1500.0	5.0	1694.57358	1660.92554	1671.13833
1500.0	5.5	1708.59247	1630.71267	1667.85912
1550.0	5.0	1694.57358	1660.92554	1671.13833
1550.0	5.5	1708.59247	1630.71267	1667.85912
1600.0	4.0	1720.93907	1678.05316	1678.87806
1600.0	4.5	1736.60666	1704.08131	1702.02902
1600.0	5.0	1736.76579	1711.89262	1709.15838
1600.0	5.5	1743.33379	1707.14918	1718.23788
1650.0	5.0	1736.76579	1711.89262	1709.15838
1650.0	5.5	1743.33379	1707.14918	1718.23788
1700.0	4.0	1708.02766	1665.90595	1671.60873
1700.0	4.5	1755.61163	1717.01235	1725.89943
1700.0	5.0	1773.01672	1743.88269	1750.36448
1700.0	5.5	1819.98276	1779.48444	1808.36551
1750.0	5.0	1773.01672	1743.88269	1750.36448
1750.0	5.5	1819.98276	1779.48444	1808.36551
1800.0	4.0	1772.97520	1716.71181	1751.36323
1800.0	4.5	1777.20452	1724.79120	1751.70340
1800.0	5.0	1806.26414	1772.46250	1795.39115
1800.0	5.5	1854.99362	1807.44819	1864.50716
1850.0	5.0	1806.26414	1772.46250	1795.39115
1850.0	5.5	1854.99362	1807.44819	1864.50716
1900.0	4.0	1766.54483	1698.04876	1768.95298
1900.0	4.5	1793.64386	1747.17658	1800.26763
1900.0	5.0	1814.37639	1773.25054	1819.93937
1900.0	5.5	1884.79496	1830.30270	1904.36945
1950.0	5.0	1814.37639	1773.25054	1819.93937
1950.0	5.5	1884.79496	1830.30270	1904.36945
2000.0	4.0	1777.49002	1736.15753	1856.65017
2000.0	4.5	1801.76701	1771.17917	1872.74596
2000.0	5.0	1812.52487	1789.13308	1847.67666
2000.0	5.5	1868.74343	1854.28877	1960.04945
2050.0	4.0	1777.49002	1736.15753	1856.65017
2050.0	4.5	1801.76701	1771.17917	1872.74596
2050.0	5.0	1812.52487	1789.13308	1847.67666
2100.0	4.0	1909.82382	1795.82972	1978.46485
2100.0	4.5	1822.25523	1790.32935	1951.80495
2100.0	5.0	1868.84792	1839.28738	1975.03450
2100.0	5.5	1916.71621	1860.10776	2002.29235
2150.0	4.0	1909.82382	1795.82972	1978.46485
2150.0	4.5	1822.25523	1790.32935	1951.80495
2150.0	5.0	1868.84792	1839.28738	1975.03450
2200.0	4.0	1975.54134	1821.77827	2068.21790
2200.0	4.5	1842.13122	1813.46673	2030.74662
2200.0	5.0	1861.45205	1835.14294	2036.79713
2200.0	5.5	1903.33403	1878.83841	2033.04100
