Teff	log(g)	T_BB_tess
1200.0	4.0	1651.72512
1200.0	4.5	1652.72962
1200.0	5.0	1668.05660
1200.0	5.5	1681.46289
1300.0	4.0	1692.13623
1300.0	4.5	1709.19110
1300.0	5.0	1740.05849
1300.0	5.5	1741.76167
1400.0	4.0	1734.30966
1400.0	4.5	1751.69541
1400.0	5.0	1770.11449
1400.0	5.5	1794.32604
1500.0	4.0	1727.70264
1500.0	4.5	1764.52337
1500.0	5.0	1793.61773
1500.0	5.5	1816.92345
1550.0	5.0	1793.61773
1550.0	5.5	1816.92345
1600.0	4.0	1757.62625
1600.0	4.5	1783.55329
1600.0	5.0	1796.27933
1600.0	5.5	1833.91691
1650.0	5.0	1796.27933
1650.0	5.5	1833.91691
1700.0	4.0	1763.54410
1700.0	4.5	1822.54792
1700.0	5.0	1845.45228
1700.0	5.5	1937.28681
1750.0	5.0	1845.45228
1750.0	5.5	1937.28681
1800.0	4.0	1880.17010
1800.0	4.5	1871.98497
1800.0	5.0	1911.03668
1800.0	5.5	2018.99449
1850.0	5.0	1911.03668
1850.0	5.5	2018.99449
1900.0	4.0	1924.26916
1900.0	4.5	1954.64989
1900.0	5.0	1976.17723
1900.0	5.5	2075.84657
1950.0	5.0	1976.17723
1950.0	5.5	2075.84657
2000.0	4.0	2054.65302
2000.0	4.5	2083.59206
2000.0	5.0	2002.74850
2000.0	5.5	2149.37832
2050.0	4.0	2054.65302
2050.0	4.5	2083.59206
2050.0	5.0	2002.74850
2100.0	4.0	2158.23220
2100.0	4.5	2166.77128
2100.0	5.0	2167.16949
2100.0	5.5	2224.93094
2150.0	4.0	2158.23220
2150.0	4.5	2166.77128
2150.0	5.0	2167.16949
2200.0	4.0	2243.34909
2200.0	4.5	2240.31082
2200.0	5.0	2228.72034
2200.0	5.5	2226.72535
2250.0	4.0	2243.34909
2250.0	4.5	2240.31082
2250.0	5.0	2228.72034
2300.0	4.0	2339.95160
2300.0	4.5	2415.40090
2300.0	5.0	2358.45546
2300.0	5.5	2449.79015
2350.0	4.0	2338.07759
2350.0	4.5	2415.11869
2350.0	5.0	2357.66660
2400.0	4.0	2443.65679
2400.0	4.5	2486.35419
2400.0	5.0	2453.80896
2400.0	5.5	2470.65708
2500.0	4.0	2540.00495
2500.0	4.5	2546.29481
2500.0	5.0	2556.77085
2500.0	5.5	2557.33000
2600.0	4.0	2634.67107
2600.0	4.5	2664.02094
2600.0	5.0	2647.31462
2600.0	5.5	2649.40672
2700.0	4.0	2727.93474
2700.0	4.5	2769.83606
2700.0	5.0	2739.11609
2700.0	5.5	2788.55535
2800.0	4.0	2824.13656
2800.0	4.5	2846.86970
2800.0	5.0	2846.42073
2800.0	5.5	2839.74097
2900.0	4.0	2908.48483
2900.0	4.5	2920.66241
2900.0	5.0	2928.31901
2900.0	5.5	2933.96850
3000.0	4.0	3000.07057
3000.0	4.5	3010.74730
3000.0	5.0	3023.95660
3000.0	5.5	3024.81172
3100.0	4.0	3094.04378
3100.0	4.5	3115.43335
3100.0	5.0	3115.01306
3100.0	5.5	3123.56607
3200.0	4.0	3183.00841
3200.0	4.5	3205.06806
3200.0	5.0	3205.90710
3200.0	5.5	3221.59560
3300.0	4.0	3273.27734
3300.0	4.5	3294.33386
3300.0	5.0	3303.69162
3300.0	5.5	3313.41140
3400.0	4.0	3364.85298
3400.0	4.5	3389.67742
3400.0	5.0	3391.93898
