Teff	log(g)	T_BB_tess
1500.0	4.0	1752.32800
1500.0	4.5	1807.03771
1500.0	5.0	1822.30431
1500.0	5.5	1855.93891
1600.0	4.0	1802.44686
1600.0	4.5	1882.32935
1600.0	5.0	1870.28713
1600.0	5.5	1900.00818
1700.0	4.0	1850.26991
1700.0	4.5	1837.20170
1700.0	5.0	1811.37331
1700.0	5.5	1801.44151
1800.0	4.0	1996.89088
1800.0	4.5	1991.59656
1800.0	5.0	1985.77322
1800.0	5.5	1914.51856
1900.0	4.0	2067.47459
1900.0	4.5	2106.06640
1900.0	5.0	2059.77998
1900.0	5.5	2013.06345
2000.0	4.0	2050.45576
2000.0	4.5	1983.98235
2000.0	5.0	2041.63026
2000.0	5.5	1934.58113
2100.0	4.0	2089.56771
2100.0	4.5	2108.14533
2100.0	5.0	2135.18442
2100.0	5.5	2145.42690
2200.0	4.0	2195.22265
2200.0	4.5	2207.06105
2200.0	5.0	2218.00429
2200.0	5.5	2234.61967
2300.0	4.0	2311.86491
2300.0	4.5	2330.22426
2300.0	5.0	2315.21049
2300.0	5.5	2317.34995
2400.0	4.0	2413.78471
2400.0	4.5	2430.17175
2400.0	5.0	2424.97938
2400.0	5.5	2420.51605
2500.0	4.0	2514.18583
2500.0	4.5	2523.56254
2500.0	5.0	2532.19947
2500.0	5.5	2525.21542
2600.0	4.0	2608.71785
2600.0	4.5	2613.71632
2600.0	5.0	2626.46487
2600.0	5.5	2626.74244
2600.0	6.0	2640.85029
2700.0	4.0	2703.43731
2700.0	4.5	2710.76018
2700.0	5.0	2726.52116
2700.0	5.5	2722.49580
2700.0	6.0	2738.99793
2800.0	4.0	2803.39150
2800.0	4.5	2804.64030
2800.0	5.0	2821.17411
2800.0	5.5	2816.40738
2800.0	6.0	2834.84891
2900.0	4.0	2904.96099
2900.0	4.5	2903.28266
2900.0	5.0	2918.50447
2900.0	5.5	2912.50791
2900.0	6.0	2932.47406
3000.0	4.0	2997.12851
3000.0	4.5	3000.03287
3000.0	5.0	3015.08843
3000.0	5.5	3006.38756
3000.0	6.0	3028.30293
3100.0	4.0	3091.87219
3100.0	4.5	3104.67553
3100.0	5.0	3112.19949
3100.0	5.5	3123.60376
3100.0	6.0	3125.84320
3200.0	4.0	3187.55660
3200.0	4.5	3200.74756
3200.0	5.0	3208.84093
3200.0	5.5	3219.22668
3200.0	6.0	3221.95651
3300.0	4.0	3282.12006
3300.0	4.5	3293.54308
3300.0	5.0	3306.08567
3300.0	5.5	3315.52791
3300.0	6.0	3319.07527
3400.0	4.0	3376.28828
3400.0	4.5	3388.52513
3400.0	5.0	3403.52685
3400.0	5.5	3412.37273
3400.0	6.0	3416.52412
3500.0	4.0	3478.52649
3500.0	4.5	3483.38250
3500.0	5.0	3501.04626
3500.0	5.5	3507.69755
3500.0	6.0	3513.65688
