Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
1500.0	4.0	1592.23745	1574.98435	1592.04680
1500.0	4.5	1602.37124	1555.41429	1603.32722
1500.0	5.0	1622.79724	1528.65539	1599.54914
1500.0	5.5	1651.12423	1517.17357	1612.51038
1600.0	4.0	1637.65880	1633.40066	1645.55563
1600.0	4.5	1678.74449	1661.45937	1696.86387
1600.0	5.0	1661.96606	1604.02880	1662.34564
1600.0	5.5	1681.77694	1601.51475	1677.48503
1700.0	4.0	1741.18595	1694.76510	1703.36208
1700.0	4.5	1764.08320	1720.23529	1718.92861
1700.0	5.0	1775.79466	1722.71330	1712.89707
1700.0	5.5	1767.88722	1741.15499	1714.94247
1800.0	4.0	1844.02594	1783.59554	1842.88365
1800.0	4.5	1826.87748	1783.23279	1839.63786
1800.0	5.0	1816.49195	1783.49753	1832.24689
1800.0	5.5	1769.97384	1735.00893	1770.58242
1900.0	4.0	1893.76654	1818.77496	1907.64117
1900.0	4.5	1893.15160	1833.75375	1932.47510
1900.0	5.0	1852.96587	1817.76736	1883.51502
1900.0	5.5	1825.27581	1785.93585	1848.97767
2000.0	4.0	1790.22984	1756.50029	1860.99339
2000.0	4.5	1747.30458	1735.34799	1811.06307
2000.0	5.0	1800.22608	1790.43631	1875.78846
2000.0	5.5	1740.44660	1728.17154	1794.60755
2100.0	4.0	1821.00045	1771.18367	1895.06216
2100.0	4.5	1820.84809	1786.45995	1915.04218
2100.0	5.0	1843.85727	1819.08470	1952.41971
2100.0	5.5	1854.72053	1836.28852	1977.47772
2200.0	4.0	1918.15285	1818.47070	1997.73597
2200.0	4.5	1919.79725	1845.08979	2017.97293
2200.0	5.0	1922.16009	1867.32243	2039.17539
2200.0	5.5	1988.52119	1890.29516	2069.75869
2300.0	4.0	2064.07921	1906.79666	2129.80537
2300.0	4.5	2046.14472	1912.34702	2149.01916
2300.0	5.0	2001.83925	1908.68864	2139.37468
2300.0	5.5	1980.67390	1914.32548	2152.60328
2400.0	4.0	2195.32650	2018.77199	2262.29239
2400.0	4.5	2169.48651	2005.41690	2272.46165
2400.0	5.0	2123.93195	1994.08901	2267.86867
2400.0	5.5	2080.32363	1979.14543	2269.58716
2500.0	4.0	2324.44325	2162.90625	2404.44198
2500.0	4.5	2290.58922	2127.33047	2402.96211
2500.0	5.0	2257.15097	2114.82587	2408.80927
2500.0	5.5	2202.96707	2077.68172	2400.56306
2600.0	4.0	2437.66940	2258.07443	2526.22476
2600.0	4.5	2403.25269	2231.49940	2525.00092
2600.0	5.0	2372.73435	2218.16096	2536.55759
2600.0	5.5	2320.56286	2179.34968	2530.79356
2600.0	6.0	2280.22385	2156.49119	2548.55786
2700.0	4.0	2554.79717	2381.40251	2650.86105
2700.0	4.5	2526.86310	2362.50513	2656.52594
2700.0	5.0	2504.37699	2360.08850	2673.89045
2700.0	5.5	2448.68414	2319.68948	2663.98939
2700.0	6.0	2410.26129	2295.17988	2679.98391
2800.0	4.0	2672.65285	2497.06683	2774.98392
2800.0	4.5	2642.74248	2480.29544	2776.82024
2800.0	5.0	2622.02238	2480.21524	2796.76489
2800.0	5.5	2567.32601	2445.24772	2787.67514
2800.0	6.0	2531.56137	2425.10173	2806.56055
2900.0	4.0	2792.13386	2624.14750	2899.45386
2900.0	4.5	2763.59834	2613.40200	2900.10363
2900.0	5.0	2744.67965	2616.90312	2919.77151
2900.0	5.5	2691.16058	2582.99716	2911.53442
2900.0	6.0	2661.35198	2573.65002	2934.37762
3000.0	4.0	2897.41986	2735.33953	3009.15771
3000.0	4.5	2878.92185	2738.73481	3016.15963
3000.0	5.0	2864.32638	2744.94310	3036.69081
3000.0	5.5	2809.97108	2714.76946	3027.30624
3000.0	6.0	2785.12581	2710.58716	3053.79066
3100.0	4.0	3003.77381	2864.39939	3120.06443
3100.0	4.5	3002.27299	2888.20099	3138.08032
3100.0	5.0	2982.64809	2888.12664	3149.98520
3100.0	5.5	2958.88575	2888.55588	3165.88634
3100.0	6.0	2912.48574	2859.60277	3170.71337
3200.0	4.0	3109.47188	2976.10460	3231.01062
3200.0	4.5	3111.45952	3004.83004	3247.63415
3200.0	5.0	3097.18174	3014.94029	3259.27487
3200.0	5.5	3074.51856	3017.63723	3274.17149
3200.0	6.0	3032.18744	2992.16237	3280.39201
3300.0	4.0	3212.06621	3088.41886	3338.74690
3300.0	4.5	3214.27407	3120.55645	3351.17006
3300.0	5.0	3208.04226	3142.11235	3366.48147
3300.0	5.5	3188.94647	3147.67903	3379.62904
3300.0	6.0	3151.59870	3128.33094	3387.74873
3400.0	4.0	3313.89501	3208.82645	3443.47192
3400.0	4.5	3317.17694	3242.51532	3454.83054
3400.0	5.0	3317.13883	3269.33484	3471.62359
3400.0	5.5	3300.13566	3277.04933	3483.04292
3400.0	6.0	3268.51303	3263.27421	3491.74855
3500.0	4.0	3421.10525	3332.81004	3554.58282
3500.0	4.5	3417.47197	3359.77187	3556.63882
3500.0	5.0	3421.88961	3392.01724	3575.13204
3500.0	5.5	3406.89552	3399.27238	3583.69709
3500.0	6.0	3381.79288	3392.33046	3593.86634
