Teff	log(g)	T_BB_tess
2300.0	4.0	2503.41018
2300.0	4.5	2536.19354
2300.0	5.0	2435.37549
2300.0	5.5	2665.92454
2300.0	6.0	2722.59496
2400.0	4.0	2569.14009
2400.0	4.5	2614.30247
2400.0	5.0	2634.76635
2400.0	5.5	2535.98027
2400.0	6.0	2781.14897
2500.0	4.0	2651.39465
2500.0	4.5	2690.49496
2500.0	5.0	2699.31991
2500.0	5.5	2758.82667
2500.0	6.0	2631.46129
2600.0	4.0	2617.74379
2600.0	4.5	2728.39926
2600.0	5.0	2634.24679
2600.0	5.5	2816.67638
2600.0	6.0	2897.68562
2700.0	4.0	2790.31675
2700.0	4.5	2717.53659
2700.0	5.0	2837.21299
2700.0	5.5	2734.98723
2700.0	6.0	2752.28691
2800.0	4.0	2878.38951
2800.0	4.5	2892.00644
2800.0	5.0	2819.16291
2800.0	5.5	2947.48266
2800.0	6.0	2990.84099
2900.0	4.0	2900.48281
2900.0	4.5	2908.38650
2900.0	5.0	2915.16661
2900.0	5.5	2922.76113
2900.0	6.0	3062.76677
3000.0	4.0	2995.78440
3000.0	4.5	3005.45890
3000.0	5.0	3082.04367
3000.0	5.5	3103.98098
3000.0	6.0	3135.45500
3100.0	4.0	3153.24089
3100.0	4.5	3155.36152
3100.0	5.0	3165.90240
3100.0	5.5	3116.06719
3100.0	6.0	3211.75868
3200.0	4.0	3187.81782
3200.0	4.5	3199.76493
3200.0	5.0	3207.00657
3200.0	5.5	3213.52748
3200.0	6.0	3291.27568
3300.0	4.0	3282.20030
3300.0	4.5	3296.83544
3300.0	5.0	3343.51385
3300.0	5.5	3354.68959
3300.0	6.0	3373.04991
3400.0	4.0	3443.51742
3400.0	4.5	3394.40977
3400.0	5.0	3435.40556
3400.0	5.5	3443.28963
3400.0	6.0	3457.46158
3500.0	4.0	3541.72026
3500.0	4.5	3492.23470
3500.0	5.0	3501.46668
3500.0	5.5	3533.32192
3500.0	6.0	3511.42834
3600.0	4.0	3639.97157
3600.0	4.5	3630.87336
3600.0	5.0	3625.23457
3600.0	5.5	3604.08230
3600.0	6.0	3633.40136
3700.0	4.0	3738.48471
3700.0	4.5	3728.47618
3700.0	5.0	3699.31777
3700.0	5.5	3719.34426
3700.0	6.0	3726.27149
3800.0	4.0	3786.46640
3800.0	4.5	3827.72976
3800.0	5.0	3799.74927
3800.0	5.5	3815.19397
3800.0	6.0	3820.09204
3900.0	4.0	3896.64733
3900.0	4.5	3899.22539
3900.0	5.0	3902.09359
3900.0	5.5	3911.55421
3900.0	6.0	3906.39636
4000.0	4.0	4040.59146
4000.0	4.5	4032.93620
4000.0	5.0	4005.85157
4000.0	5.5	4005.29302
4000.0	6.0	4011.36727
4100.0	4.0	4144.10563
4100.0	4.5	4139.53409
4100.0	5.0	4114.06176
4100.0	5.5	4113.08285
4100.0	6.0	4110.63529
4200.0	4.0	4245.82017
4200.0	4.5	4246.06769
4200.0	5.0	4222.74070
4200.0	5.5	4217.17421
4200.0	6.0	4215.46449
4300.0	4.0	4343.71652
4300.0	4.5	4352.36901
4300.0	5.0	4340.48191
4300.0	5.5	4330.71638
4300.0	6.0	4315.58749
4400.0	4.0	4443.92726
4400.0	4.5	4468.02925
4400.0	5.0	4456.07443
4400.0	5.5	4436.20628
4400.0	6.0	4436.01058
4500.0	4.0	4575.15419
4500.0	4.5	4577.70716
4500.0	5.0	4573.46445
4500.0	5.5	4553.37951
4500.0	6.0	4549.38584
4600.0	4.0	4683.44133
4600.0	4.5	4658.89102
4600.0	5.0	4670.66357
4600.0	5.5	4679.82020
4600.0	6.0	4651.07901
4700.0	4.0	4789.50736
4700.0	4.5	4794.39683
4700.0	5.0	4797.07637
4700.0	5.5	4798.27652
4700.0	6.0	4766.20591
4800.0	4.0	4854.38292
4800.0	4.5	4899.10361
4800.0	5.0	4874.03457
4800.0	5.5	4886.37029
4800.0	6.0	4879.01497
4900.0	4.0	4956.47232
4900.0	4.5	4961.47577
4900.0	5.0	4975.20838
4900.0	5.5	4990.56235
4900.0	6.0	4990.42614
5000.0	4.0	5056.07081
5000.0	4.5	5110.49443
5000.0	5.0	5075.29111
5000.0	5.5	5126.48085
5000.0	6.0	5096.32185
5100.0	4.0	5143.12438
5100.0	4.5	5144.78669
5100.0	5.0	5157.23421
5100.0	5.5	5223.23250
5100.0	6.0	5228.57880
5200.0	4.0	5310.12102
5200.0	4.5	5242.49980
5200.0	5.0	5249.63395
5200.0	5.5	5258.80214
5200.0	6.0	5259.48139
5300.0	4.0	5417.14511
5300.0	4.5	5416.32297
5300.0	5.0	5345.52469
5300.0	5.5	5354.92153
5300.0	6.0	5357.65561
5400.0	4.0	5436.32561
5400.0	4.5	5443.12675
5400.0	5.0	5440.99377
5400.0	5.5	5446.39612
5400.0	6.0	5469.82492
5500.0	4.0	5625.47492
5500.0	4.5	5531.63516
5500.0	5.0	5626.96631
5500.0	5.5	5627.47553
5500.0	6.0	5643.59380
5600.0	4.0	5729.39138
5600.0	4.5	5610.93500
5600.0	5.0	5605.23892
5600.0	5.5	5732.02631
5600.0	6.0	5636.45630
5700.0	4.0	5832.47230
5700.0	4.5	5827.91527
5700.0	5.0	5824.52365
5700.0	5.5	5701.95914
5700.0	6.0	5711.13844
5800.0	4.0	5935.71276
5800.0	4.5	5925.49944
5800.0	5.0	5924.18962
5800.0	5.5	5818.39077
5800.0	6.0	5803.18764
5900.0	4.0	5907.61278
5900.0	4.5	6009.49162
5900.0	5.0	6023.51677
5900.0	5.5	5888.77807
5900.0	6.0	6041.72903
6000.0	4.0	6141.75730
6000.0	4.5	6126.92307
6000.0	5.0	5979.74786
6000.0	5.5	6127.21067
6000.0	6.0	6115.99661
6100.0	4.0	6104.78332
6100.0	4.5	6085.04823
6100.0	5.0	6074.74881
6100.0	5.5	6070.93440
6100.0	6.0	6210.60202
6200.0	4.0	6202.62195
6200.0	4.5	6180.47523
6200.0	5.0	6168.04909
6200.0	5.5	6321.93358
6200.0	6.0	6299.73475
6300.0	4.0	6447.75259
6300.0	4.5	6277.37771
6300.0	5.0	6260.17993
6300.0	5.5	6247.89736
6300.0	6.0	6247.01706
6400.0	4.0	6393.07415
6400.0	4.5	6369.73034
6400.0	5.0	6516.43143
6400.0	5.5	6505.01235
6400.0	6.0	6490.93255
6500.0	4.0	6652.46913
6500.0	4.5	6625.76743
6500.0	5.0	6449.01995
6500.0	5.5	6430.80395
6500.0	6.0	6423.47623
6600.0	4.0	6753.89539
6600.0	4.5	6731.81304
6600.0	5.0	6714.25734
6600.0	5.5	6696.85862
6600.0	6.0	6531.67735
6700.0	4.0	6855.57947
6700.0	4.5	6832.97314
6700.0	5.0	6640.86712
6700.0	5.5	6792.84825
6700.0	6.0	6637.17710
6800.0	4.0	6957.26186
6800.0	4.5	6934.59622
6800.0	5.0	6737.30775
6800.0	5.5	6889.13145
6800.0	6.0	6867.28573
6900.0	4.0	6890.52760
6900.0	4.5	6859.89430
6900.0	5.0	7012.96626
6900.0	5.5	6803.07682
6900.0	6.0	6962.32636
