Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
2300.0	4.0	2240.06045	2078.50480	2490.60513
2300.0	4.5	2238.47866	2117.90812	2527.51121
2300.0	5.0	2233.23856	2112.05819	2369.29386
2300.0	5.5	2358.17048	2384.00877	2664.34955
2300.0	6.0	2377.47408	2468.60047	2721.36206
2400.0	4.0	2342.72689	2170.46075	2565.59963
2400.0	4.5	2356.13064	2225.97896	2616.36148
2400.0	5.0	2332.77061	2245.97204	2634.62056
2400.0	5.5	2308.44440	2207.80382	2489.35944
2400.0	6.0	2448.85048	2543.43268	2787.45497
2500.0	4.0	2460.03826	2300.66720	2664.51547
2500.0	4.5	2467.09110	2342.80049	2709.81594
2500.0	5.0	2423.33655	2329.28815	2711.51442
2500.0	5.5	2456.75112	2440.34653	2775.14106
2500.0	6.0	2363.85753	2294.89961	2597.36597
2600.0	4.0	2457.50648	2272.95876	2569.32381
2600.0	4.5	2525.84172	2405.16987	2752.66423
2600.0	5.0	2415.10463	2245.40998	2590.75947
2600.0	5.5	2535.69745	2510.19816	2842.10052
2600.0	6.0	2591.01564	2649.38902	2923.62708
2700.0	4.0	2654.27569	2531.39294	2820.27658
2700.0	4.5	2554.65982	2378.46747	2693.22621
2700.0	5.0	2634.72330	2574.41202	2875.27189
2700.0	5.5	2498.97389	2348.94871	2714.25313
2700.0	6.0	2469.47587	2358.45917	2730.41481
2800.0	4.0	2771.85223	2678.04364	2916.90918
2800.0	4.5	2759.48399	2690.43570	2935.92428
2800.0	5.0	2651.84249	2493.02741	2817.61459
2800.0	5.5	2740.00660	2751.56908	2994.02114
2800.0	6.0	2733.68197	2795.29277	3032.84938
2900.0	4.0	2790.09888	2632.72503	2905.18658
2900.0	4.5	2788.29342	2636.96458	2919.86166
2900.0	5.0	2773.46981	2630.14292	2931.47738
2900.0	5.5	2747.08475	2617.05472	2941.88053
2900.0	6.0	2842.51682	2924.36771	3113.54629
3000.0	4.0	2898.73675	2748.02103	3014.78588
3000.0	4.5	2903.64916	2764.77869	3031.31329
3000.0	5.0	2971.84867	2976.34716	3139.64143
3000.0	5.5	2957.76766	2999.81745	3162.02117
3000.0	6.0	2945.32542	3036.14583	3190.65644
3100.0	4.0	3109.02516	3088.01935	3205.76017
3100.0	4.5	3092.99301	3089.02793	3211.18334
3100.0	5.0	3077.63927	3096.67260	3225.34932
3100.0	5.5	2993.09989	2898.43674	3163.76287
3100.0	6.0	3047.91195	3142.43542	3270.97251
3200.0	4.0	3113.08280	2974.77086	3232.84770
3200.0	4.5	3126.03058	3011.19364	3248.28123
3200.0	5.0	3124.35002	3028.87522	3259.52156
3200.0	5.5	3111.32267	3034.48796	3270.55949
3200.0	6.0	3149.46268	3242.32737	3353.12769
3300.0	4.0	3217.32411	3090.66258	3338.21415
3300.0	4.5	3234.12776	3133.25205	3354.66165
3300.0	5.0	3286.94801	3325.57817	3403.89616
3300.0	5.5	3269.43255	3327.91232	3418.26004
3300.0	6.0	3251.22095	3339.94599	3437.71201
3400.0	4.0	3432.37036	3466.19325	3499.11353
3400.0	4.5	3340.12620	3256.90530	3458.75733
3400.0	5.0	3390.92028	3437.40523	3495.84332
3400.0	5.5	3372.88685	3433.43585	3507.36024
3400.0	6.0	3353.29320	3436.95674	3523.98049
3500.0	4.0	3536.94684	3582.54745	3595.39434
3500.0	4.5	3445.91412	3384.85123	3561.59518
3500.0	5.0	3450.65468	3407.05238	3571.22205
3500.0	5.5	3475.85328	3538.62316	3597.80273
3500.0	6.0	3429.45633	3421.08301	3585.98127
3600.0	4.0	3641.82163	3695.46069	3691.82555
3600.0	4.5	3619.71583	3675.76662	3684.57961
3600.0	5.0	3598.51100	3657.70785	3682.99794
3600.0	5.5	3550.31124	3540.23612	3677.91948
3600.0	6.0	3560.04294	3637.83569	3702.69972
3700.0	4.0	3748.52965	3806.98326	3788.37403
3700.0	4.5	3725.24710	3786.07841	3780.43446
3700.0	5.0	3661.49144	3660.17049	3773.15827
3700.0	5.5	3682.38071	3750.95294	3781.70568
3700.0	6.0	3665.09759	3743.02054	3794.91409
3800.0	4.0	3768.86469	3763.30251	3860.16238
3800.0	4.5	3834.91828	3896.22645	3878.87512
3800.0	5.0	3767.21197	3787.14982	3873.39152
3800.0	5.5	3789.36189	3860.04102	3876.74585
3800.0	6.0	3772.15633	3850.93115	3887.98872
3900.0	4.0	3893.12302	3909.28139	3967.66809
3900.0	4.5	3880.41284	3910.98200	3970.94430
3900.0	5.0	3874.79940	3912.82612	3975.82695
3900.0	5.5	3898.40138	3968.62943	3972.22871
3900.0	6.0	3858.45908	3906.87312	3985.71699
4000.0	4.0	4097.97351	4134.47176	4092.20246
4000.0	4.5	4069.50654	4117.57769	4087.42600
4000.0	5.0	3985.01645	4039.01382	4079.23791
4000.0	5.5	3974.79142	4033.05056	4081.39269
4000.0	6.0	3990.51184	4068.20353	4077.97896
4100.0	4.0	4224.84871	4246.90023	4198.08995
4100.0	4.5	4196.18399	4233.49966	4197.16114
4100.0	5.0	4101.76658	4167.73594	4187.90668
4100.0	5.5	4129.21443	4189.70343	4176.35567
4100.0	6.0	4073.75705	4148.56313	4190.41242
4200.0	4.0	4354.88394	4358.90392	4301.77480
4200.0	4.5	4324.48612	4349.85020	4306.77113
4200.0	5.0	4221.79897	4295.27118	4297.48762
4200.0	5.5	4199.87244	4281.59728	4293.96104
4200.0	6.0	4184.31069	4269.57258	4295.88722
4300.0	4.0	4480.02664	4466.26960	4401.04789
4300.0	4.5	4456.35440	4466.77625	4416.03255
4300.0	5.0	4354.46822	4431.42632	4417.16671
4300.0	5.5	4321.84548	4409.74362	4410.14820
4300.0	6.0	4342.45200	4402.52042	4386.86797
4400.0	4.0	4608.49534	4575.05980	4502.90696
4400.0	4.5	4532.80601	4589.83296	4538.94859
4400.0	5.0	4489.00973	4566.04957	4533.15396
4400.0	5.5	4505.69813	4541.36536	4509.46564
4400.0	6.0	4418.58987	4518.72663	4519.70520
4500.0	4.0	4681.73413	4709.38469	4641.14487
4500.0	4.5	4662.89929	4711.06225	4649.55855
4500.0	5.0	4625.77529	4698.92843	4652.56730
4500.0	5.5	4642.92732	4669.70804	4630.64846
4500.0	6.0	4542.76359	4646.64060	4634.88947
4600.0	4.0	4806.40436	4824.58240	4752.31893
4600.0	4.5	4838.76932	4800.61293	4729.23825
4600.0	5.0	4816.56430	4807.70996	4748.41129
4600.0	5.5	4718.19583	4806.48559	4764.95299
4600.0	6.0	4731.27655	4767.22133	4733.22783
4700.0	4.0	4930.75263	4936.72269	4861.49077
4700.0	4.5	4915.63630	4942.41147	4871.03242
4700.0	5.0	4892.67263	4944.82200	4879.17151
4700.0	5.5	4856.48395	4938.24476	4885.69972
4700.0	6.0	4866.99696	4892.21275	4852.22532
4800.0	4.0	5083.58251	5003.13579	4927.33749
4800.0	4.5	5035.98302	5052.66083	4978.95246
4800.0	5.0	5065.18193	5026.20212	4956.62819
4800.0	5.5	5041.69198	5031.89923	4974.21455
4800.0	6.0	5000.51075	5014.54778	4969.11073
4900.0	4.0	5197.03095	5108.51711	5032.55078
4900.0	4.5	5190.19804	5116.48717	5042.27522
4900.0	5.0	5182.02482	5131.38707	5061.29109
4900.0	5.5	5167.36955	5143.72351	5081.06183
4900.0	6.0	5132.54736	5134.47220	5084.23368
5000.0	4.0	5306.87675	5210.86455	5135.07645
5000.0	4.5	5277.25464	5273.46466	5196.93974
5000.0	5.0	5295.15288	5234.65250	5164.71533
5000.0	5.5	5245.82108	5291.35029	5220.51843
5000.0	6.0	5257.65769	5248.09754	5193.12890
5100.0	4.0	5398.27687	5298.70924	5224.91429
5100.0	4.5	5391.74799	5304.21644	5232.15263
