Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
3750.0	5.00	3987.50169	3993.74181	3931.62971	3899.82922	3859.59639
4000.0	5.00	4204.08244	4195.30685	4126.25231	4090.43791	4051.85599
4250.0	5.00	4442.11384	4421.96510	4347.06396	4306.90573	4269.19116
4500.0	5.00	4703.40392	4672.61200	4591.39104	4546.22205	4508.95653
4750.0	5.00	4990.77422	4943.80942	4851.66304	4799.05802	4760.55139
5000.0	5.00	5290.84465	5246.10079	5140.50036	5061.26585	5036.60036
5250.0	5.00	5602.43856	5530.43410	5406.22239	5308.73674	5288.35473
5500.0	5.00	5893.84159	5808.41965	5668.20038	5551.56319	5537.61237
5750.0	5.00	6170.54224	6083.58750	5927.97261	5792.59066	5784.66138
6000.0	5.00	6432.86624	6358.73887	6187.31492	6030.13253	6030.65747
6250.0	5.00	6679.80009	6635.82125	6448.09111	6266.62077	6276.63030
6500.0	5.00	6909.58757	6915.47641	6711.57582	6504.09869	6523.61135
7000.0	5.00	7318.39491	7487.36791	7255.92196	6994.34005	7027.67858
7500.0	5.00	7671.87424	8082.98730	7833.48968	7510.84449	7550.35270
8000.0	5.00	7995.20913	8705.83522	8444.69434	8051.77575	8085.16555
8500.0	5.00	8316.49358	9353.46871	9075.06516	8602.57821	8609.51963
9000.0	5.00	8637.84631	10028.03787	9693.13875	9121.26233	9069.85902
9500.0	5.00	8915.20128	10657.41938	10181.39693	9490.03314	9362.44032
10000.0	5.00	9228.58658	11156.44020	10603.08356	9845.11262	9680.09157
10500.0	5.00	9565.38804	11581.10952	10977.42416	10185.99320	10011.13070
11000.0	5.00	9925.81810	11979.15258	11331.13350	10517.20759	10338.55595
11500.0	5.00	10302.14360	12355.64281	11674.19574	10846.06637	10666.76187
12000.0	5.00	10651.65402	12711.22388	12004.26323	11159.89892	10979.11848
12500.0	5.00	11007.14392	13058.76162	12332.49237	11476.26707	11295.51958
13000.0	5.00	11356.87279	13399.11399	12656.85761	11789.23456	11609.01906
13500.0	5.00	11703.55038	13736.53840	12980.26996	12102.17714	11922.07063
14000.0	5.00	12046.56202	14071.57625	13302.17516	12412.83114	12233.54603
14500.0	5.00	12389.72944	14405.53291	13623.70050	12724.65543	12545.21771
15000.0	5.00	12729.74601	14738.68399	13944.41264	13033.69457	12855.28423
15500.0	5.00	13070.98787	15072.13893	14265.77100	13344.29878	13166.37878
16000.0	5.00	13413.84789	15406.34096	14588.16041	13656.79646	13478.72918
16500.0	5.00	13755.83205	15741.10528	14910.59585	13967.62998	13790.72879
17000.0	5.00	14100.52455	16077.87729	15235.22412	14281.43362	14105.00668
20000.0	5.00	16218.55111	18146.71161	17228.56875	16207.00740	16033.86644
25000.0	5.00	20127.96812	21971.05124	20903.18198	19734.16760	19574.46677
30000.0	5.00	25382.81740	26971.86408	25785.99140	24466.63953	24362.63565
35000.0	5.00	31223.00165	32341.64608	31218.17563	29987.05767	29965.04803
40000.0	5.00	35645.47297	36502.86979	35399.98284	34237.24053	34252.30231
45000.0	5.00	39339.52140	40022.24751	38916.29871	37794.76786	37836.36951
50000.0	5.00	42762.81626	43303.31555	42184.24158	41090.01895	41156.01441
55000.0	5.00	45975.55614	46395.71332	45252.89544	44168.42692	44257.11005
60000.0	5.00	49135.84155	49446.43138	48267.60046	47174.65834	47284.64205
3750.0	5.25	4011.04988	4011.83650	3946.99852	3913.73906	3872.34515
4000.0	5.25	4219.27187	4206.51918	4135.59881	4098.93513	4059.79670
4250.0	5.25	4451.38534	4427.97156	4351.70155	4311.03372	4273.01766
4500.0	5.25	4706.45239	4673.43558	4591.54603	4546.29158	4508.97925
4750.0	5.25	4984.38786	4938.48581	4848.07006	4796.65680	4758.99147
5000.0	5.25	5273.25444	5238.41654	5137.75773	5060.02800	5037.82135
5250.0	5.25	5590.67345	5523.51007	5403.09237	5306.27384	5289.23145
5500.0	5.25	5885.62921	5801.70619	5664.95974	5548.81309	5538.44905
5750.0	5.25	6163.42887	6075.14643	5923.69245	5788.95393	5785.34866
6000.0	5.25	6426.91737	6347.57472	6181.52948	6026.14820	6031.19595
6250.0	5.25	6676.25789	6621.26979	6440.32460	6262.03361	6276.88643
6500.0	5.25	6910.20868	6897.29716	6701.42521	6498.30553	6523.19760
7000.0	5.25	7331.57673	7460.54395	7238.55970	6983.26543	7024.00835
