Teff	log(g)	T_BB_u	T_BB_g	T_BB_r	T_BB_i	T_BB_z
3750.0	5.00	3958.63626	3986.31159	3895.77975	3880.79820	3836.08409
4000.0	5.00	4174.87621	4184.56600	4088.27652	4072.38130	4030.89541
4250.0	5.00	4412.05105	4408.37053	4307.02245	4289.21497	4250.73992
4500.0	5.00	4672.29690	4655.99071	4548.95782	4528.38550	4493.38732
4750.0	5.00	4959.29169	4922.48099	4805.19296	4779.50521	4747.99831
5000.0	5.00	5251.24066	5218.22295	5087.76885	5055.31979	5027.19389
5250.0	5.00	5564.87745	5494.04639	5347.10348	5306.86943	5281.77998
5500.0	5.00	5856.49331	5764.17796	5603.20664	5555.77861	5533.87659
5750.0	5.00	6133.25900	6031.44908	5857.24107	5802.37353	5783.79098
6000.0	5.00	6396.90087	6297.93524	6110.49377	6047.89943	6032.52522
6250.0	5.00	6646.66011	6565.65579	6364.33407	6293.53880	6280.89308
6500.0	5.00	6880.05999	6835.40205	6620.13601	6540.35153	6529.73201
7000.0	5.00	7296.66089	7388.33426	7146.52659	7045.39773	7035.05188
7500.0	5.00	7660.84189	7969.10390	7701.90571	7571.73130	7554.33522
8000.0	5.00	7998.27688	8580.60562	8284.92126	8113.70358	8081.09544
8500.0	5.00	8332.04003	9216.40690	8878.71892	8649.46703	8593.93719
9000.0	5.00	8660.20034	9868.96798	9440.57846	9125.91733	9041.64274
9500.0	5.00	8936.61718	10454.01004	9846.84493	9432.96493	9325.98971
10000.0	5.00	9256.62404	10918.55222	10231.67001	9757.73197	9642.55672
10500.0	5.00	9601.25287	11316.94619	10594.98105	10090.12801	9978.03704
11000.0	5.00	9966.98370	11692.70861	10943.65575	10415.87925	10314.29419
11500.0	5.00	10346.74515	12053.19910	11285.59784	10740.58224	10653.64761
12000.0	5.00	10701.45483	12396.58830	11612.94337	11050.62000	10973.63586
12500.0	5.00	11061.89903	12734.77769	11940.04116	11364.06823	11297.03206
13000.0	5.00	11417.43488	13067.27369	12263.23381	11674.87005	11615.43844
13500.0	5.00	11770.71771	13397.58740	12585.43809	11985.31067	11932.47039
14000.0	5.00	12120.82871	13725.73633	12905.93403	12294.24151	12247.00162
14500.0	5.00	12471.81946	14053.28579	13226.24211	12603.32759	12561.42645
15000.0	5.00	12819.82378	14379.84238	13545.30505	12910.85690	12874.15039
15500.0	5.00	13169.70224	14706.88557	13865.20836	13219.44082	13187.74848
16000.0	5.00	13521.63332	15034.81518	14186.15398	13529.15955	13502.65040
16500.0	5.00	13872.54891	15363.10211	14507.07072	13838.42425	13817.40002
17000.0	5.00	14226.59837	15693.47863	14830.21173	14149.96395	14134.66802
20000.0	5.00	16406.30675	17723.07510	16814.13281	16060.68726	16084.14208
25000.0	5.00	20440.84223	21469.95776	20468.09980	19566.63254	19668.99965
30000.0	5.00	25862.31840	26397.39651	25360.08293	24294.57878	24538.13413
35000.0	5.00	31855.52689	31775.98583	30901.58971	29782.39312	30311.10873
40000.0	5.00	36401.48629	35938.23189	35156.50822	33980.28873	34738.00978
45000.0	5.00	40204.22440	39450.99667	38725.99628	37490.48885	38439.19242
50000.0	5.00	43730.44597	42721.77371	42039.32287	40742.10789	41866.24098
55000.0	5.00	47043.18638	45798.72142	45145.29189	43781.82109	45064.52828
60000.0	5.00	50305.53627	48828.20186	48191.07468	46752.17466	48182.26092
3750.0	5.25	3982.61009	4003.28804	3910.26215	3893.89149	3848.46856
4000.0	5.25	4190.47610	4195.01072	4097.08509	4080.47768	4038.68459
4250.0	5.25	4421.75825	4413.80206	4311.31872	4293.11903	4254.47222
4500.0	5.25	4675.73100	4656.50188	4549.04184	4528.43742	4493.32452
4750.0	5.25	4952.96216	4917.72146	4802.41184	4777.80409	4746.47596
5000.0	5.25	5231.88107	5212.41086	5086.62442	5056.23316	5028.64733
5250.0	5.25	5552.43457	5488.35324	5345.35195	5307.39541	5282.93312
5500.0	5.25	5848.37087	5758.53673	5601.25393	5556.22344	5535.04012
5750.0	5.25	6126.73637	6024.34432	5854.48303	5802.60903	5784.89439
6000.0	5.25	6391.82835	6288.65526	6106.73996	6047.84635	6033.59842
6250.0	5.25	6644.16810	6553.59671	6359.45528	6293.01181	6281.86424
6500.0	5.25	6882.12593	6820.33235	6613.53492	6538.97575	6530.27467
7000.0	5.25	7311.72789	7365.08573	7133.93123	7040.25794	7032.93773
7500.0	5.25	7687.85440	7934.64836	7680.35636	7560.96465	7547.60956
8000.0	5.25	8032.71882	8534.34238	8255.16343	8099.22420	8070.37911
8500.0	5.25	8367.24681	9158.79075	8846.06211	8639.28083	8586.57071
9000.0	5.25	8698.19973	9792.74304	9417.51582	9138.31156	9053.89571
9500.0	5.25	8981.93799	10388.17993	9871.49270	9497.84199	9381.64501
10000.0	5.25	9254.79441	10885.02171	10238.33918	9784.42044	9651.72973
10500.0	5.25	9592.42166	11300.79885	10609.77509	10118.08359	9983.29104
11000.0	5.25	9946.27872	11681.71623	10959.84609	10442.87322	10314.25902
11500.0	5.25	10308.32942	12043.73419	11297.84673	10760.19565	10641.41545
12000.0	5.25	10671.05483	12392.46033	11628.69408	11073.68692	10965.63190
12500.0	5.25	11030.74510	12732.23543	11955.11353	11385.20231	11287.07029
13000.0	5.25	11386.23449	13065.37863	12277.55720	11694.34046	11604.51886
13500.0	5.25	11738.98756	13395.75538	12598.86681	12003.31971	11920.83650
14000.0	5.25	12089.57414	13723.84461	12918.79096	12311.37613	12235.30866
14500.0	5.25	12438.97341	14050.63794	13237.87961	12618.83298	12548.89087
15000.0	5.25	12787.99756	14376.80443	13556.63443	12926.22624	12862.08862
15500.0	5.25	13137.00692	14702.79301	13875.27483	13233.38587	13174.91177
16000.0	5.25	13487.17400	15029.76326	14195.05766	13541.75680	13489.23763
16500.0	5.25	13838.60591	15357.42048	14515.58518	13850.78880	13804.25082
17000.0	5.25	14191.27748	15686.12395	14837.03679	14160.69206	14120.36487
20000.0	5.25	16363.40564	17706.75481	16813.13567	16064.32731	16065.79986
25000.0	5.25	20367.21081	21420.80429	20439.08796	19545.61132	19630.56516
