Teff	log(g)	T_BB_tess
3750.0	5.00	3912.97074
4000.0	5.00	4099.50101
4250.0	5.00	4309.58651
4500.0	5.00	4541.29176
4750.0	5.00	4784.83075
5000.0	5.00	5045.17183
5250.0	5.00	5285.63006
5500.0	5.00	5522.53905
5750.0	5.00	5757.35474
6000.0	5.00	5989.83737
6250.0	5.00	6221.55007
6500.0	5.00	6453.90691
7000.0	5.00	6929.98237
7500.0	5.00	7426.42485
8000.0	5.00	7939.53910
8500.0	5.00	8451.77834
9000.0	5.00	8916.33156
9500.0	5.00	9224.71902
10000.0	5.00	9544.34160
10500.0	5.00	9867.29082
11000.0	5.00	10184.77807
11500.0	5.00	10501.57310
12000.0	5.00	10801.98620
12500.0	5.00	11104.98499
13000.0	5.00	11404.09088
13500.0	5.00	11702.70445
14000.0	5.00	11999.09765
14500.0	5.00	12296.12158
15000.0	5.00	12590.85233
15500.0	5.00	12886.85870
16000.0	5.00	13184.40282
16500.0	5.00	13480.87182
17000.0	5.00	13779.93867
20000.0	5.00	15615.23087
25000.0	5.00	18978.41562
30000.0	5.00	23514.88716
35000.0	5.00	28858.39971
40000.0	5.00	32963.28624
45000.0	5.00	36396.09416
50000.0	5.00	39574.46248
55000.0	5.00	42540.84214
60000.0	5.00	45434.03320
3750.0	5.25	3925.01530
4000.0	5.25	4107.10882
4250.0	5.25	4313.25460
4500.0	5.25	4541.24352
4750.0	5.25	4783.02657
5000.0	5.25	5045.50999
5250.0	5.25	5285.27550
5500.0	5.25	5522.03549
5750.0	5.25	5756.40269
6000.0	5.25	5988.70399
6250.0	5.25	6220.04481
6500.0	5.25	6451.53673
7000.0	5.25	6923.38358
7500.0	5.25	7413.76979
8000.0	5.25	7921.40606
8500.0	5.25	8434.42072
9000.0	5.25	8914.47589
9500.0	5.25	9268.75366
10000.0	5.25	9554.49600
10500.0	5.25	9879.05271
11000.0	5.25	10194.77514
11500.0	5.25	10503.69156
12000.0	5.25	10808.37594
12500.0	5.25	11110.13886
13000.0	5.25	11408.34363
13500.0	5.25	11705.82011
14000.0	5.25	12001.87336
14500.0	5.25	12297.19086
15000.0	5.25	12592.21510
15500.0	5.25	12886.90876
16000.0	5.25	13182.81319
16500.0	5.25	13479.54022
17000.0	5.25	13776.90163
20000.0	5.25	15605.14302
25000.0	5.25	18941.91489
30000.0	5.25	23382.03641
35000.0	5.25	28637.36926
40000.0	5.25	32692.87520
45000.0	5.25	36054.61671
50000.0	5.25	39147.72959
55000.0	5.25	42006.53155
60000.0	5.25	44768.54468
3750.0	5.50	3938.48425
4000.0	5.50	4115.75914
4250.0	5.50	4317.92872
4500.0	5.50	4541.93983
4750.0	5.50	4781.72160
5000.0	5.50	5046.68114
5250.0	5.50	5285.76300
5500.0	5.50	5522.05605
5750.0	5.50	5756.22956
6000.0	5.50	5988.13265
6250.0	5.50	6219.14142
6500.0	5.50	6450.04353
7000.0	5.50	6918.25054
7500.0	5.50	7402.95094
8000.0	5.50	7904.93163
8500.0	5.50	8416.40052
9000.0	5.50	8910.63717
9500.0	5.50	9317.76605
10000.0	5.50	9592.17027
10500.0	5.50	9894.83925
11000.0	5.50	10208.95165
11500.0	5.50	10516.85057
12000.0	5.50	10818.96585
12500.0	5.50	11119.27498
13000.0	5.50	11418.10659
13500.0	5.50	11713.03672
14000.0	5.50	12008.65738
14500.0	5.50	12303.50399
15000.0	5.50	12597.76658
15500.0	5.50	12892.51510
16000.0	5.50	13188.12825
16500.0	5.50	13483.18970
17000.0	5.50	13780.72239
20000.0	5.50	15602.63265
25000.0	5.50	18922.68018
30000.0	5.50	23298.18216
35000.0	5.50	28473.25746
40000.0	5.50	32483.90910
45000.0	5.50	35790.32475
50000.0	5.50	38815.69253
55000.0	5.50	41590.58551
60000.0	5.50	44259.13625
3750.0	5.75	3952.23555
4000.0	5.75	4125.45546
4250.0	5.75	4323.53634
4500.0	5.75	4544.25758
4750.0	5.75	4780.88173
5000.0	5.75	5049.23893
5250.0	5.75	5286.93712
5500.0	5.75	5522.92951
5750.0	5.75	5756.85470
6000.0	5.75	5988.25055
6250.0	5.75	6218.59070
6500.0	5.75	6449.17366
7000.0	5.75	6914.30730
7500.0	5.75	7393.91980
8000.0	5.75	7890.36342
8500.0	5.75	8398.50769
9000.0	5.75	8898.99943
9500.0	5.75	9339.40396
10000.0	5.75	9645.04757
10500.0	5.75	9917.24170
11000.0	5.75	10225.62051
11500.0	5.75	10532.89088
12000.0	5.75	10833.81985
12500.0	5.75	11131.00876
13000.0	5.75	11427.97082
13500.0	5.75	11723.98791
14000.0	5.75	12018.98467
14500.0	5.75	12313.42942
15000.0	5.75	12607.65613
15500.0	5.75	12901.97387
16000.0	5.75	13196.72027
16500.0	5.75	13492.31204
17000.0	5.75	13790.17494
20000.0	5.75	15607.70065
25000.0	5.75	18916.66298
30000.0	5.75	23249.72504
35000.0	5.75	28355.46372
40000.0	5.75	32317.92573
45000.0	5.75	35577.21049
50000.0	5.75	38542.25708
55000.0	5.75	41254.67624
60000.0	5.75	43852.76073
3750.0	6.00	3967.21145
4000.0	6.00	4136.24846
4250.0	6.00	4330.10396
4500.0	6.00	4546.84773
4750.0	6.00	4780.61247
5000.0	6.00	5051.46894
5250.0	6.00	5289.47207
5500.0	6.00	5524.44982
5750.0	6.00	5757.98931
6000.0	6.00	5988.96696
6250.0	6.00	6218.90049
6500.0	6.00	6448.48422
7000.0	6.00	6911.63929
7500.0	6.00	7386.71808
8000.0	6.00	7877.73052
8500.0	6.00	8381.61939
9000.0	6.00	8885.03212
9500.0	6.00	9348.45405
10000.0	6.00	9711.06380
10500.0	6.00	9959.74665
11000.0	6.00	10247.97223
11500.0	6.00	10551.99646
12000.0	6.00	10851.64026
12500.0	6.00	11148.41316
13000.0	6.00	11443.80879
13500.0	6.00	11738.46188
14000.0	6.00	12032.90296
14500.0	6.00	12326.91298
15000.0	6.00	12620.92187
15500.0	6.00	12915.13210
16000.0	6.00	13209.87786
16500.0	6.00	13505.42506
17000.0	6.00	13802.07353
20000.0	6.00	15619.16140
25000.0	6.00	18922.04200
30000.0	6.00	23230.74707
35000.0	6.00	28272.09369
40000.0	6.00	32189.56211
45000.0	6.00	35403.10856
50000.0	6.00	38310.12308
55000.0	6.00	40965.45745
60000.0	6.00	43665.56063
65000.0	6.00	50366.24661
70000.0	6.00	53071.60312
75000.0	6.00	55772.05459
80000.0	6.00	58473.39215
85000.0	6.00	61181.01989
90000.0	6.00	63901.11866
100000.0	6.00	69437.82030
3750.0	6.25	3982.81232
4000.0	6.25	4148.10222
4250.0	6.25	4337.54177
4500.0	6.25	4550.33954
4750.0	6.25	4780.88846
5000.0	6.25	5055.91124
5250.0	6.25	5291.94958
5500.0	6.25	5526.72900
5750.0	6.25	5759.90197
6000.0	6.25	5990.34502
6250.0	6.25	6219.58884
6500.0	6.25	6448.45960
7000.0	6.25	6909.50707
7500.0	6.25	7380.87127
8000.0	6.25	7866.86820
8500.0	6.25	8365.98658
9000.0	6.25	8869.09031
9500.0	6.25	9346.84880
10000.0	6.25	9750.48290
10500.0	6.25	10027.18032
11000.0	6.25	10281.16649
11500.0	6.25	10576.19924
12000.0	6.25	10874.51851
12500.0	6.25	11169.93921
13000.0	6.25	11463.72381
13500.0	6.25	11757.02337
14000.0	6.25	12050.50999
14500.0	6.25	12343.84859
15000.0	6.25	12637.61041
15500.0	6.25	12931.68588
16000.0	6.25	13226.45523
16500.0	6.25	13522.03239
17000.0	6.25	13818.91232
20000.0	6.25	15635.92268
25000.0	6.25	18936.17216
30000.0	6.25	23229.37243
35000.0	6.25	28217.54924
40000.0	6.25	32092.27654
45000.0	6.25	35261.94069
50000.0	6.25	38188.59418
55000.0	6.25	40841.80195
60000.0	6.25	43351.68525
3750.0	6.50	3998.76118
4000.0	6.50	4161.03767
4250.0	6.50	4346.03289
4500.0	6.50	4554.80462
4750.0	6.50	4781.82657
5000.0	6.50	5059.93775
5250.0	6.50	5296.72182
5500.0	6.50	5530.08333
5750.0	6.50	5762.88916
6000.0	6.50	5992.81895
6250.0	6.50	6221.55867
6500.0	6.50	6449.52655
7000.0	6.50	6908.64491
7500.0	6.50	7376.91908
8000.0	6.50	7857.99581
8500.0	6.50	8352.46213
9000.0	6.50	8853.53997
9500.0	6.50	9340.74139
10000.0	6.50	9770.71391
10500.0	6.50	10103.82740
11000.0	6.50	10339.00249
11500.0	6.50	10607.58411
12000.0	6.50	10901.91410
12500.0	6.50	11196.05259
13000.0	6.50	11488.96289
13500.0	6.50	11780.38950
14000.0	6.50	12072.51735
14500.0	6.50	12365.14555
15000.0	6.50	12658.42217
15500.0	6.50	12952.28042
16000.0	6.50	13247.04333
16500.0	6.50	13542.81945
17000.0	6.50	13839.75641
20000.0	6.50	15658.26443
25000.0	6.50	18958.86796
30000.0	6.50	23246.44392
35000.0	6.50	28185.04539
40000.0	6.50	32017.61609
45000.0	6.50	35149.25361
50000.0	6.50	38017.00472
55000.0	6.50	40611.16204
60000.0	6.50	43067.93750
65000.0	6.50	49438.94442
70000.0	6.50	51949.72088
75000.0	6.50	54438.91287
80000.0	6.50	56917.34775
85000.0	6.50	59389.99100
90000.0	6.50	61864.28210
100000.0	6.50	66851.10034
3750.0	6.75	4014.86498
4000.0	6.75	4174.94685
4250.0	6.75	4355.49398
4500.0	6.75	4560.20661
4750.0	6.75	4784.01891
5000.0	6.75	5065.36081
5250.0	6.75	5300.78106
5500.0	6.75	5534.31506
5750.0	6.75	5766.67015
6000.0	6.75	5996.27819
6250.0	6.75	6224.04342
6500.0	6.75	6451.28242
7000.0	6.75	6908.16839
7500.0	6.75	7373.56513
8000.0	6.75	7850.94615
8500.0	6.75	8340.54126
9000.0	6.75	8838.89169
9500.0	6.75	9330.80993
10000.0	6.75	9781.14664
10500.0	6.75	10158.42837
11000.0	6.75	10422.91411
11500.0	6.75	10656.71779
12000.0	6.75	10934.50142
12500.0	6.75	11226.52740
13000.0	6.75	11517.68117
13500.0	6.75	11808.49683
14000.0	6.75	12099.22308
14500.0	6.75	12390.69392
15000.0	6.75	12683.24922
15500.0	6.75	12976.70938
16000.0	6.75	13271.33867
16500.0	6.75	13567.09116
17000.0	6.75	13864.40480
20000.0	6.75	15685.18755
25000.0	6.75	18988.93993
30000.0	6.75	23280.44981
35000.0	6.75	28171.01472
40000.0	6.75	31962.52164
45000.0	6.75	35057.10475
50000.0	6.75	37885.15275
55000.0	6.75	40469.13079
60000.0	6.75	42824.53131
3750.0	7.00	4030.88001
4000.0	7.00	4189.66670
4250.0	7.00	4365.97581
4500.0	7.00	4566.60939
4750.0	7.00	4787.08196
5000.0	7.00	5070.96415
5250.0	7.00	5306.34251
5500.0	7.00	5540.02405
5750.0	7.00	5771.47248
6000.0	7.00	6000.78358
6250.0	7.00	6227.96988
6500.0	7.00	6454.38246
7000.0	7.00	6909.24995
7500.0	7.00	7371.99002
8000.0	7.00	7845.65689
8500.0	7.00	8331.06582
9000.0	7.00	8825.87674
9500.0	7.00	9319.28094
10000.0	7.00	9784.85927
10500.0	7.00	10188.86742
11000.0	7.00	10511.22996
11500.0	7.00	10736.84770
12000.0	7.00	10981.05818
12500.0	7.00	11262.72061
13000.0	7.00	11552.58293
13500.0	7.00	11841.27996
14000.0	7.00	12130.66631
14500.0	7.00	12421.95502
15000.0	7.00	12713.74310
15500.0	7.00	13006.26291
16000.0	7.00	13300.42436
16500.0	7.00	13596.21894
17000.0	7.00	13893.82870
20000.0	7.00	15717.01750
25000.0	7.00	19027.15661
30000.0	7.00	23322.47311
35000.0	7.00	28174.19563
40000.0	7.00	31925.87539
45000.0	7.00	34987.17908
50000.0	7.00	37767.68271
55000.0	7.00	40239.82519
60000.0	7.00	42591.49172
65000.0	7.00	48798.13866
70000.0	7.00	51160.60648
75000.0	7.00	53489.84549
80000.0	7.00	55799.17723
85000.0	7.00	58098.21382
90000.0	7.00	60389.29929
100000.0	7.00	64985.12275
3750.0	7.25	4046.25061
4000.0	7.25	4204.96231
4250.0	7.25	4377.42602
4500.0	7.25	4573.92781
4750.0	7.25	4790.60072
5000.0	7.25	5076.81824
5250.0	7.25	5313.00268
5500.0	7.25	5546.06015
5750.0	7.25	5777.45484
6000.0	7.25	6006.27758
6250.0	7.25	6232.87115
6500.0	7.25	6458.40642
7000.0	7.25	6911.35201
7500.0	7.25	7371.24826
8000.0	7.25	7840.94453
8500.0	7.25	8322.07020
9000.0	7.25	8813.13361
9500.0	7.25	9306.75938
10000.0	7.25	9781.87902
10500.0	7.25	10206.70696
11000.0	7.25	10569.37022
11500.0	7.25	10838.12577
12000.0	7.25	11054.71660
12500.0	7.25	11308.13926
13000.0	7.25	11590.62048
13500.0	7.25	11878.62006
14000.0	7.25	12166.88403
14500.0	7.25	12456.53145
15000.0	7.25	12746.82422
15500.0	7.25	13039.03463
16000.0	7.25	13332.70653
16500.0	7.25	13628.27634
17000.0	7.25	13925.52894
20000.0	7.25	15751.33712
25000.0	7.25	19070.36886
30000.0	7.25	23376.09854
35000.0	7.25	28186.78829
40000.0	7.25	31900.16105
45000.0	7.25	34929.54767
50000.0	7.25	37650.24033
55000.0	7.25	40092.52971
60000.0	7.25	42440.30518
3750.0	7.50	4061.22626
4000.0	7.50	4220.68601
4250.0	7.50	4389.87200
4500.0	7.50	4582.27453
4750.0	7.50	4794.98920
5000.0	7.50	5083.79050
5250.0	7.50	5320.00959
5500.0	7.50	5553.56214
5750.0	7.50	5784.33480
6000.0	7.50	6013.18909
6250.0	7.50	6239.33533
6500.0	7.50	6464.21963
7000.0	7.50	6914.51888
7500.0	7.50	7372.27257
8000.0	7.50	7838.31065
8500.0	7.50	8315.52943
9000.0	7.50	8803.01596
9500.0	7.50	9294.30312
10000.0	7.50	9776.39394
