Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
5000.0	6.50	5077.05394	5139.53881	5104.50466	5046.08543	5047.85437
5000.0	6.75	5055.73882	5135.58144	5106.52990	5049.19405	5051.49141
5000.0	7.00	5033.93035	5131.62059	5108.72923	5052.25978	5055.02834
5000.0	7.25	5012.64260	5127.54084	5110.97108	5055.42600	5058.26728
5000.0	7.50	4992.48168	5123.42360	5113.27778	5058.95025	5061.50884
5000.0	7.75	4973.35953	5119.28760	5115.69160	5062.49971	5064.80067
5000.0	8.00	4954.96841	5115.15854	5118.29629	5066.42440	5068.33516
5000.0	8.25	4936.98008	5110.81403	5120.88084	5070.38316	5072.07153
5000.0	8.50	4919.94166	5106.75861	5124.11445	5074.99261	5076.44277
5000.0	8.75	4902.99374	5102.32518	5127.23188	5079.43455	5081.11866
5000.0	9.00	4886.69826	5097.84250	5130.61867	5084.46250	5086.36765
5000.0	9.25	4870.91783	5093.06333	5134.05559	5089.59781	5092.03540
5000.0	9.50	4856.10800	5088.18814	5137.68782	5095.09453	5098.21922
5250.0	6.50	5417.72919	5420.86506	5365.60052	5295.43368	5297.11166
5250.0	6.75	5397.94809	5416.52073	5366.79907	5298.32544	5301.22801
5250.0	7.00	5376.01623	5412.45530	5368.98085	5301.95208	5306.05684
5250.0	7.25	5352.38624	5408.73576	5371.73185	5306.05542	5310.89564
5250.0	7.50	5328.89239	5405.25596	5374.94784	5310.42267	5315.75457
5250.0	7.75	5306.46985	5401.71177	5378.17909	5314.85448	5320.41599
5250.0	8.00	5285.48584	5398.00133	5381.25994	5319.43194	5324.64433
5250.0	8.25	5265.89948	5394.33534	5384.41590	5324.12568	5329.12753
5250.0	8.50	5247.69140	5390.59248	5387.54361	5329.07146	5333.74410
5250.0	8.75	5230.68214	5386.87645	5390.86861	5334.07260	5338.47791
5250.0	9.00	5215.22198	5383.05573	5394.14200	5339.20702	5343.65481
5250.0	9.25	5200.94899	5379.29052	5397.68315	5344.62040	5349.31376
5250.0	9.50	5188.29266	5375.99118	5401.73592	5350.74731	5355.90714
5500.0	6.50	5745.19921	5701.04809	5628.92803	5546.91239	5548.28869
5500.0	6.75	5725.93099	5695.31288	5628.77522	5548.98268	5552.03545
5500.0	7.00	5708.48700	5689.91437	5628.04536	5550.34750	5555.13934
5500.0	7.25	5688.14373	5686.01243	5629.88299	5553.02719	5558.77366
5500.0	7.50	5664.91563	5682.81782	5633.56412	5558.07464	5564.67150
5500.0	7.75	5640.75793	5680.13997	5637.91592	5563.96216	5571.52167
5500.0	8.00	5616.82596	5677.42780	5642.34983	5569.90586	5577.99905
5500.0	8.25	5593.94402	5674.69896	5646.67919	5575.83577	5584.08456
5500.0	8.50	5572.50702	5671.65579	5650.87174	5581.81867	5590.07645
5500.0	8.75	5552.87311	5668.38589	5654.78895	5587.77971	5595.61643
5500.0	9.00	5535.07691	5665.05991	5658.66240	5593.99661	5601.48981
5500.0	9.25	5519.24064	5661.58608	5662.44169	5600.10025	5607.70486
5500.0	9.50	5505.41846	5658.26281	5666.37941	5606.37011	5614.28010
5750.0	6.50	6051.24374	5975.37568	5887.70715	5792.37410	5791.32084
5750.0	6.75	6038.18817	5971.73085	5889.91773	5797.00495	5798.23164
5750.0	7.00	6023.51384	5967.60672	5891.14454	5800.73988	5804.18375
5750.0	7.25	6010.29426	5962.82280	5891.05514	5803.05163	5808.86711
5750.0	7.50	5992.67336	5957.90262	5892.02478	5806.20458	5813.74483
5750.0	7.75	5971.43547	5954.66088	5894.65035	5810.30577	5819.63238
5750.0	8.00	5948.18320	5952.92905	5899.65721	5816.17648	5825.89471
5750.0	8.25	5924.36075	5951.66561	5905.71138	5823.69499	5833.93252
5750.0	8.50	5900.49344	5950.05450	5911.65795	5831.31526	5842.47385
5750.0	8.75	5877.49668	5948.23257	5917.33291	5839.13714	5850.10576
5750.0	9.00	5856.00244	5945.90075	5922.46592	5846.54124	5857.66842
5750.0	9.25	5836.47161	5943.06577	5927.45745	5853.97591	5865.19416
5750.0	9.50	5819.24663	5940.00035	5932.08866	5861.34497	5872.41983
6000.0	6.50	6333.29877	6238.53933	6138.40354	6031.09978	6028.54483
6000.0	6.75	6328.56524	6238.02978	6141.95285	6036.03525	6035.18717
6000.0	7.00	6320.91361	6237.04284	6146.63932	6042.59634	6043.78566
6000.0	7.25	6311.85562	6235.23855	6150.21186	6048.83067	6052.82889
6000.0	7.50	6303.23105	6232.26756	6151.62089	6052.81345	6059.36694
6000.0	7.75	6289.90664	6228.72238	6153.72534	6057.40997	6066.33518
6000.0	8.00	6271.78556	6225.63574	6156.95170	6062.85363	6073.73221
6000.0	8.25	6250.90821	6223.94985	6161.70997	6069.38016	6082.09327
6000.0	8.50	6228.43198	6223.70337	6167.98647	6076.84874	6090.43407
6000.0	8.75	6205.09614	6224.07087	6175.58494	6085.59333	6099.57884
6000.0	9.00	6181.79423	6224.03146	6183.35968	6095.19212	6109.40609
6000.0	9.25	6159.09115	6223.03005	6190.36351	6104.54653	6119.15859
