Teff	log(g)	T_BB_tess
5000.0	6.50	4962.49571
5000.0	6.75	4965.81644
5000.0	7.00	4968.96747
5000.0	7.25	4972.21017
5000.0	7.50	4975.39959
5000.0	7.75	4978.81653
5000.0	8.00	4982.51297
5000.0	8.25	4986.19762
5000.0	8.50	4990.67734
5000.0	8.75	4995.20002
5000.0	9.00	5000.20302
5000.0	9.25	5005.53289
5000.0	9.50	5011.38090
5250.0	6.50	5203.25823
5250.0	6.75	5206.88964
5250.0	7.00	5211.10257
5250.0	7.25	5215.39077
5250.0	7.50	5219.91789
5250.0	7.75	5224.34172
5250.0	8.00	5228.74420
5250.0	8.25	5233.26369
5250.0	8.50	5237.92084
5250.0	8.75	5242.78200
5250.0	9.00	5247.94815
5250.0	9.25	5253.38531
5250.0	9.50	5259.72035
5500.0	6.50	5445.50261
5500.0	6.75	5448.56951
5500.0	7.00	5451.14836
5500.0	7.25	5454.89209
5500.0	7.50	5460.25134
5500.0	7.75	5466.31140
5500.0	8.00	5472.57709
5500.0	8.25	5478.47009
5500.0	8.50	5484.21320
5500.0	8.75	5490.13446
5500.0	9.00	5496.18443
5500.0	9.25	5502.14408
5500.0	9.50	5508.58187
5750.0	6.50	5681.40990
5750.0	6.75	5687.37365
5750.0	7.00	5692.61515
5750.0	7.25	5696.19177
5750.0	7.50	5700.46098
5750.0	7.75	5705.92685
5750.0	8.00	5711.75970
5750.0	8.25	5719.45308
5750.0	8.50	5727.30351
5750.0	8.75	5735.07287
5750.0	9.00	5742.40626
5750.0	9.25	5749.79762
5750.0	9.50	5757.15066
6000.0	6.50	5911.95859
6000.0	6.75	5917.80407
6000.0	7.00	5925.22223
6000.0	7.25	5932.86179
6000.0	7.50	5938.88376
6000.0	7.75	5944.93166
6000.0	8.00	5951.49275
6000.0	8.25	5958.91005
6000.0	8.50	5966.55999
6000.0	8.75	5975.20512
6000.0	9.00	5985.00597
6000.0	9.25	5994.41711
6000.0	9.50	6003.75752
6250.0	6.50	6141.60858
6250.0	6.75	6146.97282
6250.0	7.00	6155.60621
6250.0	7.25	6162.88090
6250.0	7.50	6170.79271
6250.0	7.75	6179.50706
6250.0	8.00	6187.15122
6250.0	8.25	6196.18738
6250.0	8.50	6205.15718
6250.0	8.75	6214.40512
6250.0	9.00	6224.47663
6250.0	9.25	6234.85844
6250.0	9.50	6246.29690
6500.0	6.50	6372.69294
6500.0	6.75	6376.77607
6500.0	7.00	6382.89283
6500.0	7.25	6389.88237
6500.0	7.50	6399.27649
6500.0	7.75	6407.56893
6500.0	8.00	6415.97004
6500.0	8.25	6427.08597
6500.0	8.50	6438.59090
6500.0	8.75	6449.82637
6500.0	9.00	6461.44871
6500.0	9.25	6473.33504
6500.0	9.50	6486.15827
6750.0	6.50	6601.97669
6750.0	6.75	6605.52434
6750.0	7.00	6610.29998
6750.0	7.25	6615.88994
6750.0	7.50	6623.09462
6750.0	7.75	6631.40558
6750.0	8.00	6640.55976
6750.0	8.25	6651.18575
6750.0	8.50	6663.68009
6750.0	8.75	6676.99446
6750.0	9.00	6692.14972
6750.0	9.25	6706.65340
6750.0	9.50	6721.91997
7000.0	6.50	6836.90926
7000.0	6.75	6838.93128
7000.0	7.00	6841.97884
7000.0	7.25	6846.61943
7000.0	7.50	6852.54697
7000.0	7.75	6860.16671
7000.0	8.00	6868.71375
7000.0	8.25	6878.55810
7000.0	8.50	6890.11162
7000.0	8.75	6904.22102
