Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
5000.0	6.50	5132.31336	5072.01737	5054.43341
5000.0	6.75	5131.90603	5074.64186	5057.97507
5000.0	7.00	5131.70361	5076.92376	5060.67629
5000.0	7.25	5131.58217	5080.11936	5064.50511
5000.0	7.50	5131.43638	5082.64042	5067.06466
5000.0	7.75	5131.29053	5085.86359	5070.30477
5000.0	8.00	5131.12553	5089.86462	5074.52153
5000.0	8.25	5130.80729	5093.19815	5077.61661
5000.0	8.50	5130.85907	5098.10458	5082.78684
5000.0	8.75	5130.50889	5102.67549	5087.37078
5000.0	9.00	5130.33147	5107.75499	5092.56519
5000.0	9.25	5129.76412	5112.29848	5097.53347
5000.0	9.50	5129.11078	5117.93172	5103.77106
5250.0	6.50	5402.25747	5325.83285	5304.69499
5250.0	6.75	5400.75838	5327.51398	5307.60676
5250.0	7.00	5400.21648	5331.20658	5313.13568
5250.0	7.25	5400.37412	5334.73728	5317.99153
5250.0	7.50	5400.92710	5338.24052	5322.20752
5250.0	7.75	5401.60934	5342.15018	5326.74181
5250.0	8.00	5402.05599	5346.35156	5331.42729
5250.0	8.25	5402.50346	5350.04428	5335.00109
5250.0	8.50	5402.81965	5354.57063	5339.62678
5250.0	8.75	5403.08994	5359.20460	5344.40280
5250.0	9.00	5403.30297	5365.23719	5350.48189
5250.0	9.25	5403.30808	5369.81816	5355.27383
5250.0	9.50	5403.88137	5376.89604	5362.67363
5500.0	6.50	5673.46252	5580.98775	5556.10319
5500.0	6.75	5670.30676	5583.15765	5560.50715
5500.0	7.00	5667.18059	5583.78771	5563.39136
5500.0	7.25	5666.58987	5585.25605	5566.97659
5500.0	7.50	5667.19897	5589.75988	5571.90604
5500.0	7.75	5668.64282	5594.61946	5578.15839
5500.0	8.00	5670.37722	5600.25161	5585.06316
5500.0	8.25	5671.85945	5605.40996	5590.86933
5500.0	8.50	5673.20363	5610.74789	5596.85203
5500.0	8.75	5674.22342	5615.64081	5602.10431
5500.0	9.00	5675.06992	5622.48233	5608.94300
5500.0	9.25	5675.64850	5628.59154	5614.97440
5500.0	9.50	5676.16240	5633.95253	5620.54695
5750.0	6.50	5940.49589	5830.57512	5800.32166
5750.0	6.75	5939.28336	5835.50505	5808.12191
5750.0	7.00	5937.52393	5836.20106	5812.38312
5750.0	7.25	5934.66875	5839.44502	5817.25647
5750.0	7.50	5932.54312	5842.15142	5822.67108
5750.0	7.75	5932.67634	5845.00263	5827.58095
5750.0	8.00	5934.98832	5849.94214	5833.62959
5750.0	8.25	5937.95868	5857.19788	5842.47569
5750.0	8.50	5940.96188	5862.58780	5849.52543
5750.0	8.75	5943.72233	5868.52667	5856.82898
5750.0	9.00	5945.92756	5876.77445	5864.87423
5750.0	9.25	5947.64661	5883.84331	5871.92856
5750.0	9.50	5948.85668	5891.71777	5879.93302
6000.0	6.50	6197.87557	6072.99603	6038.66272
6000.0	6.75	6199.14379	6075.58654	6044.73615
6000.0	7.00	6200.51351	6083.68947	6053.78232
6000.0	7.25	6200.83441	6089.73778	6063.35140
6000.0	7.50	6199.41835	6092.38121	6068.64209
6000.0	7.75	6198.33270	6095.83235	6075.38953
6000.0	8.00	6198.47744	6100.89542	6083.51066
6000.0	8.25	6200.15928	6104.63292	6090.03429
6000.0	8.50	6203.99620	6109.84761	6097.83716
6000.0	8.75	6208.85611	6119.36425	6108.80304
6000.0	9.00	6213.59159	6128.30258	6117.33122
6000.0	9.25	6217.43957	6137.03481	6126.92563
6000.0	9.50	6220.57879	6146.67151	6137.32128
6250.0	6.50	6453.22135	6312.35388	6275.85347
6250.0	6.75	6453.93574	6319.37822	6282.88217
6250.0	7.00	6455.15479	6324.61286	6291.73256
6250.0	7.25	6458.22350	6330.90720	6301.23677
6250.0	7.50	6460.85670	6337.37353	6309.09912
6250.0	7.75	6461.50472	6343.46461	6319.51230
6250.0	8.00	6462.11198	6348.86601	6328.44259
6250.0	8.25	6463.54285	6353.55784	6337.59335
6250.0	8.50	6466.20492	6360.06158	6347.36563
6250.0	8.75	6470.27200	6367.59382	6357.69583
6250.0	9.00	6475.57990	6375.69890	6368.05419
6250.0	9.25	6482.43556	6386.03065	6378.81437
6250.0	9.50	6488.75611	6396.67196	6389.84342
6500.0	6.50	6706.08331	6557.51665	6515.60479
6500.0	6.75	6705.41019	6560.27285	6521.93399
6500.0	7.00	6706.73605	6563.14612	6527.21978
6500.0	7.25	6709.32186	6568.96336	6534.13208
6500.0	7.50	6712.43630	6575.16968	6545.02129
6500.0	7.75	6716.21602	6583.30534	6556.79029
6500.0	8.00	6719.50966	6588.90224	6564.48768
6500.0	8.25	6722.80697	6594.04294	6575.21752
6500.0	8.50	6726.21420	6602.02890	6587.33930
6500.0	8.75	6730.49300	6613.29662	6601.02837
6500.0	9.00	6736.17722	6622.98812	6614.41143
6500.0	9.25	6743.02112	6631.20799	6625.77753
6500.0	9.50	6751.07452	6642.09873	6639.05334
6750.0	6.50	6960.87237	6799.20217	6752.66453
6750.0	6.75	6957.03342	6800.44223	6757.41839
6750.0	7.00	6955.36741	6802.92424	6763.42851
6750.0	7.25	6956.26856	6804.47602	6769.42515
6750.0	7.50	6959.32279	6808.90559	6777.38311
6750.0	7.75	6963.62835	6817.46025	6786.95778
6750.0	8.00	6967.60400	6824.45678	6799.10595
6750.0	8.25	6972.34371	6829.03501	6808.38622
6750.0	8.50	6978.79570	6841.09121	6822.43785
