Teff R M
3250.0 0.020348026159867045 0.151
3500.0 0.020348026159867045 0.151
3750.0 0.020415292545521047 0.152
4000.0 0.02048233802171473 0.153
4250.0 0.02054916475072295 0.154
4500.0 0.020615774859774935 0.155
4750.0 0.020682170441844398 0.156
5000.0 0.02081432623023502 0.158
5250.0 0.021011001398514324 0.161
5500.0 0.021141101721564047 0.163
5750.0 0.021334764712816486 0.166
6000.0 0.021526685501975465 0.169
6250.0 0.021653687698267657 0.171
6500.0 0.021779949338032345 0.173
6750.0 0.021905483226817957 0.175
7000.0 0.022030301805321468 0.177
7500.0 0.02227784105562847 0.181
8000.0 0.022522659846610928 0.185
8500.0 0.022764845947917927 0.189
9000.0 0.023004482508822716 0.193
9500.0 0.023300562677360366 0.198
10000.0 0.02353474507080741 0.202
11000.0 0.023824236212956804 0.207
12000.0 0.024053320677134317 0.211
13000.0 0.024223712327939715 0.214
14000.0 0.024392913772169567 0.217
15000.0 0.024560949607989935 0.22
16000.0 0.024727843597773386 0.223
17000.0 0.02483848327151015 0.225
18000.0 0.024948632296425327 0.227
19000.0 0.025058297142770587 0.229
20000.0 0.025167484139828757 0.231
21000.0 0.025276199480176592 0.233
22000.0 0.025330382177895648 0.234
23000.0 0.0254384013552621 0.236
24000.0 0.02549223930195177 0.237
25000.0 0.025599575521112097 0.239
26000.0 0.025653075214829422 0.24
27000.0 0.025759741268321056 0.242
28000.0 0.025812909005523126 0.243
29000.0 0.025918917291441093 0.245
30000.0 0.02602449376632928 0.247
31000.0 0.02618206025398752 0.25
32000.0 0.026286579872181554 0.252
33000.0 0.02639068554641444 0.254
34000.0 0.026494382156277495 0.256
35000.0 0.02659767448624076 0.258
36000.0 0.02670056722822888 0.26
37000.0 0.026803064984108026 0.262
38000.0 0.02690517226808751 0.264
39000.0 0.027057610724622125 0.267
40000.0 0.027158761023992496 0.269
42500.0 0.027459976457706155 0.275
45000.0 0.027757923441014437 0.281
47500.0 0.02805270611646336 0.287
50000.0 0.028296012546638608 0.292
52500.0 0.02858524676715197 0.298
55000.0 0.02891903076790417 0.305
57500.0 0.02920209491208517 0.311
60000.0 0.02948244145171619 0.317
65000.0 0.030080897068892935 0.33
70000.0 0.030667676517545147 0.343
75000.0 0.031243437670977377 0.356
80000.0 0.0318087788513754 0.369
85000.0 0.03236424611405564 0.382
90000.0 0.03295197174924739 0.396
100000.0 0.034137230036191214 0.425
110000.0 0.035321530375127405 0.455
120000.0 0.03635442941635226 0.482
130000.0 0.03724852433300288 0.506
140000.0 0.03812165515535858 0.53
150000.0 0.03908061695945406 0.557
3250.0 0.016474262526455112 0.313
