logg logTeff y Filt Mod Teff
3.5 3.301 0.5595 B PHOENIX 1999.8618696327449
3.5 3.342 0.5871 B PHOENIX 2197.8598727848253
3.5 3.38 0.5722 B PHOENIX 2398.83291901949
3.5 3.415 0.559 B PHOENIX 2600.159563165272
3.5 3.447 0.5243 B PHOENIX 2798.981319634363
3.5 3.477 0.5135 B PHOENIX 2999.16251898765
3.5 3.505 0.5463 B PHOENIX 3198.895109691397
3.5 3.531 0.5532 B PHOENIX 3396.2527259040853
3.5 3.556 0.4393 B PHOENIX 3597.4933515574235
3.5 3.58 0.4846 B PHOENIX 3801.8939632056126
3.5 3.602 0.3184 B PHOENIX 3999.4474976109736
3.5 3.623 0.3026 B PHOENIX 4197.589839910078
3.5 3.643 0.3955 B PHOENIX 4395.416154378243
3.5 3.663 0.398 B PHOENIX 4602.565735813559
3.5 3.681 -0.0645 B PHOENIX 4797.334486366892
3.5 3.699 0.2712 B PHOENIX 5000.345349769783
3.5 3.716 0.6943 B PHOENIX 5199.959965335162
3.5 3.732 0.638 B PHOENIX 5395.1062251512785
3.5 3.748 0.5801 B PHOENIX 5597.576014951104
3.5 3.763 0.478 B PHOENIX 5794.286964268809
3.5 3.845 0.2828 B PHOENIX 6998.419960022738
3.5 3.857 0.163 B PHOENIX 7194.489780036998
3.5 3.869 0.1083 B PHOENIX 7396.052750582382
3.5 3.881 0.3235 B PHOENIX 7603.262769401815
3.5 3.892 0.8467 B PHOENIX 7798.3011052325855
3.5 3.903 1.0756 B PHOENIX 7998.342550070284
3.5 3.914 0.9207 B PHOENIX 8203.515443298185
3.5 3.924 0.7932 B PHOENIX 8394.599865193974
3.5 3.934 0.8185 B PHOENIX 8590.13521505396
3.5 3.944 0.7853 B PHOENIX 8790.225168308842
3.5 3.954 0.7254 B PHOENIX 8994.975815300355
3.5 3.964 0.6948 B PHOENIX 9204.495717531712
3.5 3.973 0.6699 B PHOENIX 9397.233105646375
3.5 3.982 0.6485 B PHOENIX 9594.006315159337
3.5 3.991 0.6205 B PHOENIX 9794.89985408699
4.0 3.301 0.6798 B PHOENIX 1999.8618696327449
4.0 3.342 0.6212 B PHOENIX 2197.8598727848253
4.0 3.38 0.6216 B PHOENIX 2398.83291901949
4.0 3.415 0.5969 B PHOENIX 2600.159563165272
4.0 3.447 0.5377 B PHOENIX 2798.981319634363
4.0 3.477 0.5205 B PHOENIX 2999.16251898765
