logg logTeff y Filt Mod Teff
3.5 3.301 0.5263 I PHOENIX 1999.8618696327449
3.5 3.342 0.5705 I PHOENIX 2197.8598727848253
3.5 3.38 0.6046 I PHOENIX 2398.83291901949
3.5 3.415 0.528 I PHOENIX 2600.159563165272
3.5 3.447 0.4355 I PHOENIX 2798.981319634363
3.5 3.477 0.4254 I PHOENIX 2999.16251898765
3.5 3.505 0.4242 I PHOENIX 3198.895109691397
3.5 3.531 0.4651 I PHOENIX 3396.2527259040853
3.5 3.556 0.4147 I PHOENIX 3597.4933515574235
3.5 3.58 0.4943 I PHOENIX 3801.8939632056126
3.5 3.602 0.2589 I PHOENIX 3999.4474976109736
3.5 3.623 0.163 I PHOENIX 4197.589839910078
3.5 3.643 0.218 I PHOENIX 4395.416154378243
3.5 3.663 0.2334 I PHOENIX 4602.565735813559
3.5 3.681 -0.0078 I PHOENIX 4797.334486366892
3.5 3.699 0.1622 I PHOENIX 5000.345349769783
3.5 3.716 0.3799 I PHOENIX 5199.959965335162
3.5 3.732 0.3466 I PHOENIX 5395.1062251512785
3.5 3.748 0.3166 I PHOENIX 5597.576014951104
3.5 3.763 0.263 I PHOENIX 5794.286964268809
3.5 3.845 0.1608 I PHOENIX 6998.419960022738
3.5 3.857 0.1096 I PHOENIX 7194.489780036998
3.5 3.869 0.0815 I PHOENIX 7396.052750582382
3.5 3.881 0.1861 I PHOENIX 7603.262769401815
3.5 3.892 0.4047 I PHOENIX 7798.3011052325855
3.5 3.903 0.4765 I PHOENIX 7998.342550070284
3.5 3.914 0.4885 I PHOENIX 8203.515443298185
3.5 3.924 0.5141 I PHOENIX 8394.599865193974
3.5 3.934 0.4844 I PHOENIX 8590.13521505396
3.5 3.944 0.4675 I PHOENIX 8790.225168308842
3.5 3.954 0.4643 I PHOENIX 8994.975815300355
3.5 3.964 0.4552 I PHOENIX 9204.495717531712
3.5 3.973 0.4499 I PHOENIX 9397.233105646375
3.5 3.982 0.4456 I PHOENIX 9594.006315159337
3.5 3.991 0.4539 I PHOENIX 9794.89985408699
4.0 3.301 0.5195 I PHOENIX 1999.8618696327449
4.0 3.342 0.5596 I PHOENIX 2197.8598727848253
4.0 3.38 0.5806 I PHOENIX 2398.83291901949
4.0 3.415 0.5387 I PHOENIX 2600.159563165272
4.0 3.447 0.4627 I PHOENIX 2798.981319634363
4.0 3.477 0.4171 I PHOENIX 2999.16251898765
4.0 3.505 0.3802 I PHOENIX 3198.895109691397
4.0 3.531 0.3653 I PHOENIX 3396.2527259040853
4.0 3.556 0.3437 I PHOENIX 3597.4933515574235
4.0 3.58 0.3567 I PHOENIX 3801.8939632056126
4.0 3.602 0.2916 I PHOENIX 3999.4474976109736
4.0 3.623 0.3373 I PHOENIX 4197.589839910078
4.0 3.643 0.3529 I PHOENIX 4395.416154378243
4.0 3.663 0.361 I PHOENIX 4602.565735813559
4.0 3.681 0.3281 I PHOENIX 4797.334486366892
4.0 3.699 0.3864 I PHOENIX 5000.345349769783
4.0 3.716 0.3886 I PHOENIX 5199.959965335162
4.0 3.732 0.3557 I PHOENIX 5395.1062251512785
4.0 3.748 0.3255 I PHOENIX 5597.576014951104
4.0 3.763 0.2713 I PHOENIX 5794.286964268809
4.0 3.845 0.1713 I PHOENIX 6998.419960022738
4.0 3.857 0.119 I PHOENIX 7194.489780036998
4.0 3.869 0.0897 I PHOENIX 7396.052750582382
4.0 3.881 0.1976 I PHOENIX 7603.262769401815
4.0 3.892 0.4328 I PHOENIX 7798.3011052325855
4.0 3.903 0.5145 I PHOENIX 7998.342550070284
4.0 3.914 0.5017 I PHOENIX 8203.515443298185
4.0 3.924 0.4602 I PHOENIX 8394.599865193974
4.0 3.934 0.4249 I PHOENIX 8590.13521505396
4.0 3.944 0.4758 I PHOENIX 8790.225168308842
4.0 3.954 0.488 I PHOENIX 8994.975815300355
4.0 3.964 0.4548 I PHOENIX 9204.495717531712
4.0 3.973 0.4351 I PHOENIX 9397.233105646375
4.0 3.982 0.427 I PHOENIX 9594.006315159337
4.0 3.991 0.4268 I PHOENIX 9794.89985408699
4.5 3.301 0.5197 I PHOENIX 1999.8618696327449
4.5 3.342 0.5512 I PHOENIX 2197.8598727848253
4.5 3.38 0.5686 I PHOENIX 2398.83291901949
4.5 3.415 0.5397 I PHOENIX 2600.159563165272
