log(g) logTeff y Filt Mod Teff
3.5 3.301 0.5999 R PHOENIX 1999.8618696327449
3.5 3.342 0.7101 R PHOENIX 2197.8598727848253
3.5 3.38 0.7954 R PHOENIX 2398.83291901949
3.5 3.415 0.664 R PHOENIX 2600.159563165272
3.5 3.447 0.5118 R PHOENIX 2798.981319634363
3.5 3.477 0.5582 R PHOENIX 2999.16251898765
3.5 3.505 0.5825 R PHOENIX 3198.895109691397
3.5 3.531 0.6917 R PHOENIX 3396.2527259040853
3.5 3.556 0.6893 R PHOENIX 3597.4933515574235
3.5 3.58 1.0985 R PHOENIX 3801.8939632056126
3.5 3.602 0.5109 R PHOENIX 3999.4474976109736
3.5 3.623 0.1659 R PHOENIX 4197.589839910078
3.5 3.643 0.2268 R PHOENIX 4395.416154378243
3.5 3.663 0.2703 R PHOENIX 4602.565735813559
3.5 3.681 -0.0064 R PHOENIX 4797.334486366892
3.5 3.699 0.1906 R PHOENIX 5000.345349769783
3.5 3.716 0.4498 R PHOENIX 5199.959965335162
3.5 3.732 0.4127 R PHOENIX 5395.1062251512785
3.5 3.748 0.3793 R PHOENIX 5597.576014951104
3.5 3.763 0.3221 R PHOENIX 5794.286964268809
3.5 3.845 0.1961 R PHOENIX 6998.419960022738
3.5 3.857 0.13 R PHOENIX 7194.489780036998
3.5 3.869 0.0943 R PHOENIX 7396.052750582382
3.5 3.881 0.2225 R PHOENIX 7603.262769401815
3.5 3.892 0.4886 R PHOENIX 7798.3011052325855
3.5 3.903 0.5695 R PHOENIX 7998.342550070284
3.5 3.914 0.5778 R PHOENIX 8203.515443298185
3.5 3.924 0.6078 R PHOENIX 8394.599865193974
3.5 3.934 0.575 R PHOENIX 8590.13521505396
3.5 3.944 0.55 R PHOENIX 8790.225168308842
3.5 3.954 0.5433 R PHOENIX 8994.975815300355
3.5 3.964 0.5301 R PHOENIX 9204.495717531712
3.5 3.973 0.5218 R PHOENIX 9397.233105646375
3.5 3.982 0.5147 R PHOENIX 9594.006315159337
3.5 3.991 0.5189 R PHOENIX 9794.89985408699
4.0 3.301 0.6186 R PHOENIX 1999.8618696327449
4.0 3.342 0.6838 R PHOENIX 2197.8598727848253
4.0 3.38 0.7279 R PHOENIX 2398.83291901949
4.0 3.415 0.6756 R PHOENIX 2600.159563165272
4.0 3.447 0.5994 R PHOENIX 2798.981319634363
4.0 3.477 0.5647 R PHOENIX 2999.16251898765
4.0 3.505 0.5233 R PHOENIX 3198.895109691397
4.0 3.531 0.5474 R PHOENIX 3396.2527259040853
4.0 3.556 0.5834 R PHOENIX 3597.4933515574235
4.0 3.58 0.7172 R PHOENIX 3801.8939632056126
4.0 3.602 0.5254 R PHOENIX 3999.4474976109736
4.0 3.623 0.5322 R PHOENIX 4197.589839910078
4.0 3.643 0.5205 R PHOENIX 4395.416154378243
