log(g) logTeff y Filt Mod Teff
3.5 3.301 0.2636 U PHOENIX 1999.8618696327449
3.5 3.342 0.3829 U PHOENIX 2197.8598727848253
3.5 3.38 0.4306 U PHOENIX 2398.83291901949
3.5 3.415 0.408 U PHOENIX 2600.159563165272
3.5 3.447 0.3857 U PHOENIX 2798.981319634363
3.5 3.477 0.4282 U PHOENIX 2999.16251898765
3.5 3.505 0.4646 U PHOENIX 3198.895109691397
3.5 3.531 0.5328 U PHOENIX 3396.2527259040853
3.5 3.556 0.4055 U PHOENIX 3597.4933515574235
3.5 3.58 0.4046 U PHOENIX 3801.8939632056126
3.5 3.602 0.4144 U PHOENIX 3999.4474976109736
3.5 3.623 0.4518 U PHOENIX 4197.589839910078
3.5 3.643 0.4641 U PHOENIX 4395.416154378243
3.5 3.663 0.4073 U PHOENIX 4602.565735813559
3.5 3.681 -0.3975 U PHOENIX 4797.334486366892
3.5 3.699 0.3279 U PHOENIX 5000.345349769783
3.5 3.716 1.0212 U PHOENIX 5199.959965335162
3.5 3.732 0.8884 U PHOENIX 5395.1062251512785
3.5 3.748 0.7758 U PHOENIX 5597.576014951104
3.5 3.763 0.5859 U PHOENIX 5794.286964268809
3.5 3.845 0.3569 U PHOENIX 6998.419960022738
3.5 3.857 0.1977 U PHOENIX 7194.489780036998
3.5 3.869 0.133 U PHOENIX 7396.052750582382
3.5 3.881 0.3964 U PHOENIX 7603.262769401815
3.5 3.892 1.0622 U PHOENIX 7798.3011052325855
3.5 3.903 1.3665 U PHOENIX 7998.342550070284
3.5 3.914 1.1554 U PHOENIX 8203.515443298185
3.5 3.924 1.0056 U PHOENIX 8394.599865193974
3.5 3.934 1.0526 U PHOENIX 8590.13521505396
3.5 3.944 0.9914 U PHOENIX 8790.225168308842
3.5 3.954 0.9313 U PHOENIX 8994.975815300355
3.5 3.964 0.8953 U PHOENIX 9204.495717531712
3.5 3.973 0.8515 U PHOENIX 9397.233105646375
3.5 3.982 0.8184 U PHOENIX 9594.006315159337
3.5 3.991 0.7695 U PHOENIX 9794.89985408699
4.0 3.301 0.4203 U PHOENIX 1999.8618696327449
4.0 3.342 0.4068 U PHOENIX 2197.8598727848253
4.0 3.38 0.455 U PHOENIX 2398.83291901949
4.0 3.415 0.4615 U PHOENIX 2600.159563165272
4.0 3.447 0.4397 U PHOENIX 2798.981319634363
4.0 3.477 0.4607 U PHOENIX 2999.16251898765
4.0 3.505 0.4375 U PHOENIX 3198.895109691397
4.0 3.531 0.4205 U PHOENIX 3396.2527259040853
4.0 3.556 0.3835 U PHOENIX 3597.4933515574235
4.0 3.58 0.4099 U PHOENIX 3801.8939632056126
4.0 3.602 0.4217 U PHOENIX 3999.4474976109736
4.0 3.623 0.5473 U PHOENIX 4197.589839910078
4.0 3.643 0.8158 U PHOENIX 4395.416154378243
4.0 3.663 1.0384 U PHOENIX 4602.565735813559
4.0 3.681 1.1692 U PHOENIX 4797.334486366892
4.0 3.699 1.3838 U PHOENIX 5000.345349769783
4.0 3.716 1.1972 U PHOENIX 5199.959965335162
4.0 3.732 1.0203 U PHOENIX 5395.1062251512785
4.0 3.748 0.8739 U PHOENIX 5597.576014951104
4.0 3.763 0.6386 U PHOENIX 5794.286964268809
4.0 3.845 0.3997 U PHOENIX 6998.419960022738
4.0 3.857 0.2331 U PHOENIX 7194.489780036998
4.0 3.869 0.1715 U PHOENIX 7396.052750582382
4.0 3.881 0.4103 U PHOENIX 7603.262769401815
4.0 3.892 0.9525 U PHOENIX 7798.3011052325855
4.0 3.903 1.2249 U PHOENIX 7998.342550070284
4.0 3.914 1.2099 U PHOENIX 8203.515443298185
4.0 3.924 1.3222 U PHOENIX 8394.599865193974
4.0 3.934 1.3356 U PHOENIX 8590.13521505396
4.0 3.944 1.1094 U PHOENIX 8790.225168308842
4.0 3.954 1.0029 U PHOENIX 8994.975815300355
4.0 3.964 0.9503 U PHOENIX 9204.495717531712
4.0 3.973 0.9225 U PHOENIX 9397.233105646375
4.0 3.982 0.8802 U PHOENIX 9594.006315159337
4.0 3.991 0.8251 U PHOENIX 9794.89985408699
4.5 3.301 0.4863 U PHOENIX 1999.8618696327449
4.5 3.342 0.4715 U PHOENIX 2197.8598727848253
4.5 3.38 0.5144 U PHOENIX 2398.83291901949
4.5 3.415 0.5039 U PHOENIX 2600.159563165272
4.5 3.447 0.4725 U PHOENIX 2798.981319634363
4.5 3.477 0.4526 U PHOENIX 2999.16251898765
4.5 3.505 0.4219 U PHOENIX 3198.895109691397
4.5 3.531 0.409 U PHOENIX 3396.2527259040853
4.5 3.556 0.4204 U PHOENIX 3597.4933515574235
4.5 3.58 0.4456 U PHOENIX 3801.8939632056126
4.5 3.602 0.5141 U PHOENIX 3999.4474976109736
4.5 3.623 0.8053 U PHOENIX 4197.589839910078
4.5 3.643 1.1276 U PHOENIX 4395.416154378243
4.5 3.663 1.3315 U PHOENIX 4602.565735813559
4.5 3.681 1.4463 U PHOENIX 4797.334486366892
4.5 3.699 1.4002 U PHOENIX 5000.345349769783
4.5 3.716 1.2553 U PHOENIX 5199.959965335162
4.5 3.732 1.0908 U PHOENIX 5395.1062251512785
4.5 3.748 0.9375 U PHOENIX 5597.576014951104
4.5 3.763 0.664 U PHOENIX 5794.286964268809
4.5 3.845 0.4308 U PHOENIX 6998.419960022738
4.5 3.857 0.2591 U PHOENIX 7194.489780036998
