log(g) logTeff y Filt Mod Teff
3.5 3.301 0.7961 V PHOENIX 1999.8618696327449
3.5 3.342 0.8447 V PHOENIX 2197.8598727848253
3.5 3.38 0.8472 V PHOENIX 2398.83291901949
3.5 3.415 0.7235 V PHOENIX 2600.159563165272
3.5 3.447 0.596 V PHOENIX 2798.981319634363
3.5 3.477 0.6214 V PHOENIX 2999.16251898765
3.5 3.505 0.6547 V PHOENIX 3198.895109691397
3.5 3.531 0.7249 V PHOENIX 3396.2527259040853
3.5 3.556 0.6576 V PHOENIX 3597.4933515574235
3.5 3.58 0.9072 V PHOENIX 3801.8939632056126
3.5 3.602 0.4508 V PHOENIX 3999.4474976109736
3.5 3.623 0.2233 V PHOENIX 4197.589839910078
3.5 3.643 0.2982 V PHOENIX 4395.416154378243
3.5 3.663 0.3208 V PHOENIX 4602.565735813559
3.5 3.681 -0.0118 V PHOENIX 4797.334486366892
3.5 3.699 0.2184 V PHOENIX 5000.345349769783
3.5 3.716 0.5227 V PHOENIX 5199.959965335162
3.5 3.732 0.4813 V PHOENIX 5395.1062251512785
3.5 3.748 0.4425 V PHOENIX 5597.576014951104
3.5 3.763 0.3791 V PHOENIX 5794.286964268809
3.5 3.845 0.2272 V PHOENIX 6998.419960022738
3.5 3.857 0.1444 V PHOENIX 7194.489780036998
3.5 3.869 0.101 V PHOENIX 7396.052750582382
3.5 3.881 0.2579 V PHOENIX 7603.262769401815
3.5 3.892 0.5951 V PHOENIX 7798.3011052325855
3.5 3.903 0.7083 V PHOENIX 7998.342550070284
3.5 3.914 0.692 V PHOENIX 8203.515443298185
3.5 3.924 0.6912 V PHOENIX 8394.599865193974
3.5 3.934 0.6625 V PHOENIX 8590.13521505396
3.5 3.944 0.6332 V PHOENIX 8790.225168308842
3.5 3.954 0.6098 V PHOENIX 8994.975815300355
3.5 3.964 0.5892 V PHOENIX 9204.495717531712
3.5 3.973 0.5742 V PHOENIX 9397.233105646375
3.5 3.982 0.5614 V PHOENIX 9594.006315159337
3.5 3.991 0.5547 V PHOENIX 9794.89985408699
4.0 3.301 0.7786 V PHOENIX 1999.8618696327449
4.0 3.342 0.7913 V PHOENIX 2197.8598727848253
4.0 3.38 0.7893 V PHOENIX 2398.83291901949
4.0 3.415 0.7195 V PHOENIX 2600.159563165272
4.0 3.447 0.64 V PHOENIX 2798.981319634363
4.0 3.477 0.612 V PHOENIX 2999.16251898765
4.0 3.505 0.5824 V PHOENIX 3198.895109691397
4.0 3.531 0.5822 V PHOENIX 3396.2527259040853
4.0 3.556 0.5794 V PHOENIX 3597.4933515574235
4.0 3.58 0.6397 V PHOENIX 3801.8939632056126
4.0 3.602 0.5018 V PHOENIX 3999.4474976109736
4.0 3.623 0.5492 V PHOENIX 4197.589839910078
4.0 3.643 0.5503 V PHOENIX 4395.416154378243
4.0 3.663 0.5343 V PHOENIX 4602.565735813559
4.0 3.681 0.466 V PHOENIX 4797.334486366892
4.0 3.699 0.5324 V PHOENIX 5000.345349769783
4.0 3.716 0.5314 V PHOENIX 5199.959965335162
4.0 3.732 0.4835 V PHOENIX 5395.1062251512785
4.0 3.748 0.4434 V PHOENIX 5597.576014951104
4.0 3.763 0.3798 V PHOENIX 5794.286964268809
4.0 3.845 0.2286 V PHOENIX 6998.419960022738
4.0 3.857 0.1538 V PHOENIX 7194.489780036998
4.0 3.869 0.1171 V PHOENIX 7396.052750582382
4.0 3.881 0.2745 V PHOENIX 7603.262769401815
4.0 3.892 0.6245 V PHOENIX 7798.3011052325855
4.0 3.903 0.7834 V PHOENIX 7998.342550070284
4.0 3.914 0.752 V PHOENIX 8203.515443298185
4.0 3.924 0.6851 V PHOENIX 8394.599865193974
4.0 3.934 0.6613 V PHOENIX 8590.13521505396
4.0 3.944 0.6522 V PHOENIX 8790.225168308842
4.0 3.954 0.6254 V PHOENIX 8994.975815300355
4.0 3.964 0.6029 V PHOENIX 9204.495717531712
4.0 3.973 0.5773 V PHOENIX 9397.233105646375
4.0 3.982 0.5586 V PHOENIX 9594.006315159337
4.0 3.991 0.5447 V PHOENIX 9794.89985408699
4.5 3.301 0.7498 V PHOENIX 1999.8618696327449
4.5 3.342 0.7565 V PHOENIX 2197.8598727848253
4.5 3.38 0.7575 V PHOENIX 2398.83291901949
4.5 3.415 0.7125 V PHOENIX 2600.159563165272
4.5 3.447 0.6384 V PHOENIX 2798.981319634363
4.5 3.477 0.5707 V PHOENIX 2999.16251898765
4.5 3.505 0.5244 V PHOENIX 3198.895109691397
4.5 3.531 0.5075 V PHOENIX 3396.2527259040853
4.5 3.556 0.5146 V PHOENIX 3597.4933515574235
4.5 3.58 0.5402 V PHOENIX 3801.8939632056126
4.5 3.602 0.5866 V PHOENIX 3999.4474976109736
4.5 3.623 0.6486 V PHOENIX 4197.589839910078
4.5 3.643 0.6568 V PHOENIX 4395.416154378243
4.5 3.663 0.6383 V PHOENIX 4602.565735813559
4.5 3.681 0.597 V PHOENIX 4797.334486366892
4.5 3.699 0.5712 V PHOENIX 5000.345349769783
4.5 3.716 0.5384 V PHOENIX 5199.959965335162
4.5 3.732 0.4885 V PHOENIX 5395.1062251512785
4.5 3.748 0.445 V PHOENIX 5597.576014951104
4.5 3.763 0.3768 V PHOENIX 5794.286964268809
4.5 3.845 0.2328 V PHOENIX 6998.419960022738
4.5 3.857 0.1664 V PHOENIX 7194.489780036998
4.5 3.869 0.1264 V PHOENIX 7396.052750582382
4.5 3.881 0.2802 V PHOENIX 7603.262769401815
4.5 3.892 0.6283 V PHOENIX 7798.3011052325855
4.5 3.903 0.778 V PHOENIX 7998.342550070284
4.5 3.914 0.762 V PHOENIX 8203.515443298185
4.5 3.924 0.7596 V PHOENIX 8394.599865193974
4.5 3.934 0.7185 V PHOENIX 8590.13521505396
4.5 3.944 0.6319 V PHOENIX 8790.225168308842
4.5 3.954 0.6164 V PHOENIX 8994.975815300355
4.5 3.964 0.6204 V PHOENIX 9204.495717531712
4.5 3.973 0.5873 V PHOENIX 9397.233105646375
4.5 3.982 0.5699 V PHOENIX 9594.006315159337
4.5 3.991 0.5507 V PHOENIX 9794.89985408699
5.0 3.301 0.7277 V PHOENIX 1999.8618696327449
5.0 3.342 0.7259 V PHOENIX 2197.8598727848253
5.0 3.38 0.7156 V PHOENIX 2398.83291901949
5.0 3.415 0.6851 V PHOENIX 2600.159563165272
5.0 3.447 0.6169 V PHOENIX 2798.981319634363
5.0 3.477 0.5347 V PHOENIX 2999.16251898765
5.0 3.505 0.4935 V PHOENIX 3198.895109691397
5.0 3.531 0.452 V PHOENIX 3396.2527259040853
5.0 3.556 0.4325 V PHOENIX 3597.4933515574235
5.0 3.58 0.4674 V PHOENIX 3801.8939632056126
5.0 3.602 0.5311 V PHOENIX 3999.4474976109736
5.0 3.623 0.65 V PHOENIX 4197.589839910078
5.0 3.643 0.7042 V PHOENIX 4395.416154378243
5.0 3.663 0.6448 V PHOENIX 4602.565735813559
5.0 3.681 0.6306 V PHOENIX 4797.334486366892
5.0 3.699 0.5933 V PHOENIX 5000.345349769783
5.0 3.716 0.5492 V PHOENIX 5199.959965335162
5.0 3.732 0.4905 V PHOENIX 5395.1062251512785
5.0 3.748 0.4402 V PHOENIX 5597.576014951104
5.0 3.763 0.3736 V PHOENIX 5794.286964268809
5.0 3.845 0.2382 V PHOENIX 6998.419960022738
5.0 3.857 0.1671 V PHOENIX 7194.489780036998
5.0 3.869 0.1269 V PHOENIX 7396.052750582382
5.0 3.881 0.2793 V PHOENIX 7603.262769401815
5.0 3.892 0.623 V PHOENIX 7798.3011052325855
5.0 3.903 0.7673 V PHOENIX 7998.342550070284
5.0 3.914 0.761 V PHOENIX 8203.515443298185
5.0 3.924 0.7495 V PHOENIX 8394.599865193974
5.0 3.934 0.7286 V PHOENIX 8590.13521505396
5.0 3.944 0.7294 V PHOENIX 8790.225168308842
5.0 3.954 0.6824 V PHOENIX 8994.975815300355
5.0 3.964 0.5809 V PHOENIX 9204.495717531712
5.0 3.973 0.5982 V PHOENIX 9397.233105646375
5.0 3.982 0.5839 V PHOENIX 9594.006315159337
5.0 3.991 0.4188 V PHOENIX 9794.89985408699
