Teff log(g) y
3499.451670283573 0.0 0.3524
3749.730022454834 0.0 0.329
3999.4474976109736 0.0 0.3526
4246.19563946313 0.0 0.4212
4497.798548932879 0.0 0.4511
4753.352259428054 0.0 0.4457
5000.345349769783 0.0 0.4168
5248.074602497728 0.0 0.3802
5495.408738576249 0.0 0.3433
5754.399373371566 0.0 0.3021
5997.910762555094 0.0 0.2632
3499.451670283573 0.5 0.3682
3749.730022454834 0.5 0.3372
3999.4474976109736 0.5 0.3561
4246.19563946313 0.5 0.4213
4497.798548932879 0.5 0.4507
4753.352259428054 0.5 0.4459
5000.345349769783 0.5 0.4192
5248.074602497728 0.5 0.3799
5495.408738576249 0.5 0.3417
5754.399373371566 0.5 0.3102
5997.910762555094 0.5 0.2739
6251.726927756856 0.5 0.2351
6501.296903430909 0.5 0.2085
6745.280276979222 0.5 0.1842
6998.419960022738 0.5 0.1701
7244.359600749898 0.5 0.1196
7498.942093324558 0.5 0.125
3499.451670283573 1.0 0.3834
3749.730022454834 1.0 0.3463
3999.4474976109736 1.0 0.3612
4246.19563946313 1.0 0.4217
4497.798548932879 1.0 0.4496
4753.352259428054 1.0 0.4459
5000.345349769783 1.0 0.4216
5248.074602497728 1.0 0.3827
5495.408738576249 1.0 0.3424
5754.399373371566 1.0 0.3113
5997.910762555094 1.0 0.278
6251.726927756856 1.0 0.2409
6501.296903430909 1.0 0.2111
6745.280276979222 1.0 0.1847
6998.419960022738 1.0 0.1669
7244.359600749898 1.0 0.1135
7498.942093324558 1.0 0.1157
7744.617978025183 1.0 0.4339
7998.342550070284 1.0 0.5875
8241.38115013002 1.0 0.5537
3499.451670283573 1.5 0.3979
3749.730022454834 1.5 0.3553
3999.4474976109736 1.5 0.3668
4246.19563946313 1.5 0.4227
4497.798548932879 1.5 0.4487
4753.352259428054 1.5 0.4468
5000.345349769783 1.5 0.4243
5248.074602497728 1.5 0.3839
5495.408738576249 1.5 0.3439
5754.399373371566 1.5 0.3088
5997.910762555094 1.5 0.2765
6251.726927756856 1.5 0.2468
6501.296903430909 1.5 0.2173
6745.280276979222 1.5 0.1873
6998.419960022738 1.5 0.1679
7244.359600749898 1.5 0.1152
7498.942093324558 1.5 0.12
7744.617978025183 1.5 0.409
7998.342550070284 1.5 0.5571
8241.38115013002 1.5 0.5482
8491.804750363135 1.5 0.5015
8749.837752274363 1.5 0.5313
8994.975815300355 1.5 0.6524
3499.451670283573 2.0 0.4104
3749.730022454834 2.0 0.3637
3999.4474976109736 2.0 0.3733
4246.19563946313 2.0 0.4247
4497.798548932879 2.0 0.4484
4753.352259428054 2.0 0.446
5000.345349769783 2.0 0.4239
5248.074602497728 2.0 0.3862
5495.408738576249 2.0 0.3461
5754.399373371566 2.0 0.3101
5997.910762555094 2.0 0.2762
6251.726927756856 2.0 0.2432
6501.296903430909 2.0 0.2204
6745.280276979222 2.0 0.1929
6998.419960022738 2.0 0.1703
7244.359600749898 2.0 0.1152
7498.942093324558 2.0 0.1206
7744.617978025183 2.0 0.4049
7998.342550070284 2.0 0.5427
8241.38115013002 2.0 0.5282
8491.804750363135 2.0 0.5209
8749.837752274363 2.0 0.5181
8994.975815300355 2.0 0.5046
9246.98173938223 2.0 0.4933
9506.04793656282 2.0 0.4811
9749.896377173867 2.0 0.4692
10000.0 2.0 0.458
10256.519262514079 2.0 0.4465
10495.42428652322 2.0 0.4364
10739.89412341244 2.0 0.4264
10990.05839432522 2.0 0.4168
11246.049739669268 2.0 0.4089
11508.003889444357 2.0 0.4021
11748.975549395303 2.0 0.3907
13995.873225726178 2.0 0.3723
3499.451670283573 2.5 0.4277
3749.730022454834 2.5 0.371
3999.4474976109736 2.5 0.38
4246.19563946313 2.5 0.4276
4497.798548932879 2.5 0.448
4753.352259428054 2.5 0.4457
5000.345349769783 2.5 0.4246
5248.074602497728 2.5 0.387
5495.408738576249 2.5 0.3471
5754.399373371566 2.5 0.3113
5997.910762555094 2.5 0.2766
6251.726927756856 2.5 0.2434
6501.296903430909 2.5 0.217
6745.280276979222 2.5 0.1941
6998.419960022738 2.5 0.1755
7244.359600749898 2.5 0.1159
7498.942093324558 2.5 0.1206
7744.617978025183 2.5 0.4039
7998.342550070284 2.5 0.5393
8241.38115013002 2.5 0.5195
8491.804750363135 2.5 0.5067
