Teff log(g) a1 a2 a3 a4
2300.0 2.5 -3.6955 15.7649 -18.8972 7.6041
2300.0 3.0 -1.137 8.2565 -10.4769 4.366
2300.0 3.5 0.4975 2.9425 -4.1227 1.8198
2300.0 4.0 1.2646 0.0128 -0.3247 0.2275
2300.0 4.5 1.7972 -2.0123 2.2815 -0.8659
2300.0 5.0 2.06 -3.0502 3.5842 -1.3962
2300.0 5.5 2.4737 -4.1979 4.8101 -1.8751
2300.0 6.0 2.0751 -3.2811 3.893 -1.552
2400.0 2.5 -3.9986 17.1072 -20.7418 8.3914
2400.0 3.0 -1.2344 9.0375 -11.7057 4.9132
2400.0 3.5 0.3917 3.6613 -5.1936 2.277
2400.0 4.0 1.259 0.2965 -0.7926 0.4217
2400.0 4.5 1.4979 -1.1582 1.3805 -0.5461
2400.0 5.0 1.5958 -1.7194 2.2077 -0.9261
2400.0 5.5 1.9182 -2.7043 3.3071 -1.3508
2400.0 6.0 1.7269 -2.3157 2.9061 -1.2039
2500.0 2.5 -4.4049 18.7119 -22.8662 9.2889
2500.0 3.0 -1.3429 9.9438 -13.1665 5.5796
2500.0 3.5 0.5088 3.8959 -5.8662 2.621
2500.0 4.0 1.4319 0.2981 -1.1381 0.6167
2500.0 4.5 1.5501 -0.8995 0.8279 -0.2919
2500.0 5.0 1.4263 -1.2483 1.7094 -0.7436
2500.0 5.5 1.4595 -1.2986 1.7473 -0.7715
2500.0 6.0 1.4437 -1.4245 1.9159 -0.8369
2600.0 2.5 -4.7329 19.8633 -24.319 9.8919
2600.0 3.0 -1.5628 11.0959 -14.8577 6.3305
2600.0 3.5 0.5894 4.2927 -6.7876 3.0869
2600.0 4.0 1.745 0.0189 -1.2842 0.7699
2600.0 4.5 1.7397 -0.8877 0.4315 -0.0687
2600.0 5.0 1.4463 -0.8234 0.9329 -0.4004
2600.0 5.5 1.3412 -1.0034 1.4684 -0.6777
2600.0 6.0 1.012 -0.3832 0.941 -0.5029
2700.0 2.5 -5.1005 20.9163 -25.4948 10.3474
2700.0 3.0 -1.8531 12.2745 -16.4464 7.0123
2700.0 3.5 0.682 4.5863 -7.5574 3.4924
2700.0 4.0 2.1899 -0.666 -0.9807 0.7587
2700.0 4.5 2.2863 -1.7752 0.9046 -0.1383
2700.0 5.0 1.806 -1.2448 0.9659 -0.3272
2700.0 5.5 1.4401 -0.75 0.8224 -0.3665
2700.0 6.0 1.0194 -0.0376 0.3279 -0.2321
2800.0 2.5 -5.3888 21.5284 -26.0158 10.5121
2800.0 3.0 -2.2932 13.6888 -18.1432 7.6979
