Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 -0.0135 2.351 -2.7095 1.0131 6.25972e-07 -5.5604
4000.0 5.0 0.4751 1.2225 -1.6717 0.6662 9.30293e-07 -5.0264
4250.0 5.0 0.7674 0.4937 -0.9341 0.4009 1.39122e-06 -4.5558
4500.0 5.0 0.9474 0.0793 -0.495 0.2385 2.07476e-06 -4.138
4750.0 5.0 0.8646 0.2888 -0.6389 0.2816 3.05496e-06 -3.7647
5000.0 5.0 0.4694 1.2435 -1.4679 0.5552 4.4866e-06 -3.4295
5250.0 5.0 0.0728 2.2136 -2.342 0.841 6.19945e-06 -3.1269
5500.0 5.0 -0.2426 2.9249 -2.9347 1.0162 8.2501e-06 -2.8526
5750.0 5.0 -0.4003 3.1477 -2.9827 0.984 1.06719e-05 -2.6029
6000.0 5.0 -0.4395 3.0248 -2.6582 0.8139 1.35038e-05 -2.3747
6250.0 5.0 -0.401 2.694 -2.1247 0.5706 1.67858e-05 -2.1656
6500.0 5.0 -0.3204 2.2855 -1.5424 0.3178 2.05474e-05 -1.9734
7000.0 5.0 -0.1832 1.7251 -0.7934 -0.0055 2.96706e-05 -1.6323
7500.0 5.0 -0.205 1.8586 -0.9607 0.0401 4.12212e-05 -1.3395
8000.0 5.0 -0.341 2.5578 -1.9333 0.4319 5.54917e-05 -1.0858
8500.0 5.0 -0.3527 3.0562 -2.8494 0.8565 7.26084e-05 -0.8645
9000.0 5.0 -0.0972 2.5488 -2.547 0.8205 9.27621e-05 -0.6699
9500.0 5.0 0.2748 1.2907 -1.1816 0.3681 0.000113556 -0.4977
10000.0 5.0 0.4564 0.7554 -0.604 0.1517 0.000131311 -0.3446
10500.0 5.0 0.5336 0.6399 -0.5771 0.1608 0.000147246 -0.2076
11000.0 5.0 0.6052 0.4811 -0.4688 0.1331 0.000162831 -0.0845
11500.0 5.0 0.6547 0.3367 -0.3465 0.0938 0.000178119 0.0267
12000.0 5.0 0.6713 0.299 -0.3369 0.0965 0.000193021 0.1274
12500.0 5.0 0.6833 0.2512 -0.3037 0.0878 0.000207999 0.219
13000.0 5.0 0.6903 0.2143 -0.2776 0.0809 0.000223044 0.3027
13500.0 5.0 0.6854 0.2054 -0.2777 0.0832 0.00023831 0.3794
14000.0 5.0 0.697 0.1554 -0.2331 0.0685 0.000253797 0.4499
14500.0 5.0 0.679 0.1788 -0.2637 0.0814 0.000269545 0.5149
15000.0 5.0 0.7005 0.1046 -0.1912 0.0558 0.00028555 0.5749
15500.0 5.0 0.7019 0.0808 -0.171 0.0495 0.000301851 0.6305
16000.0 5.0 0.6841 0.1049 -0.2004 0.0619 0.000318458 0.6822
16500.0 5.0 0.707 0.0281 -0.1231 0.034 0.000335351 0.7304
17000.0 5.0 0.7105 -0.0005 -0.0957 0.0247 0.000352594 0.7753
20000.0 5.0 0.7444 -0.1916 0.0946 -0.0417 0.000463359 0.9917
25000.0 5.0 0.8936 -0.6745 0.5795 -0.2143 0.000684945 1.2244
30000.0 5.0 1.0428 -1.0713 0.9193 -0.3226 0.000996112 1.3715
