Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 0.9863 -0.1324 -0.3663 0.2075 1.33568e-06 -4.2568
4000.0 5.0 1.2855 -0.9584 0.5031 -0.1145 1.83067e-06 -3.806
4250.0 5.0 1.4115 -1.3104 0.8922 -0.2627 2.53328e-06 -3.4092
4500.0 5.0 1.4128 -1.2487 0.8237 -0.2351 3.50558e-06 -3.0574
4750.0 5.0 1.1954 -0.6528 0.2479 -0.0279 4.79289e-06 -2.7438
5000.0 5.0 0.7177 0.5748 -0.9271 0.3842 6.46277e-06 -2.4625
5250.0 5.0 0.2119 1.8057 -2.0629 0.7645 8.36454e-06 -2.2091
5500.0 5.0 -0.1457 2.5671 -2.6704 0.9374 1.05375e-05 -1.9798
5750.0 5.0 -0.2941 2.7193 -2.6188 0.8638 1.30055e-05 -1.7715
6000.0 5.0 -0.3048 2.5014 -2.193 0.6588 1.57652e-05 -1.5816
6250.0 5.0 -0.2442 2.1221 -1.6317 0.4147 1.88404e-05 -1.4078
6500.0 5.0 -0.1576 1.7226 -1.0927 0.1898 2.22509e-05 -1.2484
7000.0 5.0 -0.013 1.1575 -0.3729 -0.1071 3.02364e-05 -0.9663
7500.0 5.0 0.0094 1.1095 -0.3164 -0.1437 3.99806e-05 -0.725
8000.0 5.0 -0.0703 1.5318 -0.8992 0.0846 5.16493e-05 -0.5167
8500.0 5.0 -0.082 1.9054 -1.5687 0.3889 6.5177e-05 -0.3353
9000.0 5.0 0.1225 1.5115 -1.3438 0.3647 8.01194e-05 -0.1763
9500.0 5.0 0.401 0.6562 -0.4972 0.1123 9.3712e-05 -0.0359
10000.0 5.0 0.5358 0.2893 -0.1391 -0.0091 0.000105906 0.0887
10500.0 5.0 0.5787 0.2496 -0.1741 0.0188 0.000117212 0.2
11000.0 5.0 0.6309 0.1376 -0.1081 0.0056 0.000128403 0.2999
11500.0 5.0 0.6765 0.0016 0.0092 -0.0319 0.000139637 0.39
12000.0 5.0 0.6825 -0.017 0.0082 -0.0272 0.000150653 0.4716
12500.0 5.0 0.6912 -0.0602 0.0425 -0.0375 0.000161899 0.5458
13000.0 5.0 0.6957 -0.0929 0.0689 -0.0455 0.00017326 0.6135
13500.0 5.0 0.6722 -0.0606 0.0316 -0.0307 0.000184836 0.6755
14000.0 5.0 0.6993 -0.145 0.1132 -0.0595 0.000196578 0.7325
14500.0 5.0 0.6407 -0.028 -0.0086 -0.014 0.000208558 0.785
15000.0 5.0 0.7008 -0.1894 0.1528 -0.0724 0.000220695 0.8336
15500.0 5.0 0.7004 -0.2075 0.1691 -0.0777 0.000233079 0.8785
16000.0 5.0 0.6433 -0.0898 0.0464 -0.0317 0.000245717 0.9203
16500.0 5.0 0.7046 -0.2533 0.2121 -0.0922 0.000258528 0.9592
17000.0 5.0 0.7087 -0.2805 0.2385 -0.1014 0.000271623 0.9955
20000.0 5.0 0.7501 -0.4674 0.4228 -0.1661 0.000355648 1.1706
25000.0 5.0 0.9057 -0.9094 0.8497 -0.3151 0.00052286 1.3594
30000.0 5.0 1.0067 -1.1444 1.0158 -0.3589 0.000760249 1.4792
35000.0 5.0 0.9907 -1.2378 1.0938 -0.3834 0.00103626 1.5617
40000.0 5.0 1.0573 -1.4956 1.3736 -0.4895 0.00125437 1.6219
45000.0 5.0 1.1454 -1.7564 1.6471 -0.5908 0.00144031 1.6676
50000.0 5.0 1.2331 -1.9878 1.882 -0.6761 0.00161463 1.7035
55000.0 5.0 1.3082 -2.1679 2.0585 -0.7387 0.00177938 1.7325
60000.0 5.0 1.3703 -2.3026 2.1849 -0.7824 0.00194209 1.7563
3750.0 5.25 1.0483 -0.2897 -0.2074 0.1505 1.37119e-06 -4.2568
4000.0 5.25 1.3496 -1.1259 0.6768 -0.1785 1.85782e-06 -3.806
4250.0 5.25 1.4829 -1.502 1.0906 -0.336 2.55052e-06 -3.4092
4500.0 5.25 1.5113 -1.518 1.1016 -0.3378 3.50705e-06 -3.0574
4750.0 5.25 1.3384 -1.023 0.6068 -0.1564 4.77248e-06 -2.7438
5000.0 5.25 0.9231 0.0631 -0.4465 0.2186 6.43352e-06 -2.4625
5250.0 5.25 0.4226 1.3054 -1.613 0.6173 8.32576e-06 -2.2091
5500.0 5.25 0.0004 2.2723 -2.4579 0.8842 1.04926e-05 -1.9798
5750.0 5.25 -0.2228 2.655 -2.6684 0.9114 1.29419e-05 -1.7715
6000.0 5.25 -0.2883 2.6025 -2.4273 0.7756 1.56794e-05 -1.5816
6250.0 5.25 -0.2689 2.3399 -1.9893 0.5753 1.87243e-05 -1.4078
6500.0 5.25 -0.2108 2.0069 -1.5082 0.3674 2.20952e-05 -1.2484
7000.0 5.25 -0.0755 1.4211 -0.7283 0.0386 2.99533e-05 -0.9663
7500.0 5.25 -0.0257 1.2509 -0.5125 -0.0609 3.95e-05 -0.725
8000.0 5.25 -0.08 1.5517 -0.9314 0.1008 5.09188e-05 -0.5167
8500.0 5.25 -0.1134 1.9583 -1.6103 0.4008 6.41899e-05 -0.3353
9000.0 5.25 0.0243 1.8201 -1.6925 0.4906 7.88358e-05 -0.1763
9500.0 5.25 0.275 1.0981 -1.0053 0.2893 9.29429e-05 -0.0359
10000.0 5.25 0.4911 0.4072 -0.2664 0.0383 0.000105424 0.0887
10500.0 5.25 0.5672 0.2515 -0.1621 0.0114 0.000117134 0.2
11000.0 5.25 0.6198 0.1494 -0.1121 0.0052 0.000128433 0.2999
11500.0 5.25 0.658 0.0537 -0.0459 -0.0117 0.000139627 0.39
12000.0 5.25 0.6808 -0.0187 0.011 -0.0286 0.000150816 0.4716
12500.0 5.25 0.6916 -0.0659 0.0485 -0.0397 0.000162083 0.5458
13000.0 5.25 0.6969 -0.1004 0.0761 -0.0481 0.000173448 0.6135
13500.0 5.25 0.6988 -0.1266 0.0971 -0.0542 0.000185009 0.6755
14000.0 5.25 0.6991 -0.1493 0.1165 -0.0603 0.000196749 0.7325
14500.0 5.25 0.6993 -0.171 0.1358 -0.0667 0.000208682 0.785
15000.0 5.25 0.698 -0.1882 0.1508 -0.0714 0.000220821 0.8336
15500.0 5.25 0.6991 -0.2102 0.1711 -0.0782 0.000233162 0.8785
16000.0 5.25 0.6993 -0.2293 0.1887 -0.084 0.000245746 0.9203
16500.0 5.25 0.6955 -0.2385 0.1967 -0.0864 0.000258551 0.9592
17000.0 5.25 0.7023 -0.2716 0.2286 -0.0974 0.000271578 0.9955
20000.0 5.25 0.7195 -0.4043 0.3588 -0.1424 0.000355235 1.1706
25000.0 5.25 0.8815 -0.8698 0.812 -0.3016 0.000520934 1.3594
30000.0 5.25 0.9814 -1.1128 0.99 -0.3503 0.000753154 1.4792
35000.0 5.25 0.9179 -1.1051 0.97 -0.3396 0.00102469 1.5617
40000.0 5.25 0.9482 -1.2945 1.1872 -0.4241 0.00123974 1.6219
45000.0 5.25 1.0191 -1.5334 1.4459 -0.5215 0.00142119 1.6676
50000.0 5.25 1.0988 -1.7639 1.6866 -0.6102 0.00158984 1.7035
55000.0 5.25 1.1755 -1.9661 1.8917 -0.6845 0.00174722 1.7325
60000.0 5.25 1.2452 -2.1364 2.0594 -0.7442 0.00190065 1.7563
3750.0 5.5 1.1083 -0.4417 -0.0517 0.0939 1.41136e-06 -4.2568
4000.0 5.5 1.4027 -1.2632 0.82 -0.2314 1.88823e-06 -3.806
4250.0 5.5 1.5407 -1.6564 1.2514 -0.3957 2.57112e-06 -3.4092
4500.0 5.5 1.586 -1.7226 1.3133 -0.4163 3.51244e-06 -3.0574
4750.0 5.5 1.4505 -1.3227 0.9045 -0.2647 4.75887e-06 -2.7438
5000.0 5.5 1.0948 -0.3717 -0.035 0.075 6.40795e-06 -2.4625
5250.0 5.5 0.6307 0.7968 -1.1431 0.4592 8.29157e-06 -2.2091
5500.0 5.5 0.1659 1.905 -2.1543 0.7934 1.04515e-05 -1.9798
5750.0 5.5 -0.1314 2.5136 -2.6195 0.9188 1.28917e-05 -1.7715
6000.0 5.5 -0.2522 2.6285 -2.566 0.8541 1.56097e-05 -1.5816
6250.0 5.5 -0.2662 2.4681 -2.2429 0.6968 1.86283e-05 -1.4078
6500.0 5.5 -0.241 2.2278 -1.8598 0.5239 2.19632e-05 -1.2484
7000.0 5.5 -0.1343 1.6928 -1.1101 0.1997 2.97046e-05 -0.9663
7500.0 5.5 -0.0677 1.4305 -0.7643 0.046 3.90686e-05 -0.725
8000.0 5.5 -0.097 1.6113 -1.0203 0.1411 5.02388e-05 -0.5167
8500.0 5.5 -0.1383 1.9992 -1.6455 0.4125 6.32486e-05 -0.3353
9000.0 5.5 -0.0245 1.9553 -1.8421 0.5443 7.77705e-05 -0.1763
9500.0 5.5 0.2119 1.3373 -1.2831 0.3796 9.25958e-05 -0.0359
10000.0 5.5 0.4602 0.5244 -0.4256 0.1007 0.000105222 0.0887
10500.0 5.5 0.5536 0.2614 -0.1618 0.0092 0.000117018 0.2
11000.0 5.5 0.6071 0.1624 -0.1157 0.0042 0.000128442 0.2999
11500.0 5.5 0.6482 0.0676 -0.0557 -0.0092 0.000139738 0.39
12000.0 5.5 0.6758 -0.0123 0.006 -0.0271 0.000150988 0.4716
12500.0 5.5 0.6893 -0.0649 0.0476 -0.0394 0.000162299 0.5458
13000.0 5.5 0.6954 -0.1014 0.0771 -0.0484 0.000173733 0.6135
13500.0 5.5 0.6999 -0.133 0.1031 -0.0564 0.000185256 0.6755
14000.0 5.5 0.6984 -0.1515 0.1179 -0.0607 0.000197002 0.7325
14500.0 5.5 0.6984 -0.1728 0.1366 -0.0667 0.000208934 0.785
15000.0 5.5 0.6975 -0.1909 0.1526 -0.0718 0.000221057 0.8336
15500.0 5.5 0.6968 -0.2091 0.1692 -0.0773 0.000233403 0.8785
16000.0 5.5 0.6769 -0.1829 0.1416 -0.0666 0.000245977 0.9203
16500.0 5.5 0.6967 -0.2459 0.2035 -0.0886 0.000258733 0.9592
17000.0 5.5 0.6979 -0.2665 0.2233 -0.0954 0.000271759 0.9955
20000.0 5.5 0.73 -0.4355 0.3906 -0.1541 0.000355149 1.1706
25000.0 5.5 0.8762 -0.8703 0.8144 -0.3028 0.000519916 1.3594
30000.0 5.5 0.9581 -1.0787 0.96 -0.3398 0.000748627 1.4792
35000.0 5.5 0.8526 -0.9783 0.8488 -0.2963 0.00101615 1.5617
40000.0 5.5 0.8472 -1.096 0.9981 -0.3569 0.0012285 1.6219
45000.0 5.5 0.8949 -1.2937 1.2206 -0.4421 0.00140651 1.6676
50000.0 5.5 0.9598 -1.5022 1.4443 -0.5257 0.00157093 1.7035
55000.0 5.5 1.0279 -1.6975 1.6474 -0.6002 0.00172282 1.7325
60000.0 5.5 1.0948 -1.875 1.8272 -0.6652 0.00186995 1.7563
3750.0 5.75 1.16 -0.5731 0.0846 0.0439 1.45313e-06 -4.2568
4000.0 5.75 1.4471 -1.3755 0.9376 -0.2751 1.92224e-06 -3.806
4250.0 5.75 1.5871 -1.7782 1.3786 -0.4431 2.59519e-06 -3.4092
4500.0 5.75 1.6694 -1.9853 1.6085 -0.5311 3.52446e-06 -3.0574
4750.0 5.75 1.5335 -1.5501 1.1345 -0.3491 4.75155e-06 -2.7438
5000.0 5.75 1.2418 -0.7555 0.3361 -0.0569 6.39079e-06 -2.4625
5250.0 5.75 0.8196 0.325 -0.7003 0.3075 8.26016e-06 -2.2091
5500.0 5.75 0.3435 1.4882 -1.7864 0.6756 1.04169e-05 -1.9798
5750.0 5.75 -0.0146 2.2817 -2.4585 0.8809 1.28529e-05 -1.7715
6000.0 5.75 -0.187 2.5517 -2.5781 0.882 1.55565e-05 -1.5816
6250.0 5.75 -0.2468 2.5313 -2.4132 0.7848 1.85499e-05 -1.4078
6500.0 5.75 -0.2461 2.3689 -2.121 0.6471 2.18571e-05 -1.2484
7000.0 5.75 -0.1795 1.9391 -1.4781 0.3602 2.94895e-05 -0.9663
7500.0 5.75 -0.111 1.6331 -1.0566 0.1722 3.86872e-05 -0.725
8000.0 5.75 -0.1194 1.7083 -1.166 0.2065 4.96143e-05 -0.5167
8500.0 5.75 -0.1582 2.0397 -1.6917 0.4314 6.23489e-05 -0.3353
9000.0 5.75 -0.0733 2.0861 -1.9855 0.5972 7.66819e-05 -0.1763
9500.0 5.75 0.1126 1.6812 -1.6893 0.529 9.1557e-05 -0.0359
10000.0 5.75 0.3471 0.9279 -0.9005 0.2712 0.000104735 0.0887
10500.0 5.75 0.5298 0.3226 -0.2352 0.0382 0.000116793 0.2
11000.0 5.75 0.5939 0.1738 -0.1172 0.0025 0.000128391 0.2999
11500.0 5.75 0.6365 0.084 -0.0666 -0.0067 0.000139794 0.39
12000.0 5.75 0.6681 -0.0002 -0.0043 -0.024 0.000151134 0.4716
12500.0 5.75 0.6849 -0.0582 0.0411 -0.0373 0.000162481 0.5458
13000.0 5.75 0.6938 -0.1004 0.0755 -0.0478 0.000173935 0.6135
13500.0 5.75 0.6971 -0.1294 0.0985 -0.0545 0.000185526 0.6755
14000.0 5.75 0.6982 -0.154 0.1198 -0.0613 0.000197284 0.7325
14500.0 5.75 0.6977 -0.1739 0.1367 -0.0666 0.000209228 0.785
15000.0 5.75 0.6966 -0.1918 0.1524 -0.0715 0.000221368 0.8336
15500.0 5.75 0.6954 -0.2085 0.1673 -0.0762 0.000233711 0.8785
16000.0 5.75 0.6948 -0.2263 0.184 -0.0818 0.000246268 0.9203
16500.0 5.75 0.6948 -0.2448 0.2014 -0.0877 0.000259046 0.9592
17000.0 5.75 0.6699 -0.207 0.1632 -0.0733 0.000272084 0.9955
20000.0 5.75 0.7247 -0.4267 0.3804 -0.1501 0.000355324 1.1706
25000.0 5.75 0.8783 -0.8832 0.828 -0.3079 0.000519526 1.3594
30000.0 5.75 0.9382 -1.0472 0.9306 -0.3294 0.000745911 1.4792
35000.0 5.75 0.7979 -0.8693 0.7431 -0.2582 0.00100994 1.5617
40000.0 5.75 0.759 -0.915 0.8221 -0.2935 0.00121961 1.6219
45000.0 5.75 0.7827 -1.0646 0.9994 -0.3629 0.00139477 1.6676
50000.0 5.75 0.8299 -1.2415 1.1953 -0.4372 0.00155549 1.7035
55000.0 5.75 0.885 -1.4154 1.3806 -0.5061 0.00170351 1.7325
