Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.5702 -1.8962 1.4678 -0.4668 2.61611e-06 -2.6874
4000.0 5.0 1.614 -2.0985 1.7138 -0.5647 3.34952e-06 -2.3398
4250.0 5.0 1.6308 -2.1601 1.7976 -0.5997 4.32408e-06 -2.0349
4500.0 5.0 1.5363 -1.824 1.4215 -0.4533 5.58817e-06 -1.7655
4750.0 5.0 1.2733 -1.0741 0.6553 -0.1706 7.14673e-06 -1.5261
5000.0 5.0 0.7679 0.2535 -0.6473 0.2924 9.08545e-06 -1.3123
5250.0 5.0 0.2461 1.5266 -1.8327 0.6918 1.11367e-05 -1.1203
5500.0 5.0 -0.0996 2.2429 -2.3874 0.8442 1.3393e-05 -0.9472
5750.0 5.0 -0.2245 2.3316 -2.273 0.7493 1.5862e-05 -0.7904
6000.0 5.0 -0.2178 2.0804 -1.8267 0.5413 1.85384e-05 -0.6479
6250.0 5.0 -0.1476 1.6962 -1.2801 0.3086 2.14363e-05 -0.518
6500.0 5.0 -0.0583 1.3139 -0.7822 0.1061 2.45702e-05 -0.3991
7000.0 5.0 0.0797 0.8076 -0.1635 -0.1402 3.16743e-05 -0.1894
7500.0 5.0 0.1188 0.7082 -0.0529 -0.1926 4.00309e-05 -0.0109
8000.0 5.0 0.0796 0.9523 -0.3961 -0.0614 4.96712e-05 0.1427
8500.0 5.0 0.0896 1.1677 -0.8166 0.1325 6.03663e-05 0.276
9000.0 5.0 0.2756 0.7854 -0.5679 0.089 7.13982e-05 0.3926
9500.0 5.0 0.4752 0.227 -0.0808 -0.0322 8.0375e-05 0.4954
10000.0 5.0 0.5615 0.013 0.0975 -0.0816 8.88997e-05 0.5864
10500.0 5.0 0.5795 0.0176 0.0404 -0.051 9.71164e-05 0.6677
11000.0 5.0 0.6132 -0.0518 0.074 -0.0552 0.000105252 0.7406
11500.0 5.0 0.6537 -0.1721 0.1788 -0.0889 0.000113423 0.8063
12000.0 5.0 0.6515 -0.1706 0.1628 -0.0801 0.000121375 0.8657
12500.0 5.0 0.6588 -0.2081 0.1942 -0.0899 0.000129477 0.9198
13000.0 5.0 0.6631 -0.2386 0.2209 -0.0986 0.000137616 0.9691
13500.0 5.0 0.6377 -0.1985 0.1765 -0.0814 0.000145865 1.0143
14000.0 5.0 0.6679 -0.2891 0.2664 -0.1137 0.000154187 1.0559
14500.0 5.0 0.6048 -0.1572 0.1294 -0.0626 0.000162633 1.0942
15000.0 5.0 0.6719 -0.335 0.3096 -0.1285 0.000171146 1.1296
15500.0 5.0 0.6726 -0.3535 0.3272 -0.1345 0.000179792 1.1624
16000.0 5.0 0.6107 -0.2205 0.1885 -0.0825 0.000188576 1.1929
16500.0 5.0 0.6793 -0.4003 0.372 -0.1498 0.000197443 1.2213
17000.0 5.0 0.6849 -0.4286 0.3999 -0.1597 0.000206471 1.2479
20000.0 5.0 0.7372 -0.6263 0.5949 -0.2283 0.000263685 1.3763
25000.0 5.0 0.9081 -1.0729 1.0179 -0.3743 0.000374947 1.5154
30000.0 5.0 0.9772 -1.2055 1.0804 -0.3808 0.000530908 1.6043
35000.0 5.0 0.9444 -1.2666 1.1447 -0.4048 0.000713757 1.6658
40000.0 5.0 1.0195 -1.5486 1.4539 -0.5222 0.000857203 1.7109
45000.0 5.0 1.1155 -1.8283 1.7465 -0.6303 0.000978842 1.7453
50000.0 5.0 1.2101 -2.0751 1.9961 -0.7206 0.00109249 1.7724
55000.0 5.0 1.2912 -2.2689 2.1856 -0.7878 0.00119949 1.7944
60000.0 5.0 1.3591 -2.4174 2.3253 -0.8361 0.00130476 1.8124
3750.0 5.25 1.6072 -1.9868 1.5626 -0.502 2.66378e-06 -2.6874
4000.0 5.25 1.6385 -2.1644 1.7841 -0.5912 3.38427e-06 -2.3398
4250.0 5.25 1.6543 -2.2308 1.873 -0.6281 4.34415e-06 -2.0349
4500.0 5.25 1.5985 -2.0076 1.6171 -0.5271 5.5887e-06 -1.7655
4750.0 5.25 1.3798 -1.3675 0.9485 -0.2773 7.13035e-06 -1.5261
5000.0 5.25 0.9452 -0.2007 -0.2128 0.1412 9.07645e-06 -1.3123
5250.0 5.25 0.4327 1.0834 -1.4356 0.5628 1.11207e-05 -1.1203
5500.0 5.25 0.0208 2.0121 -2.237 0.8128 1.33735e-05 -0.9472
5750.0 5.25 -0.1777 2.3229 -2.3711 0.8122 1.58319e-05 -0.7904
