Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.7822 -2.5371 2.1394 -0.7151 3.72467e-06 -1.8497
4000.0 5.0 1.7418 -2.5399 2.1852 -0.7408 4.65489e-06 -1.5598
4250.0 5.0 1.7195 -2.5077 2.1703 -0.739 5.84961e-06 -1.3061
4500.0 5.0 1.5825 -2.0612 1.6697 -0.5442 7.34218e-06 -1.0827
4750.0 5.0 1.2965 -1.2469 0.8223 -0.2289 9.10097e-06 -0.8847
5000.0 5.0 0.7714 0.1296 -0.5373 0.256 1.12499e-05 -0.7082
5250.0 5.0 0.2445 1.4043 -1.7266 0.6571 1.34011e-05 -0.5502
5500.0 5.0 -0.0868 2.0675 -2.2239 0.7879 1.5702e-05 -0.408
5750.0 5.0 -0.1912 2.0973 -2.0546 0.6749 1.81417e-05 -0.2795
6000.0 5.0 -0.1698 1.8146 -1.5896 0.464 2.07198e-05 -0.1629
6250.0 5.0 -0.0905 1.4171 -1.0458 0.2369 2.34376e-05 -0.0567
6500.0 5.0 0.0055 1.0299 -0.562 0.0453 2.6299e-05 0.0404
7000.0 5.0 0.1507 0.5304 0.0068 -0.1682 3.25175e-05 0.2111
7500.0 5.0 0.2195 0.3375 0.1996 -0.2414 3.94466e-05 0.3563
8000.0 5.0 0.2394 0.3358 0.1546 -0.2229 4.69791e-05 0.481
8500.0 5.0 0.295 0.2883 0.096 -0.178 5.4743e-05 0.5891
9000.0 5.0 0.4739 -0.1467 0.4345 -0.2622 6.18303e-05 0.6836
9500.0 5.0 0.5715 -0.3513 0.4934 -0.2289 6.64531e-05 0.7668
10000.0 5.0 0.5886 -0.367 0.4446 -0.1909 7.15672e-05 0.8406
10500.0 5.0 0.57 -0.3092 0.3692 -0.1617 7.69945e-05 0.9064
11000.0 5.0 0.5761 -0.3227 0.3639 -0.1564 8.24532e-05 0.9654
11500.0 5.0 0.6096 -0.4224 0.4506 -0.1841 8.80086e-05 1.0186
12000.0 5.0 0.5937 -0.3931 0.416 -0.1709 9.33679e-05 1.0668
12500.0 5.0 0.5998 -0.4277 0.4485 -0.182 9.88633e-05 1.1107
13000.0 5.0 0.6044 -0.4585 0.4791 -0.193 0.00010437 1.1507
13500.0 5.0 0.5732 -0.4004 0.4172 -0.1694 0.000109926 1.1874
14000.0 5.0 0.6117 -0.512 0.532 -0.2116 0.000115507 1.2211
14500.0 5.0 0.5352 -0.3411 0.3536 -0.1449 0.000121141 1.2522
