Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.507 -1.5822 1.0984 -0.3215 2.48445e-06 -2.8547
4000.0 5.0 1.6462 -2.0488 1.6311 -0.5286 3.24045e-06 -2.4959
4250.0 5.0 1.6877 -2.1926 1.8085 -0.6001 4.25983e-06 -2.1809
4500.0 5.0 1.6018 -1.8912 1.4734 -0.4699 5.59424e-06 -1.9025
4750.0 5.0 1.3299 -1.1298 0.6988 -0.1848 7.2474e-06 -1.655
5000.0 5.0 0.8194 0.2109 -0.6311 0.2909 9.22964e-06 -1.4339
5250.0 5.0 0.2745 1.5292 -1.8604 0.7058 1.13507e-05 -1.2352
5500.0 5.0 -0.086 2.2589 -2.4196 0.8577 1.36657e-05 -1.056
5750.0 5.0 -0.2102 2.3178 -2.2626 0.7446 1.61883e-05 -0.8936
6000.0 5.0 -0.1913 2.0121 -1.7545 0.5135 1.88881e-05 -0.746
6250.0 5.0 -0.1093 1.5864 -1.1713 0.2705 2.17804e-05 -0.6113
6500.0 5.0 -0.0165 1.1948 -0.6772 0.0739 2.48832e-05 -0.4881
7000.0 5.0 0.1243 0.6736 -0.0562 -0.1689 3.18855e-05 -0.2707
7500.0 5.0 0.1772 0.5121 0.1239 -0.2464 4.00711e-05 -0.0854
8000.0 5.0 0.1627 0.6512 -0.0872 -0.1685 4.94487e-05 0.074
8500.0 5.0 0.1858 0.7865 -0.3901 -0.0266 5.97562e-05 0.2124
9000.0 5.0 0.3698 0.3811 -0.0952 -0.0943 7.00882e-05 0.3335
9500.0 5.0 0.5442 -0.0696 0.2415 -0.155 7.77673e-05 0.4401
10000.0 5.0 0.6112 -0.2182 0.3272 -0.1617 8.5401e-05 0.5347
10500.0 5.0 0.6138 -0.184 0.2466 -0.1244 9.29347e-05 0.6191
11000.0 5.0 0.6376 -0.2314 0.259 -0.1211 0.000100434 0.6948
11500.0 5.0 0.6748 -0.3458 0.3579 -0.1522 0.000108043 0.763
12000.0 5.0 0.6678 -0.337 0.3371 -0.1423 0.000115446 0.8248
12500.0 5.0 0.6728 -0.3722 0.3673 -0.1518 0.00012304 0.881
13000.0 5.0 0.6764 -0.4038 0.3971 -0.1621 0.000130674 0.9322
13500.0 5.0 0.638 -0.338 0.3296 -0.137 0.000138421 0.9791
14000.0 5.0 0.6796 -0.4541 0.4445 -0.1783 0.000146217 1.0223
14500.0 5.0 0.5863 -0.2574 0.2456 -0.1053 0.000154142 1.062
15000.0 5.0 0.6824 -0.4991 0.488 -0.1934 0.000162089 1.0988
15500.0 5.0 0.6816 -0.5149 0.5034 -0.1988 0.000170164 1.1329
16000.0 5.0 0.5896 -0.3147 0.299 -0.1233 0.000178372 1.1646
16500.0 5.0 0.6876 -0.5607 0.5479 -0.2142 0.000186615 1.1941
17000.0 5.0 0.6937 -0.5897 0.5765 -0.2243 0.000195012 1.2216
20000.0 5.0 0.7481 -0.7881 0.7711 -0.2928 0.000247968 1.3548
25000.0 5.0 0.9066 -1.1868 1.14 -0.4182 0.000349678 1.4991
30000.0 5.0 0.9489 -1.2495 1.1348 -0.4008 0.000492026 1.5912
35000.0 5.0 0.906 -1.2957 1.1953 -0.426 0.000662876 1.6549
40000.0 5.0 0.9916 -1.6049 1.5344 -0.5547 0.000796499 1.7015
45000.0 5.0 1.0964 -1.9047 1.8468 -0.6698 0.000909262 1.7371
50000.0 5.0 1.1984 -2.1681 2.1124 -0.7658 0.00101426 1.7652
55000.0 5.0 1.2854 -2.375 2.3143 -0.8372 0.00111272 1.7878
60000.0 5.0 1.3595 -2.5379 2.4681 -0.8906 0.00120915 1.8065
3750.0 5.25 1.5472 -1.6941 1.2211 -0.3683 2.53528e-06 -2.8547
4000.0 5.25 1.6757 -2.1336 1.7246 -0.5644 3.27719e-06 -2.4959
4250.0 5.25 1.7144 -2.2753 1.8985 -0.6345 4.28098e-06 -2.1809
4500.0 5.25 1.6648 -2.0796 1.675 -0.5462 5.59466e-06 -1.9025
4750.0 5.25 1.4378 -1.428 0.9969 -0.2933 7.23051e-06 -1.655
5000.0 5.25 1.0025 -0.2621 -0.1762 0.1322 9.21964e-06 -1.4339
5250.0 5.25 0.4664 1.0696 -1.4466 0.5709 1.13284e-05 -1.2352
5500.0 5.25 0.034 2.0296 -2.2725 0.828 1.36382e-05 -1.056
5750.0 5.25 -0.1686 2.323 -2.3763 0.8135 1.61486e-05 -0.8936
6000.0 5.25 -0.2022 2.1665 -2.0258 0.6389 1.88411e-05 -0.746
6250.0 5.25 -0.1549 1.8301 -1.5274 0.4228 2.17224e-05 -0.6113
6500.0 5.25 -0.0792 1.4658 -1.0428 0.2235 2.48052e-05 -0.4881
7000.0 5.25 0.0648 0.8909 -0.3284 -0.0629 3.17188e-05 -0.2707
7500.0 5.25 0.1366 0.6472 -0.0437 -0.1805 3.97763e-05 -0.0854
8000.0 5.25 0.1342 0.7247 -0.1729 -0.1345 4.90217e-05 0.074
8500.0 5.25 0.1359 0.9043 -0.5064 0.0133 5.92849e-05 0.2124
9000.0 5.25 0.2583 0.7061 -0.4393 0.0254 6.98327e-05 0.3335
9500.0 5.25 0.4494 0.194 0.0015 -0.091 7.84989e-05 0.4401
10000.0 5.25 0.5652 -0.1081 0.2251 -0.129 8.57047e-05 0.5347
10500.0 5.25 0.6022 -0.1758 0.2502 -0.1281 9.33993e-05 0.6191
11000.0 5.25 0.6223 -0.2059 0.2413 -0.1166 0.000100909 0.6948
11500.0 5.25 0.6403 -0.2534 0.2643 -0.1189 0.000108375 0.763
12000.0 5.25 0.6538 -0.3046 0.3045 -0.1305 0.00011587 0.8248
12500.0 5.25 0.66 -0.3427 0.3374 -0.141 0.000123431 0.881
13000.0 5.25 0.6623 -0.3709 0.3625 -0.1491 0.000131039 0.9322
13500.0 5.25 0.6635 -0.3961 0.3857 -0.1569 0.000138749 0.9791
14000.0 5.25 0.6634 -0.4175 0.4065 -0.1641 0.000146535 1.0223
14500.0 5.25 0.6635 -0.4382 0.4269 -0.1713 0.000154404 1.062
15000.0 5.25 0.6621 -0.454 0.4421 -0.1765 0.000162361 1.0988
15500.0 5.25 0.664 -0.4761 0.4635 -0.1839 0.0001704 1.1329
16000.0 5.25 0.665 -0.4954 0.4825 -0.1905 0.000178554 1.1646
16500.0 5.25 0.6591 -0.4981 0.4848 -0.1911 0.000186807 1.1941
17000.0 5.25 0.6697 -0.5369 0.5226 -0.2043 0.000195154 1.2216
20000.0 5.25 0.6884 -0.6551 0.6375 -0.2439 0.000247875 1.3548
25000.0 5.25 0.8581 -1.0882 1.0445 -0.384 0.00034865 1.4991
30000.0 5.25 0.9006 -1.16 1.0504 -0.3708 0.000487787 1.5912
35000.0 5.25 0.8075 -1.0943 1.0001 -0.3559 0.000655707 1.6549
40000.0 5.25 0.8556 -1.3304 1.2715 -0.4612 0.000787621 1.7015
45000.0 5.25 0.9401 -1.5975 1.5572 -0.5678 0.000897921 1.7371
50000.0 5.25 1.0293 -1.8458 1.813 -0.6612 0.000999929 1.7652
55000.0 5.25 1.1128 -2.0601 2.0282 -0.7387 0.00109458 1.7878
60000.0 5.25 1.1874 -2.239 2.2023 -0.8001 0.00118635 1.8065
3750.0 5.5 1.5879 -1.8033 1.3403 -0.4136 2.59312e-06 -2.8547
4000.0 5.5 1.7003 -2.2012 1.7989 -0.593 3.31907e-06 -2.4959
4250.0 5.5 1.734 -2.3352 1.9636 -0.6593 4.30747e-06 -2.1809
4500.0 5.5 1.7067 -2.2063 1.8105 -0.5975 5.60001e-06 -1.9025
4750.0 5.5 1.5204 -1.6639 1.2379 -0.3821 7.21882e-06 -1.655
5000.0 5.5 1.1538 -0.6614 0.2117 -0.005 9.21577e-06 -1.4339
5250.0 5.5 0.6601 0.5897 -0.9993 0.4199 1.13145e-05 -1.2352
5500.0 5.5 0.1794 1.7131 -2.0195 0.7555 1.36142e-05 -1.056
5750.0 5.5 -0.1045 2.2494 -2.3934 0.844 1.61191e-05 -0.8936
6000.0 5.5 -0.1937 2.2533 -2.2156 0.7328 1.88012e-05 -0.746
6250.0 5.5 -0.1762 2.0013 -1.8055 0.5477 2.16735e-05 -0.6113
6500.0 5.5 -0.1262 1.7005 -1.379 0.3662 2.47407e-05 -0.4881
7000.0 5.5 0.003 1.134 -0.6459 0.0653 3.15772e-05 -0.2707
7500.0 5.5 0.0896 0.8154 -0.2585 -0.0942 3.95131e-05 -0.0854
8000.0 5.5 0.101 0.8246 -0.2963 -0.0846 4.8618e-05 0.074
8500.0 5.5 0.0923 1.0098 -0.6158 0.0528 5.87987e-05 0.2124
9000.0 5.5 0.1929 0.8942 -0.6443 0.099 6.95431e-05 0.3335
9500.0 5.5 0.3931 0.366 -0.1686 -0.0425 7.93442e-05 0.4401
10000.0 5.5 0.5517 -0.0764 0.2025 -0.1297 8.64724e-05 0.5347
10500.0 5.5 0.5882 -0.1585 0.242 -0.127 9.39166e-05 0.6191
11000.0 5.5 0.6087 -0.1862 0.2307 -0.1149 0.000101463 0.6948
11500.0 5.5 0.6255 -0.2231 0.239 -0.1112 0.000108939 0.763
12000.0 5.5 0.6407 -0.2742 0.2753 -0.1205 0.0001164 0.8248
12500.0 5.5 0.647 -0.3107 0.3044 -0.1289 0.000123935 0.881
13000.0 5.5 0.6495 -0.3401 0.3307 -0.1374 0.000131554 0.9322
13500.0 5.5 0.6529 -0.37 0.3587 -0.147 0.000139204 0.9791
14000.0 5.5 0.6499 -0.3853 0.3732 -0.1519 0.000146976 1.0223
14500.0 5.5 0.6499 -0.4061 0.3937 -0.159 0.000154831 1.062
15000.0 5.5 0.6489 -0.4228 0.4095 -0.1643 0.000162767 1.0988
15500.0 5.5 0.6483 -0.4399 0.4262 -0.1701 0.000170806 1.1329
16000.0 5.5 0.6196 -0.3945 0.3825 -0.1544 0.000178954 1.1646
16500.0 5.5 0.6491 -0.4748 0.4604 -0.1819 0.000187157 1.1941
17000.0 5.5 0.6516 -0.4966 0.4821 -0.1896 0.000195502 1.2216
20000.0 5.5 0.6961 -0.6751 0.6575 -0.2512 0.000248017 1.3548
25000.0 5.5 0.8436 -1.0653 1.0247 -0.3774 0.000348188 1.4991
30000.0 5.5 0.8603 -1.0826 0.9767 -0.3445 0.000485144 1.5912
35000.0 5.5 0.7253 -0.9215 0.8308 -0.2947 0.000650427 1.6549
40000.0 5.5 0.7383 -1.0842 1.0315 -0.3748 0.000780804 1.7015
45000.0 5.5 0.7997 -1.3079 1.2778 -0.4679 0.0008892 1.7371
50000.0 5.5 0.8733 -1.5301 1.5119 -0.5545 0.000988855 1.7652
55000.0 5.5 0.9452 -1.7272 1.713 -0.6274 0.00108058 1.7878
60000.0 5.5 1.0148 -1.9064 1.8924 -0.6919 0.00116905 1.8065
3750.0 5.75 1.6242 -1.8981 1.444 -0.4533 2.65352e-06 -2.8547
4000.0 5.75 1.7212 -2.2547 1.8573 -0.6153 3.36643e-06 -2.4959
4250.0 5.75 1.7503 -2.3815 2.0134 -0.6782 4.33915e-06 -2.1809
4500.0 5.75 1.7916 -2.4805 2.1254 -0.7216 5.61512e-06 -1.9025
4750.0 5.75 1.579 -1.837 1.4178 -0.4492 7.21194e-06 -1.655
5000.0 5.75 1.2839 -1.0165 0.5645 -0.1321 9.22299e-06 -1.4339
5250.0 5.75 0.8369 0.1395 -0.5706 0.2719 1.1307e-05 -1.2352
5500.0 5.75 0.3413 1.3368 -1.6924 0.6527 1.36007e-05 -1.056
5750.0 5.75 -0.0097 2.0752 -2.2912 0.8274 1.60996e-05 -0.8936
6000.0 5.75 -0.1533 2.2367 -2.2847 0.78 1.87714e-05 -0.746
6250.0 5.75 -0.1804 2.1117 -2.0098 0.6438 2.16306e-05 -0.6113
6500.0 5.75 -0.1524 1.8757 -1.6536 0.488 2.46883e-05 -0.4881
7000.0 5.75 -0.0526 1.3757 -0.9775 0.2037 3.14575e-05 -0.2707
