Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.749 -2.4514 2.0503 -0.6821 3.60094e-06 -1.8937
4000.0 5.0 1.7168 -2.4748 2.1177 -0.7157 4.50514e-06 -1.6006
4250.0 5.0 1.7011 -2.4576 2.1187 -0.7199 5.66919e-06 -1.3442
4500.0 5.0 1.5744 -2.0368 1.6462 -0.5359 7.12946e-06 -1.1183
4750.0 5.0 1.2962 -1.2412 0.8194 -0.2285 8.86003e-06 -0.9181
5000.0 5.0 0.7883 0.1018 -0.5186 0.251 1.0911e-05 -0.7397
5250.0 5.0 0.2629 1.378 -1.7143 0.6557 1.30013e-05 -0.5799
5500.0 5.0 -0.0722 2.0513 -2.2236 0.7915 1.52302e-05 -0.436
5750.0 5.0 -0.1793 2.0839 -2.0547 0.678 1.75996e-05 -0.306
6000.0 5.0 -0.1563 1.7909 -1.5773 0.4624 2.00904e-05 -0.1881
6250.0 5.0 -0.0761 1.3905 -1.0343 0.237 2.2709e-05 -0.0806
6500.0 5.0 0.0153 1.0189 -0.5724 0.055 2.5465e-05 0.0176
7000.0 5.0 0.153 0.5344 -0.0161 -0.156 3.14915e-05 0.1904
7500.0 5.0 0.2182 0.3455 0.178 -0.2315 3.82588e-05 0.3373
8000.0 5.0 0.2347 0.3635 0.1078 -0.2039 4.57001e-05 0.4635
8500.0 5.0 0.2858 0.3556 -0.0064 -0.1368 5.35205e-05 0.5729
9000.0 5.0 0.4653 -0.0658 0.3162 -0.2166 6.0886e-05 0.6685
9500.0 5.0 0.5861 -0.3441 0.4631 -0.2164 6.58761e-05 0.7528
10000.0 5.0 0.6191 -0.4032 0.4594 -0.1936 7.12241e-05 0.8274
10500.0 5.0 0.6099 -0.3646 0.3986 -0.1684 7.67946e-05 0.894
11000.0 5.0 0.6215 -0.3914 0.4051 -0.1666 8.24001e-05 0.9538
11500.0 5.0 0.6534 -0.4908 0.4941 -0.1956 8.81112e-05 1.0076
12000.0 5.0 0.6405 -0.47 0.468 -0.1853 9.36052e-05 1.0564
12500.0 5.0 0.6446 -0.5012 0.4976 -0.1954 9.92368e-05 1.1008
13000.0 5.0 0.6477 -0.5299 0.5267 -0.206 0.000104872 1.1413
13500.0 5.0 0.6092 -0.4598 0.4556 -0.1797 0.000110565 1.1784
14000.0 5.0 0.6519 -0.5788 0.5762 -0.2237 0.000116275 1.2126
14500.0 5.0 0.5585 -0.3762 0.3705 -0.1481 0.000122058 1.244
15000.0 5.0 0.6569 -0.6259 0.6251 -0.2415 0.000127844 1.2732
15500.0 5.0 0.6574 -0.6432 0.6432 -0.2482 0.000133707 1.3002
16000.0 5.0 0.5645 -0.4357 0.4304 -0.1694 0.000139649 1.3253
16500.0 5.0 0.6653 -0.6894 0.6897 -0.2647 0.00014561 1.3487
17000.0 5.0 0.6723 -0.7188 0.7195 -0.2755 0.000151667 1.3706
20000.0 5.0 0.7353 -0.9247 0.9228 -0.3475 0.000189627 1.4767
25000.0 5.0 0.9074 -1.3213 1.2792 -0.4664 0.000261699 1.592
30000.0 5.0 0.9059 -1.2513 1.1399 -0.4013 0.000362219 1.666
35000.0 5.0 0.8466 -1.2675 1.1891 -0.4269 0.000483991 1.7174
40000.0 5.0 0.9396 -1.5974 1.5521 -0.5647 0.0005787 1.7552
45000.0 5.0 1.0502 -1.9096 1.8762 -0.6836 0.000658356 1.7841
50000.0 5.0 1.1559 -2.1797 2.1467 -0.7808 0.000732374 1.8069
55000.0 5.0 1.2463 -2.3934 2.3545 -0.8543 0.000801606 1.8254
60000.0 5.0 1.3226 -2.5605 2.5116 -0.9086 0.000869234 1.8406
3750.0 5.25 1.7794 -2.5246 2.1284 -0.7116 3.65691e-06 -1.8937
4000.0 5.25 1.7279 -2.5063 2.1528 -0.7293 4.545e-06 -1.6006
4250.0 5.25 1.7069 -2.4832 2.1476 -0.7312 5.69104e-06 -1.3442
4500.0 5.25 1.6221 -2.1853 1.8076 -0.5975 7.12936e-06 -1.1183
4750.0 5.25 1.3868 -1.5 1.0824 -0.325 8.84716e-06 -0.9181
5000.0 5.25 0.9528 -0.3271 -0.1033 0.1056 1.09144e-05 -0.7397
5250.0 5.25 0.4375 0.9616 -1.3404 0.5342 1.29978e-05 -0.5799
5500.0 5.25 0.0336 1.8554 -2.1056 0.7711 1.52249e-05 -0.436
5750.0 5.25 -0.1471 2.1065 -2.1778 0.7482 1.7589e-05 -0.306
6000.0 5.25 -0.1725 1.9501 -1.8438 0.5836 2.00784e-05 -0.1881
6250.0 5.25 -0.1235 1.6282 -1.3731 0.3804 2.26939e-05 -0.0806
6500.0 5.25 -0.0467 1.2751 -0.9094 0.191 2.54401e-05 0.0176
7000.0 5.25 0.0985 0.7232 -0.2428 -0.0705 3.14128e-05 0.1904
7500.0 5.25 0.1786 0.4667 0.0386 -0.1799 3.80979e-05 0.3373
8000.0 5.25 0.2015 0.4479 0.0179 -0.1712 4.54608e-05 0.4635
8500.0 5.25 0.233 0.4799 -0.1223 -0.0998 5.3299e-05 0.5729
9000.0 5.25 0.3658 0.1989 0.0626 -0.1366 6.09377e-05 0.6685
9500.0 5.25 0.5185 -0.1905 0.3575 -0.2 6.67066e-05 0.7528
10000.0 5.25 0.5792 -0.3177 0.3881 -0.173 7.14574e-05 0.8274
10500.0 5.25 0.5984 -0.356 0.3979 -0.1693 7.70505e-05 0.894
11000.0 5.25 0.6059 -0.3688 0.3893 -0.1622 8.26225e-05 0.9538
11500.0 5.25 0.6142 -0.3956 0.4011 -0.1629 8.81805e-05 1.0076
12000.0 5.25 0.6221 -0.4319 0.4306 -0.1718 9.37563e-05 1.0564
12500.0 5.25 0.6259 -0.4621 0.4586 -0.1811 9.93617e-05 1.1008
13000.0 5.25 0.6277 -0.4874 0.4837 -0.1901 0.000104977 1.1413
13500.0 5.25 0.6294 -0.512 0.5088 -0.1991 0.000110646 1.1784
14000.0 5.25 0.6297 -0.5324 0.53 -0.2068 0.000116349 1.2126
14500.0 5.25 0.6304 -0.5521 0.5501 -0.214 0.000122096 1.244
15000.0 5.25 0.6299 -0.568 0.5667 -0.2199 0.00012789 1.2732
15500.0 5.25 0.6332 -0.5921 0.5917 -0.2291 0.000133725 1.3002
16000.0 5.25 0.6352 -0.6117 0.6118 -0.2363 0.000139632 1.3253
16500.0 5.25 0.6296 -0.6124 0.6126 -0.2364 0.000145599 1.3487
17000.0 5.25 0.6421 -0.6542 0.6546 -0.2515 0.000151621 1.3706
20000.0 5.25 0.6677 -0.7735 0.7707 -0.2918 0.000189427 1.4767
25000.0 5.25 0.8527 -1.2074 1.1675 -0.426 0.000260902 1.592
30000.0 5.25 0.851 -1.1429 1.0353 -0.3636 0.000359218 1.666
35000.0 5.25 0.7413 -1.046 0.9723 -0.3487 0.000478894 1.7174
40000.0 5.25 0.7983 -1.3052 1.27 -0.4639 0.000572435 1.7552
45000.0 5.25 0.8887 -1.5837 1.5655 -0.5735 0.000650432 1.7841
50000.0 5.25 0.9814 -1.8368 1.8242 -0.6675 0.000722465 1.8069
55000.0 5.25 1.0656 -2.0491 2.035 -0.7429 0.0007892 1.8254
60000.0 5.25 1.1408 -2.2271 2.207 -0.8033 0.000853787 1.8406
3750.0 5.5 1.8194 -2.6153 2.2221 -0.7465 3.72026e-06 -1.8937
4000.0 5.5 1.7411 -2.5379 2.1866 -0.7422 4.5906e-06 -1.6006
4250.0 5.5 1.7112 -2.5003 2.1666 -0.7385 5.71894e-06 -1.3442
4500.0 5.5 1.6515 -2.2788 1.9091 -0.6362 7.13422e-06 -1.1183
4750.0 5.5 1.4561 -1.7041 1.294 -0.4035 8.83787e-06 -0.9181
5000.0 5.5 1.0907 -0.6957 0.2588 -0.0232 1.09244e-05 -0.7397
5250.0 5.5 0.6149 0.5217 -0.9295 0.3955 1.30021e-05 -0.5799
5500.0 5.5 0.1649 1.5742 -1.8851 0.7095 1.52241e-05 -0.436
5750.0 5.5 -0.0926 2.0541 -2.2114 0.7833 1.75864e-05 -0.306
6000.0 5.5 -0.1693 2.0441 -2.0333 0.6754 2.00716e-05 -0.1881
6250.0 5.5 -0.149 1.802 -1.645 0.5009 2.26844e-05 -0.0806
6500.0 5.5 -0.0958 1.5051 -1.2301 0.3254 2.54249e-05 0.0176
7000.0 5.5 0.0394 0.9447 -0.5225 0.0398 3.1352e-05 0.1904
7500.0 5.5 0.1328 0.6202 -0.1465 -0.1087 3.79603e-05 0.3373
8000.0 5.5 0.1648 0.5529 -0.101 -0.1264 4.52423e-05 0.4635
8500.0 5.5 0.1851 0.5972 -0.238 -0.0606 5.30611e-05 0.5729
9000.0 5.5 0.2996 0.3806 -0.1231 -0.0735 6.09428e-05 0.6685
9500.0 5.5 0.4847 -0.1103 0.3061 -0.1967 6.76203e-05 0.7528
10000.0 5.5 0.5844 -0.3537 0.4478 -0.2043 7.21873e-05 0.8274
10500.0 5.5 0.5868 -0.3444 0.3936 -0.1692 7.7381e-05 0.894
11000.0 5.5 0.5945 -0.3567 0.385 -0.1621 8.29225e-05 0.9538
11500.0 5.5 0.5995 -0.3708 0.3818 -0.1573 8.84616e-05 1.0076
12000.0 5.5 0.6071 -0.4023 0.4035 -0.1625 9.3989e-05 1.0564
12500.0 5.5 0.6098 -0.428 0.4252 -0.1691 9.95657e-05 1.1008
13000.0 5.5 0.6106 -0.4507 0.4469 -0.1765 0.000105191 1.1413
13500.0 5.5 0.6146 -0.4805 0.4773 -0.1875 0.000110811 1.1784
14000.0 5.5 0.6117 -0.4936 0.4913 -0.1926 0.000116505 1.2126
14500.0 5.5 0.6122 -0.5131 0.5112 -0.1997 0.000122242 1.244
15000.0 5.5 0.6124 -0.5308 0.5293 -0.2061 0.00012802 1.2732
15500.0 5.5 0.6129 -0.5481 0.5475 -0.2128 0.000133858 1.3002
16000.0 5.5 0.5809 -0.4903 0.4901 -0.1918 0.000139761 1.3253
16500.0 5.5 0.6155 -0.5832 0.5833 -0.2256 0.000145692 1.3487
17000.0 5.5 0.6185 -0.6029 0.6027 -0.2324 0.000151717 1.3706
20000.0 5.5 0.6733 -0.7915 0.7893 -0.2985 0.000189386 1.4767
25000.0 5.5 0.836 -1.1794 1.1426 -0.4176 0.000260481 1.592
30000.0 5.5 0.8061 -1.0528 0.9478 -0.3321 0.000357318 1.666
35000.0 5.5 0.6552 -0.8608 0.7894 -0.2824 0.000475109 1.7174
40000.0 5.5 0.6788 -1.05 1.0198 -0.3737 0.000567591 1.7552
45000.0 5.5 0.7479 -1.2883 1.2788 -0.4709 0.000644292 1.7841
50000.0 5.5 0.825 -1.5145 1.5143 -0.5572 0.000714744 1.8069
55000.0 5.5 0.8985 -1.711 1.7125 -0.6286 0.000779523 1.8254
60000.0 5.5 0.9671 -1.8833 1.8826 -0.6891 0.000841941 1.8406
3750.0 5.75 1.8662 -2.7167 2.3252 -0.7846 3.78586e-06 -1.8937
4000.0 5.75 1.757 -2.5721 2.222 -0.7554 4.64213e-06 -1.6006
4250.0 5.75 1.7174 -2.5178 2.1851 -0.7455 5.7525e-06 -1.3442
4500.0 5.75 1.7422 -2.5667 2.2398 -0.7666 7.14998e-06 -1.1183
4750.0 5.75 1.5048 -1.853 1.4513 -0.4626 8.83193e-06 -0.9181
5000.0 5.75 1.2064 -1.0143 0.5777 -0.1383 1.09458e-05 -0.7397
5250.0 5.75 0.7807 0.0982 -0.524 0.2552 1.30127e-05 -0.5799
5500.0 5.75 0.3142 1.2302 -1.588 0.6169 1.52321e-05 -0.436
5750.0 5.75 -0.008 1.9049 -2.1313 0.7739 1.75918e-05 -0.306
6000.0 5.75 -0.136 2.0427 -2.1129 0.7252 2.0072e-05 -0.1881
6250.0 5.75 -0.1579 1.9191 -1.8492 0.5953 2.2678e-05 -0.0806
6500.0 5.75 -0.1263 1.6838 -1.4996 0.443 2.5416e-05 0.0176
7000.0 5.75 -0.0164 1.1737 -0.8263 0.1641 3.13056e-05 0.1904
7500.0 5.75 0.0829 0.8018 -0.3755 -0.0176 3.78457e-05 0.3373
8000.0 5.75 0.1244 0.6831 -0.2576 -0.0651 4.50485e-05 0.4635
8500.0 5.75 0.1411 0.7152 -0.3636 -0.0151 5.28197e-05 0.5729
9000.0 5.75 0.2337 0.5643 -0.3141 -0.007 6.08142e-05 0.6685
9500.0 5.75 0.3837 0.172 0.0294 -0.1083 6.80747e-05 0.7528
10000.0 5.75 0.5232 -0.2117 0.3473 -0.1875 7.31927e-05 0.8274
10500.0 5.75 0.5743 -0.3274 0.3876 -0.171 7.78388e-05 0.894
11000.0 5.75 0.585 -0.3485 0.3839 -0.1629 8.32713e-05 0.9538
11500.0 5.75 0.5883 -0.3548 0.3725 -0.1553 8.87982e-05 1.0076
12000.0 5.75 0.5941 -0.377 0.3819 -0.1556 9.43039e-05 1.0564
12500.0 5.75 0.5965 -0.4 0.3992 -0.1602 9.98225e-05 1.1008
13000.0 5.75 0.5983 -0.424 0.4211 -0.1673 0.000105411 1.1413
13500.0 5.75 0.5982 -0.4438 0.4404 -0.174 0.000111051 1.1784
14000.0 5.75 0.5978 -0.4623 0.4592 -0.1806 0.000116733 1.2126
14500.0 5.75 0.5976 -0.4806 0.4783 -0.1875 0.000122461 1.244
15000.0 5.75 0.5971 -0.4964 0.4945 -0.1933 0.00012824 1.2732
15500.0 5.75 0.5972 -0.5132 0.5121 -0.1997 0.000134069 1.3002
16000.0 5.75 0.5979 -0.5301 0.5298 -0.2062 0.000139952 1.3253
16500.0 5.75 0.5994 -0.5472 0.5468 -0.2121 0.000145896 1.3487
17000.0 5.75 0.5581 -0.4681 0.4685 -0.1835 0.000151932 1.3706
20000.0 5.75 0.6537 -0.7471 0.744 -0.2818 0.000189505 1.4767
25000.0 5.75 0.8324 -1.176 1.1402 -0.4168 0.000260343 1.592
30000.0 5.75 0.7699 -0.9787 0.8753 -0.3059 0.000356217 1.666
35000.0 5.75 0.5872 -0.7126 0.6421 -0.2288 0.000472392 1.7174
40000.0 5.75 0.5825 -0.8405 0.8127 -0.2987 0.000563743 1.7552
45000.0 5.75 0.6312 -1.0371 1.0322 -0.382 0.000639341 1.7841
50000.0 5.75 0.6927 -1.2331 1.2398 -0.4587 0.000708374 1.8069
55000.0 5.75 0.7542 -1.4081 1.4193 -0.5238 0.000771696 1.8254
60000.0 5.75 0.8137 -1.5662 1.5776 -0.5806 0.000832467 1.8406
3750.0 6.0 1.9249 -2.841 2.4493 -0.83 3.85829e-06 -1.8937
4000.0 6.0 1.777 -2.6127 2.263 -0.7706 4.69998e-06 -1.6006
4250.0 6.0 1.7244 -2.5336 2.2011 -0.7515 5.79199e-06 -1.3442
4500.0 6.0 1.7327 -2.5558 2.2314 -0.7642 7.16759e-06 -1.1183
4750.0 6.0 1.5511 -1.9931 1.6016 -0.5194 8.8302e-06 -0.9181
