Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 -0.6091 2.9988 -2.5979 0.7958 1.83429e-07 -7.4788
4000.0 5.0 -0.539 3.3235 -3.3355 1.1609 3.08085e-07 -6.8241
4250.0 5.0 -0.3234 3.002 -3.1822 1.1509 5.13873e-07 -6.2466
4500.0 5.0 -0.0771 2.4848 -2.6938 0.9865 8.48931e-07 -5.7335
4750.0 5.0 -0.0226 2.3306 -2.4601 0.8958 1.38775e-06 -5.2746
5000.0 5.0 -0.2939 2.884 -2.7956 0.9763 2.19012e-06 -4.8619
5250.0 5.0 -0.4429 3.2787 -3.1197 1.0671 3.34049e-06 -4.4888
5500.0 5.0 -0.5832 3.6637 -3.4576 1.1631 4.76185e-06 -4.15
5750.0 5.0 -0.6628 3.8171 -3.5171 1.1478 6.46489e-06 -3.8411
6000.0 5.0 -0.6811 3.7557 -3.329 1.0367 8.43234e-06 -3.5584
6250.0 5.0 -0.6329 3.484 -2.9145 0.8438 1.06251e-05 -3.2988
6500.0 5.0 -0.5175 3.0264 -2.3226 0.5941 1.29822e-05 -3.0596
7000.0 5.0 -0.183 1.9274 -1.0944 0.1309 1.79789e-05 -2.634
7500.0 5.0 0.1054 1.1037 -0.3441 -0.0974 2.3175e-05 -2.2672
8000.0 5.0 0.2902 0.6374 -0.05 -0.1388 2.86715e-05 -1.9482
8500.0 5.0 0.474 0.2133 0.1834 -0.1596 3.4857e-05 -1.6687
9000.0 5.0 0.7139 -0.3555 0.5822 -0.2489 4.17785e-05 -1.4222
9500.0 5.0 0.8651 -0.7516 0.9058 -0.3445 4.83487e-05 -1.2034
10000.0 5.0 0.9081 -0.8874 1.0321 -0.3874 5.64393e-05 -1.0082
10500.0 5.0 0.8857 -0.8675 1.0314 -0.3926 6.59213e-05 -0.8331
11000.0 5.0 0.882 -0.8743 1.0456 -0.402 7.69642e-05 -0.6755
11500.0 5.0 0.8911 -0.8896 1.0473 -0.403 8.94686e-05 -0.5328
12000.0 5.0 0.8585 -0.8223 0.9874 -0.3861 0.000101957 -0.4033
12500.0 5.0 0.8481 -0.7976 0.9541 -0.3744 0.000115504 -0.2852
13000.0 5.0 0.8403 -0.7826 0.9324 -0.3671 0.000129642 -0.1773
13500.0 5.0 0.7625 -0.6021 0.7417 -0.2971 0.000144428 -0.0783
