Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 0.9643 -0.0079 -0.5349 0.2789 1.51842e-06 -3.9058
4000.0 5.0 1.325 -1.0127 0.5322 -0.1191 2.08184e-06 -3.4777
4250.0 5.0 1.4766 -1.4451 1.0126 -0.303 2.87848e-06 -3.101
4500.0 5.0 1.4895 -1.4201 0.9844 -0.291 3.97374e-06 -2.7674
4750.0 5.0 1.2718 -0.8242 0.4054 -0.0823 5.40752e-06 -2.47
5000.0 5.0 0.7706 0.4544 -0.8103 0.3424 7.34181e-06 -2.2036
5250.0 5.0 0.246 1.7317 -1.9945 0.7401 9.45432e-06 -1.9637
5500.0 5.0 -0.1272 2.5288 -2.6378 0.9254 1.1858e-05 -1.7467
5750.0 5.0 -0.2839 2.6968 -2.602 0.8576 1.45601e-05 -1.5498
6000.0 5.0 -0.2981 2.4809 -2.175 0.6512 1.75749e-05 -1.3704
6250.0 5.0 -0.2341 2.0809 -1.5847 0.3946 2.09238e-05 -1.2063
6500.0 5.0 -0.1365 1.64 -0.996 0.1506 2.46263e-05 -1.0559
7000.0 5.0 0.0198 1.0419 -0.2481 -0.1526 3.32614e-05 -0.7899
7500.0 5.0 0.0431 0.9861 -0.1781 -0.1956 4.38055e-05 -0.5626
8000.0 5.0 -0.0462 1.4127 -0.7424 0.0186 5.63992e-05 -0.3665
8500.0 5.0 -0.0765 1.8116 -1.4131 0.3152 7.07979e-05 -0.1959
9000.0 5.0 0.1187 1.4251 -1.1823 0.2844 8.61707e-05 -0.0465
9500.0 5.0 0.3876 0.631 -0.4398 0.08 9.91095e-05 0.0854
10000.0 5.0 0.518 0.2882 -0.1277 -0.0168 0.0001108 0.2025
10500.0 5.0 0.5496 0.2825 -0.2022 0.0262 0.000121549 0.3069
11000.0 5.0 0.5974 0.1839 -0.154 0.0207 0.000132005 0.4007
11500.0 5.0 0.6456 0.0377 -0.0264 -0.0201 0.000142407 0.4852
12000.0 5.0 0.6489 0.0258 -0.0347 -0.0126 0.000152643 0.5618
12500.0 5.0 0.6581 -0.021 0.0047 -0.0249 0.000163031 0.6314
13000.0 5.0 0.6619 -0.0534 0.031 -0.0329 0.00017349 0.6949
13500.0 5.0 0.6475 -0.0413 0.0133 -0.0249 0.000184099 0.753
14000.0 5.0 0.6661 -0.1097 0.0805 -0.0489 0.000194828 0.8065
14500.0 5.0 0.6289 -0.04 0.0048 -0.0198 0.000205704 0.8557
15000.0 5.0 0.6689 -0.1594 0.1264 -0.0643 0.000216703 0.9012
15500.0 5.0 0.6697 -0.1813 0.1468 -0.0711 0.000227867 0.9434
16000.0 5.0 0.6337 -0.1112 0.0707 -0.0417 0.000239203 0.9826
16500.0 5.0 0.6757 -0.2331 0.1962 -0.088 0.00025067 1.0191
17000.0 5.0 0.6805 -0.2628 0.2254 -0.0982 0.000262339 1.0532
20000.0 5.0 0.7292 -0.4729 0.4347 -0.1721 0.000336371 1.2175
25000.0 5.0 0.9157 -0.9977 0.9465 -0.3518 0.000480894 1.3949
30000.0 5.0 1.0259 -1.241 1.113 -0.3935 0.000683093 1.5076
35000.0 5.0 0.9947 -1.2943 1.1549 -0.406 0.000915955 1.5853
40000.0 5.0 1.0594 -1.5534 1.4413 -0.5154 0.00109868 1.642
45000.0 5.0 1.1497 -1.8238 1.7264 -0.6212 0.0012539 1.6852
50000.0 5.0 1.2417 -2.0688 1.9763 -0.7121 0.00139912 1.7191
