Teff log(g) a1 a2 a3 a4 I1 beaming
3750.0 5.0 1.7491 -2.468 2.071 -0.6903 3.62496e-06 -1.8463
4000.0 5.0 1.7031 -2.459 2.1052 -0.7116 4.52488e-06 -1.5565
4250.0 5.0 1.6865 -2.438 2.1016 -0.714 5.67952e-06 -1.3031
4500.0 5.0 1.5637 -2.026 1.6384 -0.5336 7.12628e-06 -1.0799
4750.0 5.0 1.2909 -1.2423 0.8236 -0.2305 8.84059e-06 -0.882
5000.0 5.0 0.7874 0.0916 -0.5041 0.245 1.08876e-05 -0.7057
5250.0 5.0 0.2658 1.3632 -1.6973 0.6494 1.29688e-05 -0.5478
5500.0 5.0 -0.0697 2.0437 -2.2175 0.79 1.51913e-05 -0.4058
5750.0 5.0 -0.1797 2.0894 -2.0641 0.6825 1.75555e-05 -0.2774
6000.0 5.0 -0.1606 1.81 -1.6009 0.4718 2.00472e-05 -0.1609
6250.0 5.0 -0.0833 1.4178 -1.0639 0.2478 2.26729e-05 -0.0548
6500.0 5.0 0.0074 1.0462 -0.5981 0.0631 2.54413e-05 0.0422
7000.0 5.0 0.1451 0.5607 -0.0357 -0.1515 3.15073e-05 0.2127
7500.0 5.0 0.2066 0.3851 0.146 -0.2235 3.83449e-05 0.3578
8000.0 5.0 0.2148 0.435 0.0395 -0.1826 4.58986e-05 0.4823
8500.0 5.0 0.2587 0.4599 -0.1168 -0.0987 5.38743e-05 0.5904
9000.0 5.0 0.4387 0.0438 0.1978 -0.1752 6.14397e-05 0.6848
9500.0 5.0 0.5705 -0.2704 0.386 -0.1896 6.66189e-05 0.7679
10000.0 5.0 0.6111 -0.351 0.4057 -0.1751 7.21078e-05 0.8416
10500.0 5.0 0.6052 -0.3173 0.3467 -0.1498 7.77698e-05 0.9074
11000.0 5.0 0.6189 -0.3485 0.3562 -0.1486 8.34414e-05 0.9663
11500.0 5.0 0.6515 -0.4506 0.4486 -0.1789 8.91973e-05 1.0195
12000.0 5.0 0.6397 -0.4316 0.4236 -0.1689 9.47386e-05 1.0677
12500.0 5.0 0.6437 -0.463 0.4535 -0.1791 0.000100404 1.1114
13000.0 5.0 0.6466 -0.4915 0.4826 -0.1897 0.000106067 1.1514
13500.0 5.0 0.6119 -0.4302 0.4201 -0.1665 0.000111786 1.1881
14000.0 5.0 0.6504 -0.5404 0.5325 -0.2076 0.000117523 1.2218
14500.0 5.0 0.5661 -0.3587 0.3473 -0.1393 0.000123329 1.2529
15000.0 5.0 0.6549 -0.5871 0.5811 -0.2253 0.000129143 1.2816
15500.0 5.0 0.6555 -0.605 0.5999 -0.2322 0.000135032 1.3083
16000.0 5.0 0.5719 -0.4192 0.4088 -0.1613 0.000140999 1.3331
16500.0 5.0 0.6631 -0.6516 0.647 -0.249 0.000146989 1.3563
17000.0 5.0 0.6699 -0.6811 0.6771 -0.2599 0.000153074 1.3779
20000.0 5.0 0.7322 -0.8887 0.8835 -0.3333 0.000191221 1.4826
25000.0 5.0 0.9102 -1.3077 1.2655 -0.4619 0.000263763 1.5966
30000.0 5.0 0.9182 -1.2606 1.1475 -0.404 0.000364911 1.6697
35000.0 5.0 0.8583 -1.2725 1.1894 -0.4263 0.000486772 1.7205
40000.0 5.0 0.9481 -1.5953 1.5454 -0.5616 0.00058156 1.7578
45000.0 5.0 1.0568 -1.9041 1.8666 -0.6796 0.000661341 1.7864
50000.0 5.0 1.1615 -2.1726 2.1361 -0.7766 0.000735514 1.8089
